mouseSymbol,humanSymbol,B6.1.Tfh,B6.2.Tfh,B6.3.Tfh,B6.4.Tfh,TC1.Tfh,TC2.Tfh,TC4.Tfh,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Sign_score,mouseIDwtSS
Atp4a,ATP4A,-0.207097663746675,-0.21490044314455398,-0.20682750594193697,-0.214824990473996,-0.20606954743123698,-0.205181479320114,-0.198394273487898,0.873488205396618,1.58549937512913,1.87611018583363,0.8450992842004259,0.39805540795219607,,,Atp4a
Atp5a1,ATP5F1A,13.359813253187498,13.442111951268599,13.3623987983838,13.353236340208198,13.086934986331999,13.0562807395675,13.0440057254915,9779.851889914169,-0.38037517181926506,0.0499452718480378,-7.615839452763111,2.6198316212885798e-14,1.2244767405736202e-12,*****,Atp5a1*****
Atp5b,ATP5F1B,13.2992453364412,13.414086619075698,13.355857377042401,13.374210268968302,13.115604708807302,13.0345881072711,13.012529448585301,9682.5183460345,-0.36733902059935203,0.0574634574615735,-6.39256732585219,1.63123363205785e-10,3.973914949276611e-09,*****,Atp5b*****
Atp5c1,ATP5F1C,11.524411928510098,11.751402359848,11.581341896631999,11.6235337697651,11.3016255819959,11.3228333985209,11.3320055249035,2904.61266148846,-0.377732293299082,0.0759212796346387,-4.97531515692135,6.51415689390484e-07,6.722164352248e-06,*****,Atp5c1*****
Atp5d,ATP5F1D,11.1492451048884,11.433713701557801,11.296023730534301,11.2904985544368,11.1513066636836,10.9817198714461,10.9755657387449,2344.3848292972198,-0.323481592795153,0.0954280159413961,-3.3897969019266703,0.0006994442221361151,0.00313959150404432,**,Atp5d**
Atp5e,ATP5F1E,10.464972305831301,10.6533346033549,10.4082332884967,10.47286623386,10.222134854554401,10.0779781636845,10.1293712654611,1320.35294966116,-0.47242203188198,0.0942186881691632,-5.01410114131262,5.32819555985782e-07,5.65072899774788e-06,*****,Atp5e*****
Atp5f1,ATP5PB,11.1657616863973,11.369548564869499,11.191889529375501,11.210460715030802,10.8958172562332,10.8242939392576,10.814214540284901,2177.13285070932,-0.494973721501913,0.0791032110260496,-6.2573151592912195,3.9166142822078096e-10,8.835807528690391e-09,*****,Atp5f1*****
Atp5g3,ATP5MC3,11.225417806529801,11.2834061763958,11.1861182230722,11.1599631274072,10.918437822551699,10.8925482824967,10.831898359461999,2173.06329865088,-0.42109854084725,0.0654705207774884,-6.4318801171357505,1.26035132003763e-10,3.13766334885112e-09,*****,Atp5g3*****
Atp5h,ATP5PD,10.885286671379399,11.1716579771104,10.9561219146649,11.0847303994713,10.6827405648159,10.7111971165151,10.7968528990305,1928.6937506492002,-0.379566405447638,0.095392369508665,-3.97900175247413,6.92052309022192e-05,0.00041559713597301,***,Atp5h***
Atp5j,ATP5PF,10.6650413516908,10.830396662060302,10.6942313814051,10.7233098391881,10.4851238587938,10.3888389894061,10.4935279337585,1576.39165585325,-0.35291501593930497,0.077128170279291,-4.575695425696661,4.74640657583011e-06,3.93259561501591e-05,****,Atp5j****
Atp5j2,ATP5MF,10.3181059824133,10.5657655097373,10.384905713718801,10.3903819990656,10.0460796247667,10.083745899877801,10.1401135371681,1253.90975429817,-0.43381174617272994,0.091321806861126,-4.75036315074703,2.03051669534632e-06,1.8548000314747502e-05,****,Atp5j2****
Atp5k,ATP5ME,9.01036900629189,9.31388894537425,9.124431354960779,9.07075714896549,8.928655746300802,8.8845587680861,8.879887186540891,527.637322759688,-0.361282168111865,0.11963760935990199,-3.01980430773261,0.00252938055555836,0.00949891073602984,**,Atp5k**
Atp5l,ATP5MG,3.94101164965091,3.91856412074716,3.9299140543915803,3.95197907174462,4.03040105287978,3.97553820111732,3.97833323471093,15.7130531571978,0.7304671139190849,0.436486103133325,1.67351745834612,0.0942254726005624,0.19051078013850398,,Atp5l
Atp5o,ATP5PO,10.487638602268301,10.6506597826061,10.4814639848293,10.537133954279199,10.1945687954449,10.1100717890132,10.1567111119413,1346.13784350748,-0.508547581399265,0.0794776985276776,-6.398619874758531,1.56787626287419e-10,3.843108719538161e-09,*****,Atp5o*****
Atp6ap1,ATP6AP1,11.570472339913499,11.6738951090164,11.620967358311802,11.5621162005234,11.401064156351,11.3626548036232,11.329301025251699,2917.9473418131606,-0.30173551973178603,0.0608904283170838,-4.9553850756397,7.21871800888398e-07,7.359175936267401e-06,*****,Atp6ap1*****
Atp6v0a1,ATP6V0A1,6.940579433127099,6.72102342875329,6.77149392822162,6.7168707804937995,6.8551621622869,6.93273255158939,6.969684847273201,115.98242931811599,0.34457624835990996,0.201488558529232,1.7101529281620202,0.0872375975347955,0.17948470015306897,,Atp6v0a1
Atp6v0a2,ATP6V0A2,11.539560545601802,11.596690604890199,11.540166789033199,11.6411728460455,11.4968180470655,11.5647911720624,11.410857109921201,2985.4530820552504,-0.10908944728921902,0.0680765734331961,-1.60245208869493,0.109055674199818,0.213942245057431,,Atp6v0a2
Atp6v0a4,ATP6V0A4,-1.21438082723438,-1.20734437729104,-1.2142569202032398,-1.2071964818523502,-1.2139200992813202,-1.21354311870619,-1.2070652157399098,0.41106657369528704,-0.290208404610455,2.8681567450451295,-0.10118289563909,0.919405274331338,,,Atp6v0a4
Atp6v0b,ATP6V0B,9.73259672603818,9.89767364310399,9.838202416703169,9.983375508845471,9.90363558093627,9.94694632756094,9.8182797290905,940.955438730325,0.0329369921476699,0.0972579152298419,0.338656160476322,0.7348687698955401,0.8342462278954,,Atp6v0b
