co_low_high_FC1,co_low_FC1,co_high_FC1,co_low_FC1.5,co_high_FC1.5,co_high_low_FC1.5
Gzma,2010005H15Rik,Kirrel3,,,
Cd109,Psmd13,Dip2c,,,
Irf6,Asah1,Kmt2a,,,
Dmpk,Rasgrp1,Dpysl3,,,
Olfr373,Pfdn1,Six5,,,
Trpm6,Ptprf,9930022D16Rik,,,
Pak6,Mrpl46,Tex35,,,
Eps8l1,Lrrn3,Mfhas1,,,
Gca,Il9r,Tshz3,,,
Cpt1c,Etaa1,Napb,,,
Slc2a4rg-ps,Top2a,Sfi1,,,
Bub1b,Mrpl51,Mast4,,,
Igkv5-39,Ccr4,Arhgap40,,,
Zfp14,Ncaph,Setbp1,,,
Hsd17b7,Txndc12,Hsf4,,,
2410018L13Rik,Mcm4,Gm14469,,,
Lamb3,Slc20a2,Heatr5a,,,
Arid5b,Pik3ip1,Nrbp2,,,
Sec16b,Zfp109,Plekhm2,,,
Igkv4-57,Trappc12,Pou2f2,,,
Arl6ip1,Actr3,Mir6999,,,
Jak3,Copa,Znrf1,,,
Ltk,Mcee,Ndrg4,,,
Rars,Asb3,Cap2,,,
Nnt,Ormdl1,R3hcc1l,,,
Slamf1,Gm16157,Csnk1e,,,
Spata13,Ncapg2,Lysmd2,,,
Pepd,Fancf,Dab2ip,,,
Desi2,2810417H13Rik,Fah,,,
Padi4,Eif3l,Rbm44,,,
Spint1,Blm,Sik2,,,
Olfr372,Zfp273,Per2,,,
Zdhhc21,Cct4,Fhad1,,,
Phlpp1,Slc7a5,Echdc2,,,
St3gal3,Lars,B3galt1,,,
Rab4a,Gm5595,Emid1,,,
Sbsn,Pank3,Sirt3,,,
Gramd1a,Cpm,Lmo2,,,
Ddc,Chrm4,Gm2420,,,
Blmh,Ppdpf,Fgf18,,,
Pgm1,Hmgb2,Hap1,,,
5730507C01Rik,Slc7a10,Fgf23,,,
Qpctl,Mcm7,Akr1c12,,,
Rpl31-ps23,1700019G17Rik,Zfp612,,,
Ppap2a,Smpdl3b,Scn1b,,,
Arl6ip4,Snrnp40,Btbd19,,,
Rrm1,Relb,Mark1,,,
Mpg,G2e3,Ttbk2,,,
Alms1,Mtap,Cdh23,,,
Cmc1,Neo1,Arhgef11,,,
Cyp4f18,Psmc1,Clec16a,,,
H2-Q2,Arhgap11a,Armcx2,,,
Liph,Nmnat2,Sycp2l,,,
Prss12,Ppm1m,Invs,,,
5031414D18Rik,Grap,Gpr176,,,
Fmn1,Rasgrf2,Prpf40b,,,
Atn1,Lyrm5,Alms1-ps2,,,
S1pr3,Tspan13,Megf9,,,
Rbm45,Rpl36al,Fam135a,,,
Catsperg2,Irf4,Itgae,,,
Irf3,Dock2,Ntng1,,,
Nsun2,Aldh2,Usp6nl,,,
Cyp51,Gm14377,Tctex1d2,,,
Gigyf1,St6galnac1,Dock7,,,
Ntf5,Gm12847,Uba7,,,
Sgms1,Rrm2,Ptch1,,,
Calm3,Gucy1a3,Prkca,,,
Ldha,Igf2r,Gm5129,,,
Pstpip2,Psma6,Trim59,,,
Gm6910,Mrps30,Tmtc1,,,
Lyplal1,Msmo1,Bcl9,,,
Lgmn,Zdhhc2,Mndal,,,
Qsox1,Rps9,Hdac5,,,
Kirrel3,Nr2c2ap,Gata3,,,
Dip2c,Snx18,Per1,,,
Pttg1,Mfap3,Dusp6,,,
Slc43a3,Chchd3,Zfp964,,,
Plekha2,Serpina9,Catsperg1,,,
Kmt2a,Hmmr,Dcbld2,,,
9630013D21Rik,Cebpa,Sptb,,,
Cdc26,M6pr,Zfp473,,,
Dpysl3,Iars2,Btla,,,
Six5,Spcs2,Xdh,,,
9930022D16Rik,Kif4,Pomt2,,,
Tex35,Ccdc163,Zbtb18,,,
Mfhas1,Zfp114,Cxcl3,,,
Tshz3,Glrx,Cask,,,
Napb,Cebpg,Epb4.1l1,,,
Sfi1,Cd80,Phlda1,,,
Abcb1a,Mocs2,Rere,,,
Stt3b,Atp6v1b2,Gbp2b,,,
Slc43a1,Ict1,Npepl1,,,
Mast4,Gm15326,Mllt4,,,
Arhgap40,Pus1,Dmwd,,,
Setbp1,Ppm1g,Kat6b,,,
Hsf4,Haus5,Spag1,,,
Pcsk1,Lsm4,Rnf122,,,
Gm14469,Fam32a,Crybg3,,,
Heatr5a,Get4,Bcor,,,
Kpna2,Ggact,Kremen1,,,
Kpna2,Dhrs4,Harbi1,,,
Kpna2,Rell1,Avil,,,
Melk,Gm23251,Efnb2,,,
Nrbp2,Dnaaf2,Gm7461,,,
Ap4s1,Mcm2,Vwa3b,,,
Plekhm2,Cdkn2c,4930452B06Rik,,,
Hgsnat,Ccdc80,Tctn3,,,
Pou2f2,Hexa,Ldhd,,,
Mir6999,Selt,Ablim2,,,
Sdcbp2,Ndufs2,D130040H23Rik,,,
Znrf1,Cyth4,Fam129c,,,
Ndrg4,Sqle,Pkd2,,,
Cap2,Tesc,Ect2l,,,
R3hcc1l,Usf2,Gnaq,,,
Csnk1e,Rnf168,Synpo,,,
Lysmd2,Rpl31-ps8,Tiam2,,,
Dab2ip,Mdh1,Ssh3,,,
Fah,Nsg2,Jund,,,
Zbtb8os,Cd22,Fhod1,,,
Uqcrb,Hars,G630030J09Rik,,,
Itfg3,Cst7,Camk2d,,,
Gas2,Aplp2,Sez6l2,,,
Rbm44,Zfp27,Ncoa3,,,
Lsr,Cox7c,Zdhhc1,,,
Opa3,Timm23,Uevld,,,
Sik2,Vps53,Ryr1,,,
Per2,Antxr2,Marveld2,,,
Capza1,Tubb5,Tjp1,,,
Fhad1,S100a6,Slc16a10,,,
Echdc2,Fkbp3,Trio,,,
B3galt1,Ntn1,Alx4,,,
Emid1,Otulin,Ldlrad3,,,
Ifi30,Nrn1,Lrig1,,,
Zfp772,Ttpal,Fmnl2,,,
Sirt3,Nudt19,Hyi,,,
Lmo2,Ppp4r2,Lpgat1,,,
Ocel1,Tmem261,Ago4,,,
Gm2420,Anxa1,Dtx3,,,
Sdha,Tomm20,Trpc3,,,
2010005H15Rik,Pdk1,Igsf9b,,,
Fgf18,Mrpl16,Pkn3,,,
Psmd13,Atpaf1,Neb,,,
Asah1,Gars,Zfp236,,,
Rasgrp1,Cdk1,C230024C17Rik,,,
Hap1,Mpdu1,Susd2,,,
Fgf23,Crip1,Cables2,,,
Pfdn1,Plac8,Islr,,,
Ptprf,Uck2,Zfp61,,,
Akr1c12,Uck2,Plekhn1,,,
Zfp612,Mgat2,Tnrc18,,,
Scn1b,Soat2,Gm17173,,,
Mrpl46,Hexb,Zan,,,
Lrrn3,Rps26,Ccdc28b,,,
Btbd19,Capzb,Qser1,,,
Mark1,Tm9sf2,E330021D16Rik,,,
Ttbk2,Igkv3-4,Prickle3,,,
Cdh23,Rab19,Mast2,,,
Arhgef11,Gart,Fam101a,,,
