metabolite,HMDB,KEGG,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,ttest_pval_Th17vsTfh,ttest_tscore__Th17vsTfh,padj_lim_ttest_tscore__Th17vsTfh,ttest_pval_Th1vsTfh,ttest_tscore__Th1vsTfh,padj_lim_ttest_tscore__Th1vsTfh,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
Glycyl-phenylalanine,HMDB28848,,16.28338719,16.48066823,16.23626443,16.29245968,17.5218574,16.87252628,16.49054497,16.04037661,14.51214045,13.95531453,15.57980285,14.02295639,13.35357692,11.57861705,14.48805332,0.0574168037825311,-2.45732814053894,0.158023238728913,0.0062571977683950715,-4.524462136637768,0.0131485709862896,0.0259268992641731,-3.13104316716009,0.0668476199612362,0.000743464,12.42438789,0.001336516
laurate,HMDB00638,C02679,25.84874942,25.82963744,26.369881300000003,24.84286538,25.17738951,26.29601743,26.12652131,25.49798849,26.84795667,26.55673933,25.84611896,25.76222296,26.27138853,25.69194839,25.93759381,0.77493655381198,-0.30182438012990004,0.8828126531959599,0.8870810664221791,0.149394794726159,0.901575855089208,0.5253165164925471,0.6823903030134051,0.6406801436438521,0.69174018,0.497100584,0.734236164
omega_hydroxy_dodecanoate_(n-C12:0),,,20.13428376,19.41440715,19.71752233,19.52264532,19.7483892,19.77075182,19.79678184,19.27270984,20.70603007,19.62683652,19.72610017,19.63917139,19.65046189,19.57838338,19.37931587,0.707346827081451,-0.3975783471304029,0.8301315593295521,0.0384058696243586,-2.7908593391705,0.0603240854385134,0.873345430344855,0.167761371576082,0.9176028001258448,0.757738589,0.397122186,0.793456906
Dodecanedioic_acid,HMDB00623,C02678,21.72192923,21.70649372,21.50839237,21.46607272,21.44201842,21.48347627,21.45089052,21.18994639,22.45139877,21.80159834,21.30590457,19.78975764,19.91971115,19.52162562,19.31197538,0.132324765830202,1.7966635790742902,0.282565584367401,9.4943680331523e-05,-11.298268899156499,0.000415880064550756,0.531453997834282,0.671872171741609,0.6456335676814899,8.75e-06,32.83530823,2.27e-05
fructosyllysine,,,23.54041124,17.76982959,23.55768964,23.42726574,22.10291742,22.95059813,21.88677845,22.16242105,20.67477391,19.43433205,21.10071725,20.5020657,20.62878354,20.44528591,21.07962605,0.8946002990017858,-0.139366377519466,0.961139647730622,0.0036243945434517397,-5.14686691833461,0.0082276401679817,0.0968498694508351,-2.04015317570436,0.165255677671038,0.44451839600000004,0.96279951,0.48507095100000003
tetradecenoate_(n-C14:1),,,21.95851461,21.20990467,21.49741735,21.73163379,21.86303694,21.67584946,20.99022267,20.80914401,21.20823019,20.89306646,20.99216885,22.21636409,22.11176072,22.46891255,22.22738682,0.7711718851905429,0.307063932067367,0.8828126531959599,0.0262783912719368,3.1191187474942303,0.0446589053856413,0.0804224316342698,-2.18678011810987,0.141307210385638,0.000502458,13.63871398,0.000930145
myristate,HMDB00806,C06424,27.51942513,26.92925505,27.78756423,26.78701951,26.77347404,27.29899531,27.04727412,26.67994492,28.12570114,28.02888202,26.7658974,27.41285242,27.89267594,27.56984351,27.40358037,0.515500613556876,0.6993869854296311,0.70009035290912,0.0355108687439515,2.8574858251241704,0.0565795812583081,0.4874321716517861,0.749260420038971,0.606365621534822,0.581366999,0.6818526309999999,0.627795614
omega_hydroxy_tetradecanoate_(n-C14:0),,,20.85924335,20.0363807,20.50223201,20.25643212,20.66468657,20.84633634,20.45285843,20.06055017,20.82866248,20.32143189,20.34486366,20.47933056,20.20510411,20.08902532,19.87250525,0.34143343717281,-1.05086726949678,0.5316275373548189,0.0387936240762144,-2.78236043607564,0.0603240854385134,0.265444590258672,-1.2534961764172,0.3701940249795829,0.240076727,1.6246701909999999,0.271504953
3(S)6(R)-dihydroxy-tetradec-8Z-enoate/3(S)6(S)-dihydroxy-tetradec-8Z-enoate,,,25.54113925,25.58605604,25.35539867,25.43805775,24.67225777,24.80516469,24.22147408,24.2393575,23.55708805,23.56812035,23.7707553,21.50054957,21.33555985,21.26062642,21.17517379,0.00229942104366852,5.71125799337699,0.014898332178769,7.00855084400215e-06,-19.2324880070211,7.540439625892969e-05,0.0223641517951278,-3.26328501841855,0.0604804452894326,2.85e-10,236.92934049999997,4.220000000000001e-09
pentadecanoate,HMDB00826,C16537,25.18400613,24.86687866,25.58737483,24.71125018,24.75972148,25.04828606,25.34739123,24.69024936,25.73343249,25.75792515,24.67625758,25.07839839,25.37677971,25.07311983,24.96027327,0.9000871620067079,0.132059162995262,0.961139647730622,0.707211208908367,0.397774468559239,0.74304961476521,0.6937075187705051,0.417393577108386,0.778855734070856,0.954408991,0.106723855,0.954408991
palmitoleate,HMDB03229,C08362,25.14709933,24.67032624,24.98879466,24.92205019,24.90475874,24.8292405,24.28010445,24.00478128,24.50962521,24.24475094,23.93671406,25.80696255,25.63485519,25.69271684,25.70152505,0.25377074430857505,1.2891208659679498,0.44842444022708505,0.0017123320791260401,6.101552920773258,0.004128180438823239,0.0783248930546925,-2.20776067026907,0.138403646250053,1.07e-05,31.49784069,2.7300000000000003e-05
palmitate,HMDB00220,C00249,30.29705491,29.92296835,30.94483372,29.92655688,29.74262274,30.52093057,30.3305581,29.85312115,30.72772486,31.076111100000002,29.96395674,30.32145604,30.84967638,30.59469548,30.55322776,0.8371625099559109,0.21648852212040495,0.919991309527521,0.163896313353296,1.63063380124192,0.205531263922883,0.627961705119349,0.515833885012532,0.739757917773172,0.6850211709999999,0.507635265,0.7295944659999999
omega_hydroxy_hexadecanoate_(n-C16:0),HMDB06294,,22.77285134,22.13694449,22.4037082,21.87098311,22.40663579,22.48031139,22.51501843,22.33174226,22.76905638,22.64395552,22.3370888,23.4290746,23.36015925,23.38952989,23.31641889,0.48906414361933,-0.7463060083800079,0.6730041976354499,2.6763332193665e-06,23.359023952062802,4.16169815611491e-05,0.7067136444976551,0.3984941636119551,0.7893545903457571,0.000208227,16.70463744,0.00041511900000000003
11'-Carboxy-alpha-chromanol,HMDB12515,,23.27431528,20.3551157,24.31302966,20.41208951,20.60091916,22.18610234,23.34173616,20.17162741,23.14891013,23.03971601,21.03771082,20.23716019,21.81047524,20.88107411,20.16268759,0.974565980927736,0.0335080109149482,0.990787691256423,0.174812539179814,-1.5805845734483102,0.217466798739688,0.8672831078513611,-0.175888687496785,0.9174321310944672,0.5855169170000001,0.6743754240000001,0.630089139
Hexadecanedioic_acid,HMDB00672,C19615,20.41141935,19.63019368,20.05592919,19.31392787,19.62965587,19.75429353,20.60096067,19.83577199,20.65597107,19.83276844,19.83150663,19.80050703,19.70454647,19.10953697,18.87398753,0.7252530990704459,-0.3718354432868429,0.8469062943177881,0.15260962543710094,-1.68598369883739,0.192933306955034,0.905501581140726,0.124856685297006,0.9372708055240552,0.228532906,1.679565169,0.260343347
margarate,HMDB02259,,25.23569004,25.182161899999997,25.48950258,25.02035908,24.90929829,25.2190302,25.19645142,24.86213262,25.42508357,25.71305162,24.89382763,25.13250978,25.42570565,25.21097627,25.20404815,0.424136179115635,0.869908108231131,0.6163848210512262,0.28232086424747305,1.20443008864198,0.33384710563104303,0.675998189713037,0.4434099276499721,0.7652573491508772,0.9020342579999999,0.188475901,0.91677338
stearate,HMDB00827,C01530,29.19610177,29.148823699999998,29.63069095,29.18810326,28.7582006,29.57278786,29.28515555,28.92996206,29.00534557,29.94053962,29.11462234,29.13548641,29.71305841,29.51839389,29.57094638,0.736760192213091,0.355444060598563,0.8517933820753579,0.310220906992725,1.1287763914748798,0.3613434534634361,0.906347751771796,0.123731786171832,0.9372708055240552,0.709134495,0.470166685,0.750138871
"8,11,14-Eicosatrienoic_acid_(DGLA)",HMDB02925,C03242,22.04100385,21.86721984,21.71398082,21.72075304,22.34335229,22.16118626,21.40272113,20.77364301,19.63098142,19.87807547,20.48239661,21.36937128,20.68999684,21.33661621,21.30565502,0.62682145633504,-0.517589436226775,0.786054326291119,0.0496985745199803,-2.57556612475917,0.0746679066459607,0.00635841669602695,-4.50700138358539,0.0256813973047322,0.000264122,15.82826957,0.000513387
Eicosenoic_acid,HMDB02231,C16526,23.02987994,23.06013328,23.10421533,22.9029686,23.56421397,23.41026936,23.11067523,22.00942477,22.02014635,22.14064547,22.0711389,23.12284735,23.02112884,23.155829,23.20527179,0.0401906765432827,-2.7525015121015097,0.127543881683275,0.108238424950131,-1.95310924452613,0.14635717460648098,0.0001020323355493,-11.1312861187778,0.0017628920197684602,6.37e-08,86.09945468,2.87e-07
15(S)-Hydroxyeicosatrienoic_acid,HMDB05045,,18.18681906,18.60808303,18.46659597,18.44910726,19.17094507,18.38829408,17.97712755,18.06934611,16.47218007,16.45354843,17.68495928,19.45945186,18.5022831,18.57735652,19.27702203,0.796671479215187,-0.271758838974915,0.8952090195120269,0.3304165547227381,1.0776417283492,0.376408602632862,0.0660438378781334,-2.34408534642773,0.123732732410238,0.006381581999999999,7.093763504,0.009587787
N-Acetylneuraminate_9-phosphate,HMDB06268,C06241,17.48246624,18.4874028,17.66719699,17.318136399999997,17.08586415,16.26081619,18.36512586,17.10647875,17.44109099,17.41036921,17.27261451,18.72950771,18.99583862,17.79874026,18.90455464,0.4392911538378979,0.839852099576656,0.6266951781815879,0.07358943997975999,2.25741766288449,0.105955165896784,0.8976503992550608,0.135303291087404,0.9372708055240552,0.035219306,4.09897335,0.049235916
(R)-S-lactoylglutathionate,HMDB01066,C03451,22.92638037,21.47232679,22.09466919,19.8921137,23.70289524,22.9574937,21.35451149,19.40252619,22.1497801,21.61311654,21.00061134,9.965784285,15.23554107,19.54694569,14.27009278,0.31131097401644303,-1.12594384294684,0.504258921453718,0.021405007817847,-3.30298571370832,0.0369830968408357,0.133774000217488,-1.78820417951807,0.211186365825577,0.002529729,9.138438147999999,0.0040345929999999995
UDP-alpha-D-xylose,HMDB01018,C00190,21.27950201,21.11384467,20.366476199999997,21.07877327,21.08853085,21.09579121,20.00204801,19.83467017,20.68191935,20.81227093,20.32163526,19.51161109,19.35744212,20.16552484,19.54688712,0.576891468666815,0.5963839968793199,0.750683040817487,0.0326964603463105,-2.92831878486506,0.0527072435488017,0.464392832348563,-0.7917511413517959,0.5823635921790451,0.009546231,6.304190157000001,0.014137513999999999
ADP-ribose,HMDB01178,C00301,19.95087397,21.59058395,21.51235707,21.93586029,17.2957203,18.99965263,21.34504962,21.09249503,19.81360522,19.72288489,21.2439308,20.48850675,20.28918497,19.10062458,20.5478703,0.127073006095744,1.82812990599365,0.27636157269773604,0.438422174298593,0.8415539031360278,0.4887071548633061,0.3029719373160369,1.14783710640232,0.40789728357267296,0.182069996,1.937502871,0.212871311
UDP-D-glucuronate,HMDB00935,C00167,23.05948168,22.19216149,20.52779544,22.45382718,22.64896285,22.62545804,19.76410285,21.13843872,21.12571938,22.1480757,21.95646577,20.48464814,18.88907608,22.16787946,19.701124800000002,0.7270867542856891,0.3692157769635829,0.8469062943177881,0.288109865402774,-1.18820461711201,0.33940215204644897,0.9232363653589593,-0.10131692827815,0.9507500318762792,0.246295483,1.5963179969999999,0.277528606
GDP-D-mannose,HMDB01163,C00096,23.49665679,23.13359497,22.1916431,23.14877656,23.78688151,23.87992862,22.74256672,21.31072892,21.22489211,21.62708962,21.85895766,19.15881654,18.43257725,19.80199783,19.14787505,0.33775081164891696,-1.05973447733117,0.530507587994007,0.000204805792328852,-9.62962590607964,0.0007077177934919232,0.00250461548908305,-5.601821160834299,0.013665533633418,7.8e-07,53.15988909,2.64e-06
NADH,HMDB01487,C00004,24.66080253,23.68292181,23.62420851,23.15052533,26.06334519,22.90835252,21.88414725,19.41091443,21.77075799,22.34630073,20.3851302,19.35540943,20.85162325,20.59357466,19.07674995,0.8910268596742521,0.14413011913470802,0.961139647730622,0.0266678332057402,-3.10611449487697,0.0450744354727456,0.100708282817266,-2.0095177456911,0.17021889106614002,0.0037389209999999997,8.233601984,0.005902561
NADPH,HMDB00221,C00005,22.11125258,21.09667876,19.97811654,19.97537311,9.965784285,18.00260797,18.23786709,17.01379065,19.2177998,20.10570424,17.79518898,9.965784285,9.965784285,9.965784285,9.965784285,0.0707886830815923,2.28842338757832,0.18816479007158304,0.0624099882536059,-2.38971143613163,0.0915542752210917,0.252081525121515,1.29439953419732,0.3531412356432029,0.000144875,18.11651051,0.000292572
glycochenodeoxycholate,HMDB00637,C05466,20.99984722,21.1781378,20.94901393,21.08659752,20.66376843,20.99150479,20.33530712,19.9640192,18.58708861,18.86086289,19.15371798,11.84982729,12.94370655,11.63460688,9.965784285,0.0695431856349201,2.30263701831639,0.18644767872810505,6.619279631288532e-05,-12.170723469711799,0.000326761264338211,0.0109409756463999,-3.94172482824411,0.0361983343194721,4.35e-09,142.7322743,3.15e-08
taurolithocholate,HMDB00722,C02592,18.74393203,18.79943735,18.71007188,18.81374757,18.70266003,18.45973213,17.83421222,17.87429111,9.965784285,16.6925664,17.01879274,9.965784285,9.965784285,13.29609299,12.48731726,0.103153826462651,1.99072934825793,0.243036666893063,0.00117471493169698,-6.63125054634286,0.0030700533088887307,0.232787983019329,-1.35712682003133,0.333627017138302,0.00193595,9.795694737,0.003168844
cholesterol_sulfate,HMDB00653,C18043,19.97577623,19.49697115,18.72383868,19.25693948,19.63600854,18.60034189,18.18350129,18.32065827,9.965784285,15.8217001,18.06791571,17.7122334,17.62662773,17.99557199,18.30493259,0.293725199182809,1.17274075703377,0.489336817650698,0.0773398287206296,-2.21782129499907,0.11033342537667802,0.219733003042591,-1.40238683399651,0.320270949785581,0.10807480400000001,2.5627468419999997,0.137751082
C4H6O3(3),,,23.75698075,23.72081254,23.76995808,23.50650792,23.12485125,23.49045283,23.20823949,23.17679405,23.19783474,22.92645192,22.87902196,22.26704834,22.02255513,21.77487255,22.18549637,0.0170032621572968,3.51535008839386,0.0644879820843817,0.0006046799643223902,-7.6578458409933905,0.00168237688127646,0.149405679021259,-1.70244209706976,0.234407663300472,4.03e-07,60.44131928,1.49e-06
C4H8O3(3),,,24.21536587,24.17531617,24.13152125,24.04356149,23.50691639,23.59709736,23.43092483,23.55963536,23.60194356,23.45385146,23.35859489,23.29610229,23.36777402,23.21717379,23.19624821,0.00012789218845646398,10.6222368272882,0.0022814705568405197,0.0108846309716537,-3.94688294654103,0.0205158801950564,0.8212434824979972,-0.23811350217872695,0.883760287394038,1.54e-07,72.77547601,6.3e-07
5-oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate,HMDB00267,C01879ÊÊ,32.27484658,32.259572399999996,32.19061313,32.18099932,32.12313664,32.24717799,31.83988899,31.85024902,30.30100253,29.66097631,30.15669833,30.28638668,30.19373599,30.14956982,30.55483577,0.19535029779696106,1.49421193403733,0.38118586053985,6.98355775883408e-05,-12.037258324869402,0.000339357259843344,0.0391427129579925,-2.77478913456231,0.0857280544361666,0.00033616699999999995,14.97705356,0.000649366
itaconate/Mesaconate,HMDB02092,C00490,24.44134712,24.35239621,24.27021109,24.26488663,24.64432739,24.68907084,24.51751181,24.036436,24.07349102,24.03741564,23.99476313,23.62392916,23.65034342,23.68074363,23.58593376,0.00727838916495684,-4.36173289734727,0.0348242927738704,5.80585599563352e-06,-19.978829161307,7.2224848585681e-05,6.123350086370861e-05,-12.367235389219001,0.0011902261730383401,2.7300000000000003e-09,155.6797203,2.29e-08
L-4-hydroxyglutamate_semialdehyde,HMDB06556,C05938Ê,30.53544283,30.59047781,30.57306953,30.48744293,30.55477977,30.59934565,30.49357655,29.977333299999998,30.04565685,30.052161100000003,30.05940203,30.03275153,30.087095299999998,30.04374239,30.05307542,0.9465284751544508,-0.0705001641585493,0.977974603897124,1.29870895550816e-05,-16.972849371912,0.000108029327517438,2.28970342587882e-05,-15.124429672941101,0.000593414804540261,8.22e-10,194.69403,9.350000000000001e-09
C5H10O5(6),,,20.71121849,20.71177137,20.36703377,20.44568345,20.55973559,20.7861927,20.02309669,19.57785531,19.2639334,18.52399102,18.8125397,18.01252826,18.5057202,18.52705219,18.13111767,0.656225013141189,0.472874597877638,0.803488106641377,0.0003067765143818,-8.846209503515231,0.001004289431292,0.0084204571181484,-4.20848974484483,0.0312314447539233,3.23e-06,40.15741257,8.97e-06
L-arabinitol/xylitol/D-ribitol,,,23.68694612,23.61574078,23.55108227,23.4946303,24.11225923,24.20717088,23.95536032,23.58183544,23.4323413,23.37531872,23.50843337,22.54723348,22.64597695,22.56583512,22.62961363,0.00136411561634675,-6.4168275548261,0.010347316016679,3.53614772601938e-06,-22.0828802021944,4.99882701269104e-05,0.0006294554048322112,-7.59213694474386,0.00515159555007415,1.19e-09,181.84440159999997,1.1899999999999999e-08
L-xylonate/L-lyxonate,HMDB60256,C05411,24.78746224,24.92240371,24.80700376,24.78144586,25.19689322,25.31806828,25.07073184,24.661382500000002,24.60434127,24.44131331,24.51175726,23.73083893,23.70581132,23.8252559,23.62843055,0.00349454112275015,-5.19051357600463,0.0212178984923001,7.0405190641513795e-06,-19.2147882490897,7.540439625892969e-05,0.000585327621585575,-7.71143302946816,0.00505658028647538,1.6699999999999998e-09,170.74783349999998,1.48e-08
2-deoxy-D-ribose_5-phosphate/2-Deoxy-D-ribose_1-phosphate,HMDB01031,C00673,21.615246,21.14739924,21.23657594,21.30609854,21.43170035,21.31552162,20.66085489,19.93909683,20.5835876,20.22394321,19.91522801,17.71395357,18.01305841,18.15123039,17.62777223,0.453057087013497,0.813226244423125,0.6404579730054439,4.56626082534893e-05,-13.134960974491301,0.000232804445357954,0.0162361215285792,-3.5587468640715296,0.0476361678810202,1.54e-08,112.6643453,9.39e-08
ribose-phosphate,HMDB01548,C00117,23.29305568,23.51547499,23.49569793,23.45607295,23.15323226,23.37636785,23.34197264,22.45072025,22.70742593,22.54979706,22.62594063,23.54097484,23.58657201,23.12076678,23.93222751,0.132651367580838,1.79474895851749,0.282565584367401,0.269496613465118,1.24146373590314,0.321124317194068,0.00045633490128580193,-8.13249144513789,0.00443500482187139,0.00010821399999999999,19.32138252,0.000227396
3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine),HMDB00491,C03465ÊÊ,26.38216412,26.53814249,26.21026808,26.34727131,24.9801171,25.09906931,24.87186066,24.94955188,24.36700736,24.44346682,24.38952967,24.95013774,24.63251695,24.42169319,24.81481435,2.99430328061843e-05,14.3190926333794,0.000802548575466147,0.114960119081131,-1.90609908935936,0.154106021699275,0.0491134186616857,-2.5853373354665403,0.0991860190210779,2.7100000000000003e-07,65.27977604,1.04e-06
L-fucose/L-Fuculose,HMDB00174,C01019,20.03336507,19.93451069,19.63001753,19.52719198,19.72234333,19.84112995,19.56215934,19.77596181,19.82425325,19.21528422,19.35925595,21.09660077,19.736738100000004,19.52025523,19.46626304,0.664402259297848,0.460633724351238,0.80714493219387,0.61553198360115,0.53507060528493,0.66072226376657,0.428238849307002,-0.861691215218153,0.5458290251413019,0.6512349279999999,0.561841725,0.6959933420000001
N-Formimidoyl-L-glutamate,HMDB00854,C00439,23.20800849,23.21335169,22.98700801,22.89723573,23.01982102,23.2757048,22.73980243,22.71583742,22.83311162,22.86451102,22.73471692,23.71337555,23.69318249,23.61739512,23.66416657,0.703251201739175,0.403509046524171,0.8284512262912249,0.00407144232638749,5.00951159387383,0.00898027350004617,0.160516197733486,-1.64680155729971,0.24713137373818805,2.8100000000000002e-05,25.79859097,6.670000000000001e-05
N-acetyl-L-aspartate/2-Amino-3-oxoadipate,HMDB00812,C01042,23.45092173,23.37461225,23.50950487,23.20928859,26.46621616,26.49577613,26.26028128,24.82442317,24.30304485,24.11703735,24.37644834,24.01210505,24.04805888,24.01183243,23.93604468,7.03098677269456e-07,-30.567794871017398,7.2887896210267e-05,3.38697025218723e-07,-35.3962408884258,1.6301272336601094e-05,0.000126311151853055,-10.6496952368156,0.00203229375300948,1.6399999999999997e-09,171.1448743,1.48e-08
3-Keto-beta-D-galactose/L-Gulonolactone,HMDB01385,C05394,19.06699509,19.68422947,19.34626035,19.43576808,20.35555439,20.33848543,20.02349954,19.43327313,19.83756107,19.70145505,19.87332532,19.01484091,19.25717287,19.5150111,19.16587165,0.00459000478602292,-4.8707154849239815,0.025526592225433,0.00126896152696498,-6.51982640120622,0.00328872529071758,0.0163976069904484,-3.54942021708287,0.0476603343367238,0.00043518800000000004,14.10620489,0.0008153219999999999
C6H12O6(5),,,28.59475321,28.569856800000004,28.48770771,28.39042849,29.07339071,29.18909204,29.02115075,28.14982978,28.07393364,28.093221600000003,28.08945551,27.88147425,27.91833605,27.90116207,27.89637214,0.000368193846533234,-8.511585569761731,0.00424104763969762,1.06170801778615e-06,-28.137654223593607,3.00173812301358e-05,3.9292903147603205e-06,-21.6180669961607,0.000163362214835302,3.07e-10,233.6539409,4.34e-09
L-Iditol/D-glucitol/galactitol,,,25.12759394,25.11004277,25.05743856,24.95617442,24.99578642,25.2445556,24.98348838,25.24475318,25.004482,24.84831762,24.90548106,27.19211435,25.4170078,25.22142602,25.31267436,0.89443172989163,-0.13959101056455805,0.961139647730622,0.260868883260527,1.26728597814033,0.312039318053938,0.5821500220264809,-0.5878959491332459,0.69367301475186,0.155011437,2.125163182,0.18400212600000002
3-dehydro-L-gulonate/D-glucuronate/L-iduronate,HMDB06334,C00618,21.49345827,21.39862585,21.47624027,21.08012036,21.15154258,21.2028915,21.30914699,21.43988972,21.29777749,20.9926087,20.94156248,21.370271,21.56573888,21.44936756,21.43682929,0.294231462703153,1.17135948918167,0.489336817650698,0.0127209929769373,3.79286840458319,0.0235489810465923,0.7323978034215809,-0.361644692770929,0.807715308028764,0.132345557,2.313967777,0.160461833
gulonate,HMDB03290,C00800,25.61502866,25.87700274,25.76862697,25.80829009,26.73554143,26.93970163,26.50754718,25.93483101,25.95490665,25.76102614,26.0570077,25.12348749,25.05494228,25.15055543,25.18188525,0.000559328144826249,-7.78682980757166,0.0051162074423812785,2.67841448611363e-05,-14.6486111211917,0.000157167340600253,0.00149024144907801,-6.2926683265022,0.00908755079731883,5.57e-08,88.33204805,2.67e-07
Methylisocitric_acid/2-methylcitrate,HMDB06471,C04593,21.9706503,21.94247436,21.8743202,21.77307692,21.32770649,21.58139709,21.39301684,21.19109129,21.04866229,21.08847579,21.05616704,20.54586833,20.42227319,20.59260871,20.52624551,0.00260857401947004,5.5503228471332084,0.0165564595929629,7.32879425818173e-05,-11.918228156410699,0.000345341668832503,0.00620599502883213,-4.533420231721331,0.0254279996731224,1.84e-09,167.5792811,1.59e-08
phenylacetate/(4-hydroxyphenyl)acetaldehyde,HMDB00209,C07086,23.74336361,23.54280456,23.43149093,23.47194925,23.39077926,23.34848711,24.85140423,23.31424705,23.31202823,23.14465357,23.237582999999997,23.47730439,23.2706546,23.10296975,23.3405008,0.486902337343728,-0.7502211143516929,0.6730041976354499,0.239209143651511,-1.33573134254479,0.290601733107891,0.20163967797053894,-1.46951855435709,0.29861876118494,0.203580659,1.80976972,0.23536648699999999
"4-Hydroxyphenylacetate/2-Hydroxyphenylacetate/3,4-Dihydroxyphenylacetaldehyde",HMDB00020,C00642,21.71469308,21.61073153,21.87411668,21.27705192,21.46011343,21.30422101,22.00809758,21.1949269,21.14370984,21.29206471,21.44267975,21.28089179,21.1122421,20.92115264,21.23362519,0.907862064178986,0.121719125782543,0.961139647730622,0.0748375582272077,-2.24400521037862,0.107255671007657,0.15873436910377695,-1.65546107737271,0.245603924334699,0.037851049,3.991254983,0.052318561
N-formylanthranilate/noradrenochrome,HMDB04089,C05653,19.74294988,18.54712424,18.42409892,18.45678311,17.75554444,18.77421002,17.96178946,18.51998661,21.6070068,19.00966875,19.77489012,18.80093169,19.16020395,18.58155561,18.58113407,0.227435968820485,1.37538565620845,0.4257590924949721,0.100014854385249,2.01493196285628,0.138859909436662,0.12263277439011698,1.85578864981084,0.199679543640452,0.148362094,2.177076214,0.17678395100000002
"4-hydroxy-2-nonenal/3,4-epoxynonanal",HMDB04362,,21.61965934,21.87258251,21.56896587,21.71381427,21.83202204,21.59321863,21.69150833,21.73675625,21.33567442,21.45257395,21.6919729,21.72320464,21.52954159,21.63023832,21.81500544,0.9086014676295908,-0.120736605534092,0.961139647730622,0.7513716912560869,-0.334789756936737,0.781527076858338,0.288341015818372,-1.1875627991058502,0.3933072628048839,0.49017823200000005,0.8604702609999999,0.531168746
4(R)-hydroxy-dodec-6Z-enoate/4(S)-hydroxy-dodec-6Z-enoate,,,20.51792994,20.30969665,20.61521903,20.18810142,20.40674561,20.06071679,20.54482591,20.41440398,20.64374315,20.12010012,20.42179077,20.64986542,20.33103814,20.19854487,20.13252881,0.690258867106521,0.422433699466767,0.824376056722424,0.9605960362788,-0.0519290281502814,0.962511847117354,0.7353974616874291,0.35737929500141097,0.8081576345752309,0.937712891,0.134039146,0.9465700659999999
linoleic_acid/linoelaidic_acid_(all_trans_C18:2)/octadecadienoate_(n-C18:2),HMDB00673,C01595,25.63531329,25.58945586,26.12114693,24.63937108,25.20849193,26.14384624,25.87529605,25.22429982,25.80597339,26.03161614,25.70011604,25.67367543,26.03283236,25.386923100000004,26.13032494,0.5952496204313249,-0.566954539480566,0.761821530675482,0.8450952109149,0.20575795294343,0.861720034736177,0.872277592643403,-0.169191967009098,0.9176028001258448,0.801284308,0.333725418,0.8279050490000001
oleic_acid/elaidate/trans-vaccenate,HMDB00207,C00712,27.37978222,27.04249811,27.43903665,26.91226108,27.40883421,27.51412719,27.01374138,26.47796389,26.93380451,26.85753318,26.362012,27.91337628,27.76664178,27.7085609,27.85149873,0.5745598021759909,-0.600163059613339,0.750683040817487,0.0155228596486319,3.6012460710236605,0.0275863391469972,0.0260082379913491,-3.12826763966162,0.0668476199612362,0.00022166700000000002,16.47043403,0.000439098
9(10)-EpOME/12(13)-EpOME,HMDB04701,C14825,20.32293934,20.21023115,20.68445746,19.81399911,19.88937326,20.67503841,20.19183055,20.17882302,20.6721368,20.93741658,21.253438,20.89389927,21.11957147,20.67728015,20.90928994,0.984518698672663,0.0203929348037257,0.990820697845815,0.0316920541241597,2.95525914543117,0.0521493589027178,0.184276145979078,1.53962108467702,0.276859330432334,0.061884779,3.2907206739999997,0.08189858
"9,10-hydroxyoctadec-12(Z)-enoate/12,13-hydroxyoctadec-9(Z)-enoate",HMDB04704,C14828,20.56248682,20.00619933,20.633419399999998,19.81321758,20.12234513,20.41021337,20.79461555,20.43416523,20.922452800000002,20.92406053,20.67771514,20.2660883,20.39702578,20.16756072,19.84194316,0.544644191367535,-0.64953919007613,0.7295645400817191,0.258013430952413,-1.2760036216942,0.309815355313515,0.22335592126200696,1.38957814308436,0.323086937267369,0.099594771,2.665359365,0.128522713
pristanic_acid,HMDB00795,,21.04903661,20.94299053,20.91053269,20.91057964,20.92615546,21.40531109,20.95103523,20.76974411,21.15433228,21.64735662,20.93314156,21.22746859,21.38185798,21.44165646,21.3469316,0.347607265199088,-1.0361812296915,0.5378400969000809,0.129556254021726,1.81308924769624,0.167883312503153,0.90713348058759,0.122687406116365,0.9372708055240552,0.187833876,1.901651745,0.217971401
C20H30O2(4),,,20.96191239,20.91053162,20.95141909,20.76185937,20.96968497,20.994548499999997,20.17234374,20.07527431,20.30108477,19.97111487,20.31236855,20.35260544,19.62274358,20.22218061,20.38406602,0.463919008476492,0.792640970962058,0.649904556919771,0.12571048760581,-1.83651059441942,0.165660854429691,0.077649031907107,-2.21464870540585,0.13799342241777302,0.007758261999999999,6.703709302,0.011600093999999998
