metabolite,HMDB,KEGG,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,ttest_pval_Th17vsTfh,ttest_tscore__Th17vsTfh,padj_lim_ttest_tscore__Th17vsTfh,ttest_pval_Th1vsTfh,ttest_tscore__Th1vsTfh,padj_lim_ttest_tscore__Th1vsTfh,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
5-Phospho-beta-D-ribosylamine,HMDB01128,C03090,18.70092506,18.97253138,18.98079288,19.10333831,18.40314368,18.5908574,18.61071523,17.69117967,16.87330574,16.80876999,17.47369193,19.59897407,19.61219077,19.21020193,19.52108492,0.01681026356236,3.52605482827445,0.0644879820843817,0.0006058720601381482,7.65461158863009,0.00168237688127646,0.00412489571508436,-4.9942751868000315,0.0185919212665396,8.690000000000001e-07,52.04106223,2.82e-06
(R)-2-hydroxy-4-methylpentanoate,HMDB00624,C03264,20.77068497,20.38539819,20.52058182,20.17142099,19.68438906,19.86355451,19.67738823,19.39744241,20.08828161,19.41711721,19.17388387,18.57641787,18.85579741,18.79545965,18.694288699999998,0.0059076195944890286,4.5873892764006206,0.0306211615647681,9.0226940034469e-05,-11.417848841841499,0.000406675048561157,0.3948632823980279,-0.930411087205218,0.5159768101923811,1.2e-05,30.77925704,3.0299999999999998e-05
4-nitrophenolate,,,20.9442838,20.39822901,21.40492374,20.31866128,20.4701014,20.38415333,21.28730676,20.37902402,20.67415987,21.04372884,20.2540974,20.41426664,20.42338238,20.27725664,20.23466198,0.896595811755782,0.136707817574185,0.961139647730622,0.188511736350676,-1.5219482171967,0.232647420655001,0.7081348254227209,-0.396439151113365,0.7893545903457571,0.456637116,0.934621788,0.496552948
2-methylglutaconic_acid,HMDB02266,,22.85518612,22.73232345,22.69678745,22.6788337,22.43793011,22.97104121,22.04450161,22.43277469,21.56022097,20.85021555,21.62556536,18.23012354,18.71628727,18.58341339,18.3697883,0.31485855850980604,1.1167847639098998,0.506522401287118,2.02920749427355e-05,-15.501042223375599,0.000134273091642356,0.10816180030978098,-1.95366242568389,0.181828756196442,5.4e-08,88.84345094,2.62e-07
adipic_acid,HMDB00448,C06104,22.98902471,22.73734044,23.06275412,22.70635821,22.43977233,22.27605039,22.70215796,22.05573143,22.83329044,22.13111171,22.00598262,21.76958693,22.15414782,21.8630875,21.57428317,0.0423399091546169,2.7087380322061403,0.13173252746366598,0.0158453906495599,-3.58175818467359,0.0278413361130685,0.4300876759908979,-0.8580081575149829,0.545948029523139,0.00179835,9.982471865,0.00297493
lysine,HMDB00182,C00047,26.09357483,18.08907423,26.12710176,25.92510938,25.51958822,25.85878316,25.48169063,25.11427234,24.6748276,24.13830358,24.62942679,25.3418925,25.34540343,25.15716847,25.55253033,0.537043720740149,-0.6623634587370899,0.7230328880960452,0.108052188782275,-1.9544544591142905,0.14635717460648098,0.0123355959098306,-3.82297991400502,0.0391591547321725,0.745724411,0.414912215,0.783514499
2-aminomuconate,HMDB01241,C02220,17.76020787,17.25297686,18.01253605,17.26375089,19.86282621,19.64935319,19.20409907,18.08963704,18.5709161,17.89334201,17.96322414,17.28243681,17.42341398,18.73159549,17.06979867,0.000779963612772178,-7.249465563237258,0.00667365252504286,0.009230418942831659,-4.11370508236125,0.0185203889756171,0.0019314975517788894,-5.93964134672122,0.0111239951593192,0.000895875,11.87595015,0.001592098
2-oxoadipate,HMDB00225,C00322,17.08647181,17.40637619,17.35941481,16.4730899,19.02848508,19.15342184,19.11622206,18.34486695,18.80417037,18.65518892,18.62729824,17.7145845,17.23783352,17.65815038,17.44834324,0.000526954692677796,-7.88674080071401,0.00499432035819327,7.12980580412237e-05,-11.985995670877099,0.000341133785397239,0.00866167200565537,-4.179196964821431,0.0313230231832421,2.43e-06,42.48253918,7e-06
erythro-5-hydroxy-L-lysinium,HMDB00450,C16741,18.06578165,17.41432977,18.33400616,18.14920408,17.41592793,17.79188989,17.51916775,17.09080726,16.34981119,15.58915364,16.74958931,17.18983325,17.52476654,17.2289716,17.74124176,0.164097426392022,1.6296822921619698,0.333557513777247,0.431110309240772,-0.8559761838443871,0.48402637607899,0.0348245886201665,-2.87416670093448,0.0795639317859217,0.002381976,9.283553254,0.0038383140000000002
arginine,HMDB00517,C00062,27.96802416,25.199923000000002,27.97704622,27.76064407,27.29003359,27.67065736,27.36492452,27.37922604,26.96510625,26.44449349,26.93395802,27.45470191,27.42182405,27.22269743,27.628976,0.800218994933581,-0.266879898306258,0.8952090195120269,0.9462335539123492,-0.0708897865062846,0.952358042934435,0.0926254336095018,-2.07519850518984,0.159151988135663,0.76135309,0.39179926,0.79456648
