metabolite,HMDB,KEGG,geoMean_Tact,geoMean_Tfh,log2FC_TfhvsTact,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells
UDP-N-acetyl-alpha-D-glucosamine/UDP-N-acetyl-alpha-D-galactosamine,HMDB00290,C00043,27.68300503,28.02224355,0.33923852,0.030103113,-2.999888247,0.09959647,27.73727986,27.79827044,27.55622634,27.64024346,28.18628052,28.07273046,27.80771967
Taurodeoxycholic_acid/taurochenodeoxycholate,HMDB00896,C05463,22.23705532,21.97583788,-0.26121744,0.076329536,2.228282597,0.200326617,22.24460613,22.24869139,22.22751752,22.22740623,22.20724284,21.99632177,21.72394902
C27H46O4(3),,,17.73345049,18.61083001,0.87737952,0.085849284,-2.135088658,0.215315542,17.67277777,17.31984647,18.64131168,17.29986604,18.21401507,18.91941001,18.69906495
Ercalcitriol,HMDB06225,,17.95937764,20.02748341,2.06810577,0.015096595,-3.627722684,0.062600549,17.70203924,18.66828814,16.78979393,18.67738923,20.2881964,20.23732896,19.55692486
4alpha-5-epoxy-8alpha-hydroperoxytocopherone/7-8-epoxy-8alpha-hydroperoxytocopherone,,,16.8930543,16.64906734,-0.24398696,0.370078259,0.984504816,0.558710382,17.19352393,16.75430242,17.1349892,16.48940163,17.00892314,16.4935923,16.44468659
L-isoleucine/L-leucine,HMDB00172,C00407,30.55873975,30.35280383,-0.20593592,0.201879433,1.468591957,0.389965861,30.66476515,30.58408239,30.51505236,30.47105909,30.32529455,30.6366783,30.09643863
thiosulfate,HMDB00257,C00320,22.30229853,21.506065,-0.79623353,0.280721416,1.208965439,0.48169689,23.08158711,21.95620336,21.95519718,22.21620647,20.7569623,22.8859218,20.8753109
Diphosphate,HMDB00250,C00013,26.51288085,26.02635311,-0.48652774,0.098196816,2.029315608,0.23694495,26.41490349,26.58957672,26.57229583,26.47474734,25.94137924,26.54914615,25.58853395
L-cysteate,HMDB02757,C00506,18.3234402,18.00633206,-0.31710814,0.360302819,1.006655993,0.549285179,18.9121592,18.09190224,18.53489884,17.7548005,18.01024513,18.20719682,17.80155423
D-Glucuronate_1-phosphate,HMDB03976,C05385,19.45261955,18.09830147,-1.35431808,0.005696301,4.627565135,0.030026264,19.70937564,19.85682849,18.8429455,19.40132856,17.84684129,18.3575752,18.09048791
dCTP,HMDB00998,C00458,18.4443229,18.92623329,0.48191039,0.681464019,-0.435344058,0.821454689,19.5280948,18.64437172,16.46082683,19.14399824,19.77684836,19.87560232,17.12624918
L-glutamate,HMDB00148,C00025,30.52995917,30.53279292,0.00283375,0.942138216,-0.076301529,0.976683284,30.51698778,30.57297833,30.55730167,30.47256888,30.53836497,30.58346632,30.47654747
myo-inositol,HMDB00211,C00137,28.45487838,29.03334467,0.57846629,0.000403349,-8.348633501,0.004338977,28.53776286,28.51521913,28.42663993,28.33989159,29.02154078,29.12983251,28.94866071
uracil,HMDB00300,C00106,23.09429736,24.22887545,1.13457809,0.000229991,-9.398564486,0.003194927,23.24885033,23.06133468,23.22352143,22.84348299,24.16804532,24.34525614,24.1733249
aspartate,HMDB00191,C00049,28.7814557,29.47687087,0.69541517,3.10E-05,-14.22115747,0.000802549,28.75309011,28.8470987,28.83888882,28.68674515,29.44282421,29.46767307,29.52011533
_Hypoxanthine_,HMDB00157,C00262,26.20597008,26.7183654,0.51239532,0.052023323,-2.537953288,0.151602789,26.30729748,26.34673743,26.36570794,25.80413745,26.52305892,27.00978824,26.62224904
_5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide_,HMDB01517,C04677,21.13758934,21.41813201,0.28054267,0.11294513,-1.919886346,0.258278936,21.11853799,21.18297993,21.36475536,20.88408406,21.41374579,21.60018505,21.2404652
_IMP_,HMDB00175,C00130,24.02493101,24.24688815,0.22195714,0.393793473,-0.932688571,0.583189381,24.05143891,23.99488424,24.30811703,23.74528384,23.78111409,24.47980027,24.47975009
_GMP_,HMDB01397,C00144,25.33332739,24.71759204,-0.61573535,0.110756842,1.935150565,0.256648209,24.84294122,25.55991483,25.83949737,25.09095612,24.42933412,24.60059541,25.12284659
_GDP,HMDB01201,C00035,24.99142479,25.24052071,0.24909592,0.744254634,-0.344828632,0.857271078,25.89379032,25.02132525,23.87932968,25.17125391,25.99277281,25.74181327,23.98697605
_GTP,HMDB01273,C00044,24.53893579,24.79933279,0.260397,0.791825076,-0.27843657,0.89520902,25.79342483,24.51116551,23.13394705,24.71720578,26.01527489,25.11295878,23.26976469
AMP,HMDB00045,C00020,27.92661893,27.34957708,-0.57704185,0.02683931,3.100456048,0.092315234,27.91151788,27.92212475,28.2465694,27.62626369,27.08916745,27.51409554,27.44546825
ADP,HMDB01341,C00008,28.38179972,28.61142216,0.22962244,0.649013334,-0.483737965,0.797799,28.94364941,28.42197012,27.65809116,28.50348817,29.008023,29.0610273,27.76521618
ATP,HMDB00538,C00002,28.22245372,28.50125625,0.27880253,0.69449044,-0.416251072,0.824376057,29.00724908,28.31884159,27.15463967,28.40908454,29.35713375,28.76117959,27.38545541
_CMP_,HMDB00095,C00055,23.73800646,23.69384258,-0.04416388,0.813883491,0.248155703,0.907232135,23.35769289,23.91220434,24.00213132,23.67999729,23.75301745,23.56907639,23.7594339
_CDP,HMDB01546,C00112,23.43136461,24.44880319,1.01743858,0.235753929,-1.347176707,0.433843028,24.33701828,23.41703055,22.23569569,23.7357139,25.2637499,24.92170791,23.16095175
_CTP,HMDB00082,C00063,23.50351661,24.21836173,0.71484512,0.442914562,-0.832783441,0.628979126,24.55447541,23.58915987,22.11288135,23.75754981,25.2454158,24.60568637,22.80398303
_UMP,HMDB00288,C00105,26.18563303,26.10841986,-0.07721317,0.73090694,0.363767503,0.848179323,25.95201855,26.35153289,26.40768747,26.03129319,25.80305985,26.04769413,26.47450559
_UDP,HMDB00295,C00015,25.53063748,26.3842885,0.85365102,0.22862305,-1.371301326,0.425759092,26.28019163,25.51498428,24.63195438,25.69541964,27.06093391,26.83272237,25.25920923
_UTP,HMDB00285,C00075,25.40569393,26.07489955,0.66920562,0.414173301,-0.890121391,0.607584417,26.3456658,25.45678691,24.24898125,25.57134174,27.03464949,26.37332955,24.81671961
_dUDP,HMDB01000,C01346,20.07563936,20.1339246,0.05828524,0.917008273,-0.109575154,0.963390452,20.6348063,20.2348474,19.29929479,20.13360893,20.42525254,20.81099965,19.16552162
_guanosine_,HMDB00133,C00387,22.86938174,24.10758066,1.23819892,0.000404599,-8.343154876,0.004338977,23.07219505,22.88167157,23.00671774,22.5169426,24.05326915,24.13329138,24.13618145
_cytidine_,HMDB00089,C00475,24.52165638,25.12278975,0.60113337,0.051475534,-2.546648201,0.151602789,24.81374828,24.52127452,24.77787407,23.97372866,25.00393009,25.13117853,25.23326063
_uridine_,HMDB00296,C00299,25.39197764,25.37541063,-0.01656701,0.938646836,0.080917286,0.976318281,25.50443601,25.40387832,25.71237134,24.94722487,25.20717569,25.41709498,25.50196121
_Thymidine_,HMDB00273,C00214,20.72729118,19.98959014,-0.73770104,0.000441349,8.19047272,0.00457532,20.86407696,20.79031605,20.7251409,20.52963081,19.98585696,20.05373105,19.92918241
_Deoxyinosine_,HMDB00071,C05512,18.83864791,18.68177917,-0.15686874,0.379598741,0.963388364,0.570315017,18.94718432,19.00325539,18.84591875,18.55823317,18.44103057,18.90882869,18.69547826
_Deoxyuridine_,HMDB00012,C00526,20.99753149,21.04723508,0.04970359,0.560785784,-0.622687068,0.739633975,21.06286399,21.02503919,21.05807873,20.84414405,20.99174508,20.98070727,21.16925289
alpha-D-glucose,HMDB03345,C00267,24.60508996,24.29793353,-0.30715643,0.20877444,1.442385859,0.398336509,24.64161389,24.61528624,24.6180412,24.54541849,24.25013587,24.75778086,23.88588387
G6P/F6P,HMDB01401,C00092,27.09023944,26.9112742,-0.17896524,0.569367501,0.608613223,0.747144695,27.27386783,27.34964768,27.24880585,26.48863639,27.03637297,26.50990573,27.18754391
"beta-D-Fructose_1,6-bisphosphate",HMDB60444,C05378,24.91169699,24.1903803,-0.72131669,0.357178831,1.013839799,0.547205007,25.06750852,25.09695738,23.6933109,25.78901114,23.63945884,25.35205589,23.57962617
Dihydroxyacetone_phosphate,HMDB01473,C00111,22.70344965,23.10076282,0.39731317,0.043261171,-2.690724442,0.131904159,22.76916451,22.75260711,22.68082956,22.6111974,23.38007172,23.1255931,22.79662364
D-Glycerate_3-phosphate/D-Glycerate_2-phosphate,HMDB00807,C00197,25.01440903,24.79877193,-0.2156371,0.640202257,0.497100176,0.796411608,25.22925273,25.25094428,24.02397809,25.55346103,24.57546382,25.19720218,24.6236498
Phosphoenolpyruvate,HMDB00263,C00074,22.97484137,23.31531185,0.34047048,0.561265653,-0.621896481,0.739633975,23.36455436,22.85229371,22.15317174,23.52934566,23.85769872,23.74350549,22.34473133
pyruvate,HMDB00243,C00022,23.54147466,24.28884691,0.74737225,0.11936665,-1.876797489,0.267072144,23.76305106,23.58258202,23.61734388,23.20292168,25.17621694,23.90402399,23.7862998
lactate,HMDB00190,C00186,33.3935232,33.02549502,-0.36802818,0.010590305,3.974336014,0.047051213,33.43898098,33.56072315,33.32084394,33.25354472,33.00864842,33.1292483,32.93858833
citrate/isocitrate,HMDB00094,C00158,29.28818557,29.26258155,-0.02560402,0.920022393,0.105577463,0.963390452,29.39783207,29.44466611,28.95734831,29.35289578,29.31717011,29.65331403,28.81726052
cis-aconitate,HMDB00072,C00417,21.28494939,20.93019539,-0.354754,0.237445513,1.341553974,0.434385615,21.45074423,21.47734869,21.12252283,21.08918182,20.3731723,21.16002244,21.25739143
2-oxoglutarate(2-),HMDB00208,C00026,24.45107601,23.50291767,-0.94815834,0.004678507,4.848859618,0.025526592,24.59474105,24.50247013,24.5492798,24.15781306,23.17421315,23.51438662,23.82015323
succinate(2-),HMDB00254,C00042,28.6345072,27.94175117,-0.69275603,0.000143106,10.37708266,0.002342425,28.70247633,28.66558353,28.60492297,28.56504597,27.95641841,28.04972512,27.81910998
fumarate,HMDB00134,C00122,27.31561521,26.53451788,-0.78109733,1.43E-05,16.6470751,0.000689621,27.3484684,27.3766077,27.27570536,27.26167938,26.53741776,26.60219385,26.46394202
malate(2-),HMDB00156,C00149,30.03604514,29.15189609,-0.88414905,0.000128632,10.60953103,0.002281471,30.05178181,30.11510379,29.95153787,30.0257571,29.16798823,29.29450364,28.99319639
acetoacetate,HMDB00060,C00164,22.72388481,22.77400948,0.05012467,0.670564692,-0.451461234,0.811461553,22.79019694,22.75326159,22.6986387,22.653442,22.73186927,22.58044313,23.00971604
2-Hydroxyglutarate,HMDB00694,C02630,25.24564426,25.68533982,0.43969556,0.000529944,-7.877213849,0.00499432,25.23850103,25.18268445,25.31772907,25.2436625,25.70439792,25.76786041,25.58376113
dUMP,HMDB01409,C00365,15.93314498,14.91968694,-1.01345804,0.180262405,1.556737413,0.354820304,14.90810496,15.81347601,15.85922948,17.15176948,15.76335853,14.56687329,14.428829
dTTP,HMDB01342,C00459,20.08863388,19.6372499,-0.45138398,0.518166443,0.69474928,0.700651146,20.80461567,20.28390937,18.95498062,20.31102986,20.36590416,19.95716502,18.58868053
2-aminoacrylic_acid,HMDB03609,C02218,25.14294586,25.54779717,0.40485131,2.04E-05,-15.48643851,0.000713222,25.12808431,25.17546271,25.16174565,25.10649078,25.50438642,25.56356395,25.57544114
N-Methylethanolamine_phosphate,,C01210,19.6034628,19.00864607,-0.59481673,0.000233313,9.370348236,0.003194927,19.74624455,19.58205482,19.53969916,19.54585266,19.0040012,18.95494687,19.06699013
creatinine,HMDB00562,C00791,29.49152146,29.29568849,-0.19583297,0.287671044,1.189424322,0.488883577,29.46887171,29.5532086,29.42509029,29.51891525,29.19126567,29.66923815,29.02656166
creatine,HMDB00064,C00300,31.17621585,31.05440986,-0.12180599,0.341882661,1.049791152,0.531627537,31.11816708,31.19641272,31.20815484,31.18212874,30.78639963,31.1508816,31.22594836
Phosphodimethylethanolamine,HMDB60244,C13482,23.46133172,23.22513486,-0.23619686,0.042517499,2.705232144,0.131732527,23.51930989,23.56000933,23.41355837,23.35244927,23.2502842,23.34886286,23.07625752
"5,6-dihydrothymine",HMDB00079,C00906,26.35984219,26.20578676,-0.15405543,0.056147767,2.475533288,0.157319787,26.3855405,26.36302384,26.39868703,26.29211738,26.33724651,26.1559656,26.12414816
2-deoxy-D-ribose,HMDB03224,C01801,19.71763951,19.74467489,0.02703538,0.854494439,-0.193079883,0.932448317,19.83503174,19.72821835,19.74413566,19.56317229,19.65859781,20.03110946,19.5443174
2-keto-4-methylthiobutyrate,HMDB01553,C01180,20.80132999,20.24305151,-0.55827848,0.00162406,6.173808403,0.011746109,20.90663449,20.9211865,20.72753121,20.64996777,20.19876085,20.34685134,20.18354233
L-cysteinylglycine,HMDB00078,C01419,21.76676437,22.75292621,0.98616184,0.281893357,-1.20564006,0.48169689,23.03468761,21.5506125,22.28313145,20.19862593,23.25971007,23.19575911,21.80330946
choline_phosphate,HMDB01565,C00588,31.97717019,31.57695125,-0.40021894,0.002208335,5.763577787,0.0146126,32.04483171,32.06186067,31.89092157,31.91106681,31.58523894,31.66679627,31.47881854
Nicotinamide,HMDB01406,C00153,27.70672737,27.31463918,-0.39208819,0.081865407,2.172682147,0.209712132,27.49709003,27.85156984,27.49478354,27.98346608,27.2726897,27.54783166,27.12339617
Urocanate,HMDB00301,C00785,23.05082324,23.50453337,0.45371013,0.231886532,-1.360174476,0.429266139,23.03582599,23.01370488,23.37454137,22.7792207,23.5286711,22.87090112,24.11402788
Methylimidazoleacetic_acid,HMDB02820,C05828,21.94383686,22.05178871,0.10795185,0.126350024,-1.832565371,0.276361573,21.95887732,21.98456442,21.83042728,22.0014784,22.13440332,22.03728319,21.98367961
citr_L[e],,,23.58499203,22.25421119,-1.33078084,6.22E-05,12.32758057,0.001289562,23.65643909,23.61878428,23.58678154,23.47796319,22.20020401,22.47845478,22.08397478
D-Glucosamine,HMDB01514,C00329,21.07069155,20.68397543,-0.38671612,0.274549942,1.226685227,0.476444102,21.42988477,21.29591136,21.03283539,20.52413469,20.77484886,21.06255418,20.21452324
benzoate,HMDB01870,C00180,23.02925638,22.8289346,-0.20032178,0.151449881,1.691900893,0.317077747,23.07310783,23.06494894,23.00732518,22.97164358,22.85049086,23.05529126,22.58102169
anthranilate,HMDB01123,C00108,23.8175542,23.92902375,0.11146955,0.042781303,-2.700053991,0.131732527,23.77650997,23.87119703,23.85182478,23.77068503,23.87835232,23.99193768,23.91678124
N(2)-acetyl-L-ornithine,HMDB03357,C00437,21.0874364,20.88311188,-0.20432452,0.079099933,2.199939411,0.20500066,21.03099262,21.02067195,21.16710476,21.13097626,20.96440514,20.99761003,20.68732046
dopaminochrome,,,23.47199634,22.88585665,-0.58613969,0.01803487,3.460383448,0.066771959,23.59345361,23.42458957,23.5153466,23.35459557,22.92322781,23.19211037,22.54223178
Pyridoxal,HMDB01545,C00250,23.11906568,22.50506486,-0.61400082,0.023384815,3.223097577,0.084566018,23.25167445,23.07911317,23.17671902,22.96875607,22.5796355,22.82668111,22.10887796
sn-Glycero-3-phosphocholine,HMDB00086,C00670,32.21786242,32.75630106,0.53843864,0.00177863,-6.05011129,0.012571679,32.30252236,32.31979573,32.11197596,32.13715564,32.77991479,32.87052848,32.61845992
5-amino-1-(5-phospho-D-ribosyl)imidazole,HMDB01235,C03373,20.55321203,22.18239793,1.6291859,0.210854694,-1.434641695,0.3998525,17.84797264,21.28955763,21.7559839,21.31933394,21.32225442,22.45467252,22.77026685
coumarin,HMDB01218,C05851,21.98408733,21.79488899,-0.18919834,0.171273183,1.596465977,0.341475009,22.06481515,22.12068035,21.96919033,21.7816635,21.8136342,21.94904757,21.62198521
N6N6N6-Trimethyl-L-lysine,HMDB01325,C03793,25.15348178,25.73161969,0.57813791,0.644493836,-0.490579369,0.797799,26.2567666,22.17849422,26.24716036,25.93150592,25.65160875,25.88405695,25.65919338
L-Alanyl-L-leucine,HMDB28691,,20.30359136,20.30125862,-0.00233274,0.987634779,0.016287749,0.990820698,20.21769423,20.36299867,20.21909997,20.41457256,20.27326498,20.5838431,20.04666779
3-Hydroxy-N6N6N6-trimethyl-L-lysine,HMDB01422,C01259,20.45652269,19.95805199,-0.4984707,0.013503174,3.734848489,0.057527221,20.67213012,20.18183378,20.57073795,20.4013889,19.96692713,20.03887272,19.86835611
C9H13N5O3(4),,,29.30276366,29.13592069,-0.16684297,0.248998391,1.304118503,0.442505712,29.37846995,29.33756022,29.24911222,29.24591224,29.16468951,29.37253267,28.87053988
5-Hydroxyindoleacetate,HMDB00763,C05635,19.27286686,19.09470183,-0.17816503,0.301908903,1.150665796,0.496791898,19.41505267,19.30788381,19.18697845,19.18155251,19.16664185,19.34208064,18.775383
N-methyl-467-trihydroxy-1234-tetrahydroisoquinoline,HMDB60065,,17.28080439,16.68401942,-0.59678497,0.167391281,1.614260553,0.338043431,17.45669632,16.99606095,17.69057965,16.97988065,16.32465911,16.31265465,17.41474449
xanthosine,HMDB00299,C01762,19.41619722,19.07431647,-0.34188075,0.016924434,3.519705516,0.064487982,19.27870079,19.40678736,19.46853229,19.51076842,19.18224559,18.8924439,19.14825992
glutathione,HMDB00125,C00051,28.02222102,28.88018541,0.85796439,0.316967136,-1.111383243,0.506522401,29.20350582,27.86425489,28.47140126,26.5497221,29.35222626,29.34542028,27.9429097
beta-carboline,HMDB12897,C20157,19.31990341,19.11192052,-0.20798289,0.15718525,1.663068644,0.323739156,19.1830789,19.29931987,19.57197084,19.22524403,19.12541426,19.25032947,18.96001783
5-methoxytryptophol,HMDB01896,,19.21864975,19.44428283,0.22563308,0.46201412,-0.796225078,0.649904557,19.50397113,19.15913241,18.73013989,19.48135555,19.80125935,19.49444229,19.03714685
"N1,N12-diacetylspermidine",HMDB41876,C03413,17.52313702,18.59316508,1.07002806,0.056655357,-2.468198397,0.157319787,16.64591739,17.64505759,18.1063556,17.69521748,18.12496832,18.57427313,19.08025378
5-Methylthioadenosine,HMDB01173,C00170,25.31381654,24.27727932,-1.03653722,0.000830642,7.151394837,0.006798151,25.170203,25.62140886,25.1482978,25.31535649,24.12096461,24.37520933,24.33566401
N-acetylneuraminic_acid,HMDB00230,C19910,25.33602413,24.95880911,-0.37721502,0.0564873,2.47061895,0.157319787,25.4586644,25.44980294,25.29071643,25.14491275,25.01260742,25.18578701,24.67803289
NeuNGc,,C03410,20.20255483,19.45787499,-0.74467984,0.000885286,7.053288162,0.007059592,19.95500613,20.2506239,20.31047658,20.2941127,19.40833421,19.41844693,19.54684384
thiamine,HMDB00235,C00378,24.38247161,24.09439399,-0.28807762,0.317594432,1.109782312,0.506522401,24.55535906,24.23129902,24.23733688,24.50589146,24.09589023,24.58787064,23.5994211
S-(2-Methylpropanoyl)-dihydrolipoamide,HMDB06868,C04424,25.30720045,24.79659223,-0.51060822,0.068159486,2.318752161,0.184326957,25.51014103,25.37052488,25.2628598,25.08527609,24.93975661,25.10480423,24.34521584
CDP-ethanolamine,HMDB01564,C00570,16.55272517,18.62700915,2.07428398,0.004639167,-4.85851473,0.025526592,16.95418652,15.60354356,17.1330624,16.52010821,18.8448776,18.73160854,18.30454131
beta-1-4-mannose-N-acetylglucosamine,HMDB06535,,16.59818711,16.97977157,0.38158446,0.600936945,-0.557949693,0.765948319,15.40911358,17.33900409,16.85981344,16.78481732,17.44545313,15.847541,17.64632057
CMP-N-trimethyl-2-aminoethylphosphonate,HMDB60072,C05674,16.48780099,14.04794199,-2.439859,0.219167424,1.404404402,0.413097386,17.01233015,16.50694807,16.66592048,15.76600525,9.965784285,15.93755884,16.24048283
CDPcholine,HMDB01413,C00307,23.0584064,23.01321611,-0.04519029,0.840484673,0.211991106,0.920389906,23.09138315,22.91318443,23.46228712,22.76677088,22.81691505,22.93622164,23.28651165
GSSG,HMDB03337,C00127,27.33344285,26.62946758,-0.70397527,0.124797177,1.84218045,0.275261858,26.72031892,27.56709467,27.42630493,27.62005287,26.32048798,26.24209741,27.32581736
CMP-N-acetyl-beta-neuraminate,,C00128,23.98785379,23.28165402,-0.70619977,0.116491029,1.895789885,0.262526884,23.40335514,24.18328489,24.08597078,24.27880435,23.00187545,22.87479163,23.96829499
NAD+,HMDB00902,C00003,26.60870009,25.98392753,-0.62477256,0.015611072,3.595870527,0.063882151,26.6267205,26.6430777,26.62721298,26.53778919,25.5835046,26.25953704,26.10874096
NADP+,HMDB00217,C00006,22.09226687,21.80167826,-0.29058861,0.686978667,0.427239197,0.824376057,22.67250732,22.18022993,21.02335961,22.49297062,22.34729035,22.49612266,20.56162177
Flavin_adenine_dinucleotide_oxidized,HMDB01248,C00016,18.26172812,17.91035358,-0.35137454,0.409177426,0.900400526,0.603100377,18.67040998,18.51637125,17.52373201,18.33639925,17.61628857,18.50097746,17.61379472
13-carboxy-gama-tocopherol,HMDB12517,,23.11576097,23.06096749,-0.05479348,0.799621722,0.267700805,0.89520902,23.21456371,22.81509983,23.55153693,22.88184342,23.03232542,23.15618705,22.99439
bilirubin,HMDB00054,C00486,15.13187627,14.97041385,-0.16146242,0.663395953,0.462135789,0.807144932,14.6261449,15.49364389,15.22755612,15.18016018,15.58647801,14.86096823,14.4637953
C4H9NO2(4),,,25.07450804,25.37922761,0.30471957,0.000481325,-8.040658886,0.004828779,25.13284982,25.08731156,25.04644543,25.03142536,25.42313101,25.31722736,25.39732445
Ureidopropionic_acid/Glycyl-glycine,HMDB00026,C02642,27.57661644,27.50435641,-0.07226003,0.472107613,0.777355828,0.655470838,27.65546646,27.65274485,27.54685274,27.4514017,27.48412393,27.66426074,27.36468455
histamine,HMDB00870,C00388,24.7697925,24.25707952,-0.51271298,0.124602936,1.843391777,0.275261858,24.35938793,24.81625401,25.07148307,24.83204498,23.79833284,24.28406091,24.68884481
acetamidopropanal,HMDB12880,C18170,31.47114421,31.27152277,-0.19962144,0.008891472,4.152153846,0.04066541,31.45986597,31.53079091,31.45929108,31.43462888,31.36063545,31.18994445,31.26398842
Ornithine,HMDB00214,C00077,21.10329529,22.22546639,1.1221711,0.546586938,-0.646280154,0.72956454,22.59362616,16.70401048,22.65161078,22.46393373,22.12977683,22.22296592,22.32365642
3-Ureidoisobutyrate/Glycylsarcosine,HMDB02031,C05100,30.03934645,29.61523448,-0.42411197,0.027369609,3.083210732,0.092315234,30.14174465,30.05346443,30.00881499,29.95336172,29.51322836,29.91879032,29.41368475
C6H11NO3(4),,,22.50690291,22.92550099,0.41859808,0.007619028,-4.313264998,0.035901781,22.39970434,22.54733806,22.47929696,22.60127227,23.08761258,22.94066274,22.74822765
(R)-mevalonate,HMDB59629,C00408,22.46175257,22.02136342,-0.44038915,0.039211033,2.773316118,0.125717847,22.53748953,22.40253471,22.49922617,22.40775988,21.84181115,22.38882232,21.83345678
spermidine_dialdehyde-2,HMDB13076,,21.79937702,21.27614476,-0.52323226,0.01607893,3.567927653,0.064109579,21.98573216,21.61714077,21.9857761,21.60885904,21.13906948,21.43734184,21.25202295
acetylcholine/4-(trimethylammonio)butanoate,HMDB00895,C01996,26.99028584,26.90235089,-0.08793495,0.368023983,0.989119442,0.558319311,27.07566778,27.11119543,26.92894808,26.84533206,26.86107944,27.01918202,26.82679121
isoputreanine/putreanine,HMDB06009,,23.36390616,22.95225019,-0.41165597,0.098282632,2.028630412,0.23694495,23.63462386,22.88426254,23.55523042,23.38150781,22.94084355,23.03699906,22.87890796
Glycylproline/L-Prolinylglycine,HMDB00721,,19.58817578,19.08289889,-0.50527689,0.084357116,2.148948388,0.213293196,19.25060075,19.96815194,19.83707213,19.29687829,19.2944581,19.00533828,18.94890028
Pyridoxine/Norepinephrine-1,HMDB00239,C00314,27.64799529,27.32322354,-0.32477175,0.101866802,2.000558486,0.241836453,27.67847118,27.67306215,27.61763274,27.6228151,27.354448,27.64026714,26.97495549
C9H8O3(3),,,23.77582565,23.52775219,-0.24807346,0.0582641,2.445414992,0.158948553,23.88932423,23.86658653,23.71918284,23.62820899,23.51504631,23.67875545,23.3894548
pseudoecgonine/ecgonine,HMDB06348,C12449,19.70063279,19.439948,-0.26068479,0.196108481,1.491194873,0.381185861,19.75623676,19.79012091,19.89631384,19.35985964,19.20476655,19.47548502,19.63959242
indole-3-acetate/(5-hydroxyindol-3-yl)acetaldehyde,HMDB00197,C00954,25.11161306,24.20155911,-0.91005395,0.053134097,2.520625306,0.151602789,25.11358168,24.72495673,25.02630936,25.58160448,24.11540797,24.84816354,23.64110581
(-)-Salsolinol/NN-dimethyldopaminequinone-1,HMDB42012,C09642,21.16561552,21.23309841,0.06748289,0.391937821,-0.936650779,0.583189381,21.11688301,21.16855624,21.16999448,21.20702836,21.28641805,21.34080776,21.07206942
L-kynurenine/Formyl-5-hydroxykynurenamine,HMDB00684,C00328,20.84539549,20.7472648,-0.09813069,0.614469901,0.536724692,0.776829834,20.93272837,20.96834604,20.7496268,20.73088076,20.73320919,21.10156608,20.40701912
methyl_indole-3-acetate,HMDB29738,,17.04229092,16.8646308,-0.17766012,0.554873401,0.632463632,0.737459948,16.83345668,17.35262317,16.95776939,17.02531444,16.40689868,17.42114546,16.76584827
sphingosine/(2S)-1-hydroxy-3-oxooctadecan-2-aminium,HMDB00252,C00319,22.88140278,23.54559644,0.66419366,0.160740873,-1.645716451,0.328884286,22.84043356,23.01147348,23.31339654,22.36030755,23.42180415,22.93801171,24.27697345
3-oxo-10(R)-hydroxy-octadeca-6E8E12Z-trienoate/3-oxo-10(S)-hydroxy-octadeca-6E8E12Z-trienoate,,,20.23000396,20.08046193,-0.14954203,0.607931445,0.546944722,0.771700732,20.29064584,20.24812931,19.69053962,20.69070105,20.12268566,19.8036037,20.31509644
C18H32O4(3),,,19.92312282,20.18842619,0.26530337,0.626205221,-0.518538962,0.786054326,20.35106044,20.47977133,18.68869588,20.17296364,19.85827172,20.33074089,20.37626597
C20H28O(5),,,15.65040472,15.802603,0.15219828,0.822244047,-0.236750524,0.910028109,15.81317671,16.04387889,14.37504031,16.36952297,16.6154258,15.05979815,15.73258505
C20H28O2(7),,,18.38880976,18.82545563,0.43664587,0.504162137,-0.719299274,0.690724337,18.57702489,19.10362521,16.90998642,18.96460252,18.96906019,18.93086871,18.57643799
C27H44O2(5),,,21.90013745,21.98696085,0.0868234,0.912151708,-0.116020963,0.961624343,22.63896828,21.15025526,22.63048038,21.18084588,23.30044974,21.16699261,21.49344019
5-guanidino-2-oxopentanoic_acid,HMDB04225,C03771,24.72301978,24.29051874,-0.43250104,0.114723207,1.907707113,0.260430055,24.37710395,24.8069015,24.96973872,24.73833494,23.89007855,24.41253452,24.56894315
L-serine,HMDB00187,C00065,26.38002459,26.06364077,-0.31638382,0.006728971,4.445726793,0.032698594,26.42961905,26.42783391,26.40795527,26.25469013,26.01614093,26.18432391,25.99045748
L-asparagine,HMDB00168,C00152,27.5499564,27.4702521,-0.0797043,0.438493713,0.841413705,0.626695178,27.62701931,27.6271101,27.5226182,27.423078,27.45251337,27.63356195,27.32468099
choline,HMDB00097,C00114,31.78285253,31.47583675,-0.30701578,0.001519595,6.265546685,0.011252236,31.81980904,31.83451681,31.7796917,31.69739255,31.44090982,31.55413737,31.43246307
L-methionine,HMDB00696,C00073,26.03852984,25.80691265,-0.23161719,0.175334655,1.578268585,0.347318967,26.12805691,26.12967417,25.98215929,25.91422898,25.75403745,26.10303166,25.56366885
L-histidine,HMDB00177,C00135,21.24269744,21.38758228,0.14488484,0.327191135,-1.085624479,0.519165525,21.37708269,21.27424119,21.27053818,21.04892769,21.30501391,21.63509765,21.22263528
