GeneSymbol,mArray_stat,mArray_padj,mArray_log2FC_TCvsB6,RNAseq_log2FoldChange,RNAseq_stat,RNAseq_pvalue,RNAseq_padj,stat_annot
Myo1d,8.10516,0.000229548,0.37404,0.703806025,3.395232618,0.000685703,0.003085761,co_high_FC0
Mill2,8.03511,0.000233246,0.622712,4.03694985,11.21700908,3.36E-29,6.86E-27,co_high_FC1.5
1110051M20Rik,-9.48123,0.000245844,-0.632661,-3.362207999,-16.96643872,1.45E-64,1.22E-61,co_low_FC1.5
Zfp30,8.44315,0.000248006,0.511224,2.628891218,7.851937887,4.10E-15,2.19E-13,co_high_FC0
5330416C01Rik,7.74447,0.000278184,0.336948,7.074077051,6.062636106,1.34E-09,2.71E-08,co_high_FC0
Nomo1,-7.52013,0.000286408,-0.26278,-0.551599647,-8.536078239,1.39E-17,9.95E-16,co_low_FC0
Zcchc9,-7.85959,0.00029824,-0.573795,0.141367698,1.704617275,0.088265827,0.181071155,
Bcam,-8.22431,0.00030224,-0.591352,-3.119967659,-13.92442898,4.50E-44,2.11E-41,co_low_FC1.5
Rgs3,8.54103,0.000304577,0.356212,0.700655711,9.71439441,2.62E-22,3.11E-20,co_high_FC0
Spry1,7.51133,0.000308303,0.424616,1.562550324,10.35067537,4.16E-25,6.01E-23,co_high_FC0
Pdcd5,-7.66184,0.000309141,-0.280516,-0.386994346,-3.652565025,0.000259634,0.001319149,co_low_FC0
Nt5c1a,10.7449,0.000310916,0.729537,7.793943696,6.626498679,3.44E-11,9.46E-10,co_high_FC1.5
Gm10472,7.83053,0.000314856,0.289959,1.941143483,1.094672042,0.273660341,,
Slamf6,-7.41732,0.000335105,-0.525858,0.512886654,5.835315723,5.37E-09,9.47E-08,
Fgd6,8.42787,0.000337533,0.495692,0.672072086,2.670059573,0.007583779,0.024167219,co_high_FC0
Gfod2,7.42517,0.000361158,0.13302,-0.187671785,-0.857884985,0.390955976,0.551913037,
Alad,7.37088,0.000371029,0.547642,0.823208313,9.847206181,7.05E-23,8.76E-21,co_high_FC0
Mfge8,7.59875,0.000371152,0.665688,1.227081876,9.763541867,1.61E-22,1.98E-20,co_high_FC1.5
Gm13160,-8.60156,0.000381199,-0.353814,0.429297661,0.118731585,0.905488013,,
Slc38a6,7.17124,0.000383612,0.293145,0.675760181,5.364222502,8.13E-08,1.08E-06,co_high_FC0
Plagl1,7.8215,0.000421545,0.753248,0.987547828,2.852223181,0.004341461,0.015056455,co_high_FC1.5
Hdac9,-7.0063,0.000427121,-0.393315,-0.249402721,-0.862674137,0.388316656,0.549781183,
Kcnq4,7.7198,0.000428002,0.261215,2.517620131,8.216146296,2.10E-16,1.33E-14,co_high_FC0
Fuz,-12.2602,0.000442119,-0.324564,-0.364720323,-4.145215821,3.39E-05,0.000223353,co_low_FC0
Hpcal4,7.07639,0.000457023,0.655757,5.662610306,10.70435824,9.71E-27,1.54E-24,co_high_FC1.5
Gm4956,-7.34859,0.000477763,-1.40544,-0.606376159,-2.453369149,0.014152502,0.04079326,co_low_FC1.5
Igkv4-55,-7.00513,0.000482771,-4.17471,-2.70808207,-1.750840035,0.079973468,0.167375073,
Nrros,-8.86441,0.000498796,-0.414558,-0.036833551,-0.435502788,0.663197516,0.784690499,
Pkd1,6.87385,0.000504826,0.16657,0.347010872,4.109312119,3.97E-05,0.000255274,co_high_FC0
Serinc5,-6.99241,0.000512243,-0.683858,-0.64880532,-5.633712739,1.76E-08,2.77E-07,co_low_FC1.5
Sash1,7.35493,0.000518797,0.351782,0.765962677,2.118101508,0.034166472,0.08437135,
Cxxc5,6.81691,0.000521125,0.43131,0.75564724,4.211173856,2.54E-05,0.000172487,co_high_FC0
AU020206,6.90859,0.000558088,0.298647,0.839320098,8.52998922,1.46E-17,1.04E-15,co_high_FC0
Klk1b11,-6.75438,0.00058224,-0.373307,-1.831541169,-0.648183564,0.516866231,,
Pdzrn3,6.61466,0.000586202,0.821498,0.968697545,3.881645491,0.000103752,0.000590514,co_high_FC1.5
Chn2,7.23754,0.000587904,0.521655,0.583803084,5.239904377,1.61E-07,1.96E-06,co_high_FC0
Gfra4,6.77419,0.000602278,0.551191,1.65592821,5.467919051,4.55E-08,6.42E-07,co_high_FC0
Il4,8.1132,0.000602698,1.08681,0.935487646,5.879869985,4.11E-09,7.48E-08,co_high_FC1.5
Mtus1,7.8543,0.000607183,1.2721,7.12975056,31.50416236,7.62E-218,6.06E-214,co_high_FC1.5
Agbl1,10.2438,0.000629384,0.575871,2.373272996,4.795548208,1.62E-06,1.52E-05,co_high_FC0
Pde11a,-6.50203,0.000634054,-0.614081,-1.911104974,-8.999647813,2.26E-19,1.98E-17,co_low_FC1.5
Klf14,6.84118,0.000640772,0.318757,2.16125548,0.574663851,0.56551866,,
Hdac4,6.96714,0.000645456,0.17465,0.131559426,1.34537063,0.178505575,0.31335982,
Hdac4,0.203155,0.847733,0.0159237,0.131559426,1.34537063,0.178505575,0.31335982,
Bace1,6.45615,0.000660489,0.174058,-0.299156346,-0.434630148,0.663830908,0.784833267,
F2rl1,-7.63702,0.000672673,-0.796844,-1.631109504,-13.25490072,4.23E-40,1.64E-37,co_low_FC1.5
Zfp658,9.48795,0.000676241,0.333062,1.799544078,15.39929218,1.65E-53,1.10E-50,co_high_FC0
Cobl,-6.57225,0.000677573,-0.567339,-9.493096801,-7.8895777,3.03E-15,1.65E-13,co_low_FC0
Fam69c,6.65393,0.000678345,0.292783,2.039739991,4.546589759,5.45E-06,4.45E-05,co_high_FC0
Rpl31-ps15,-7.82375,0.000684386,-0.127223,0.429296433,0.114354019,0.908957162,,
Myo1f,-11.3356,0.000684421,-0.447129,-0.193230609,-2.52609397,0.011533863,0.034295455,co_low_FC0
Klk1b27,-9.74485,0.000698932,-1.36503,-4.030152467,-8.871264654,7.23E-19,6.09E-17,co_low_FC1.5
Tmco1,6.82982,0.000699041,0.39317,0.35311337,3.834710925,0.000125712,0.000699975,co_high_FC0
Edem1,-9.62733,0.000713756,-0.492606,-0.158799828,-2.659705227,0.007820907,0.02482342,co_low_FC0
Tlr4,6.43968,0.000719369,0.525135,0.776320626,4.915699988,8.85E-07,8.85E-06,co_high_FC0
Dhx29,-6.55622,0.000735896,-0.259463,-0.177686429,-1.747140054,0.080613047,0.168405274,
Mtfr2,-7.07172,0.000738685,-0.356942,0.351780581,0.489670718,0.624366925,0.754452042,
Zfp74,6.81525,0.00074163,0.382945,1.142021644,10.67709023,1.30E-26,2.01E-24,co_high_FC0
Gm13256,7.34361,0.00074969,0.273619,1.005743491,1.118625711,0.26329985,0.416988463,
Slc1a4,6.39739,0.000773059,1.04635,1.173092953,2.997664863,0.002720567,0.01012369,co_high_FC1.5
Ptprj,6.51212,0.000777267,0.540043,0.828851346,5.300206164,1.16E-07,1.48E-06,co_high_FC0
Pbx3,6.22116,0.000806695,0.38877,0.32124299,2.583833274,0.009770902,0.029874207,co_high_FC0
Ivd,-6.18909,0.000819332,-0.231115,-0.404472119,-2.388230661,0.016929713,0.047253145,co_low_FC0
Erap1,-6.23561,0.000821996,-0.355246,-0.295575545,-4.566907595,4.95E-06,4.08E-05,co_low_FC0
Arrdc4,8.02341,0.000851695,0.698255,0.515833989,4.111035176,3.94E-05,0.000253992,co_high_FC0
Muc20,7.39629,0.000891645,0.615147,2.811721214,5.10105645,3.38E-07,3.75E-06,co_high_FC1.5
Tmc3,6.17527,0.00090305,0.267077,0.767952823,1.998697584,0.045641085,0.10609148,
Dhdh,11.2381,0.000910664,1.00324,2.145177209,17.46422634,2.68E-68,2.51E-65,co_high_FC1.5
Gm19684,6.42988,0.000915872,0.180151,-0.499427179,-1.418532774,0.156035277,0.281560666,
Megf8,6.49817,0.000918272,0.295405,1.657885599,13.81137621,2.18E-43,9.89E-41,co_high_FC0
Gcat,-6.05609,0.000925447,-0.110812,-0.37644608,-3.139574046,0.001691936,0.006712051,co_low_FC0
Grik5,-8.54804,0.000928438,-0.22668,-0.015099856,-0.230792154,0.817476277,0.889312221,
Gm5432,7.38178,0.000938228,0.149516,-0.810831247,-1.254298925,0.209733374,0.352539996,
Arl5a,7.72123,0.000940394,0.457345,0.134191926,1.774014509,0.07606075,0.160559238,
Dusp4,6.08397,0.000964057,0.578957,1.053673048,5.914553969,3.33E-09,6.13E-08,co_high_FC0
Gm5620,-5.98514,0.000977163,-0.236425,0.016560047,0.012047547,0.990387681,,
