GeneSymbol,mArray_stat,mArray_padj,mArray_log2FC_TCvsB6,RNAseq_log2FoldChange,RNAseq_stat,RNAseq_pvalue,RNAseq_padj,stat_annot
Brd1,-1.47771,0.190835,-0.0660556,0.265309053,3.630868384,0.000282469,0.00142155,
Sh3bp5l,1.48015,0.190859,0.0840489,-0.047624631,-0.552285759,0.580752586,0.721484743,
Adhfe1,1.59742,0.190871,0.105437,0.357917371,0.276293135,0.782322928,0.867593455,
Grid2ip,1.56785,0.190876,0.0807296,0.585320049,0.347603851,0.728137714,,
Ddah2,1.54205,0.190878,0.0967853,0.111638981,0.345150098,0.729981532,0.830937341,
Hnf1b,1.47882,0.190909,0.0699011,-0.870885705,-0.36967308,0.711626092,,
Pdap1,-1.60645,0.190915,-0.0810623,-0.243225997,-3.320166077,0.000899639,0.003916655,
Nr2f6,1.47297,0.191188,0.0539829,0.188761466,1.405441028,0.159890174,0.286918543,
Syt5,1.56665,0.191231,0.109481,-0.427745265,-1.049788585,0.293815325,0.451601506,
Col5a2,1.47347,0.191241,0.0912702,-1.871603401,-0.912742197,0.361378145,,
Tiprl,-1.56539,0.19126,-0.0749445,-0.171737142,-2.158592066,0.030881829,0.077855489,
Selenbp1,1.47588,0.191281,0.132652,0.123824327,0.266617401,0.789763756,0.871259489,
Klri1,1.47251,0.191394,0.142142,-1.256120407,-0.332869437,0.73923284,,
Tango6,1.62768,0.191428,0.0729428,0.173267242,1.184874428,0.2360671,0.385125159,
Col6a5,1.47326,0.191469,0.129023,-0.094079344,-0.0542087,0.956768889,,
Tmsb4x,-1.54239,0.191675,-0.116057,-0.503441841,-5.004522045,5.60E-07,5.90E-06,
Smim13,-1.68488,0.191752,-0.132302,-0.315450841,-2.579660764,0.009889741,0.030167978,
Nhp2,-1.5056,0.19176,-0.0698429,-0.622245122,-4.577697408,4.70E-06,3.90E-05,
Crocc,1.47577,0.192009,0.0973428,0.579799444,5.943197397,2.80E-09,5.25E-08,
Mir7024,1.53303,0.192019,0.112868,1.05824559,0.600282371,0.548318065,,
Terc,1.67825,0.192139,0.0961172,1.300288087,1.024869708,0.305424669,0.46392587,
Prpf4,-1.50114,0.192164,-0.124735,0.140249019,1.82549594,0.067926223,0.146418748,
Gtse1,-1.87724,0.192198,-0.245488,-0.123524762,-0.505782705,0.613009201,0.745888815,
Gm11574,-1.80938,0.192202,-0.0886333,-1.028107069,-1.491481853,0.135835032,0.253206432,
Cchcr1,1.56998,0.192202,0.0705786,0.61993181,6.333272376,2.40E-10,5.70E-09,
B930094E09Rik,1.68292,0.192237,0.153809,-0.679101248,-0.369895774,0.711460151,,
Tspan17,-1.50128,0.192277,-0.125779,-0.253274198,-1.372929114,0.169774385,0.301492622,
Tbc1d25,1.73293,0.192286,0.199514,0.273667904,2.125028439,0.03358424,0.083264939,
Hsd17b4,-1.48378,0.192297,-0.0995117,-0.415613576,-5.632669377,1.77E-08,2.79E-07,
Mmp21,1.49437,0.192329,0.102725,0.429297658,0.118719759,0.905497382,,
9930014A18Rik,1.5537,0.192415,0.0805638,-0.094025046,-0.287555428,0.773687068,0.861142119,
Cdca7l,-1.57654,0.192663,-0.0770899,-0.339071375,-4.288930605,1.80E-05,0.000126879,
Plod1,1.47675,0.19275,0.110716,0.0150564,0.103531028,0.917541525,0.953255655,
Zfp697,1.61514,0.192774,0.128327,1.378081404,0.942760345,0.345803499,0.506120125,
Myo10,-1.50328,0.192936,-0.110656,-0.221563539,-0.935083952,0.349745036,0.510154414,
Pdzd4,1.50952,0.192986,0.0953678,0.185944371,0.560324842,0.575257886,0.717235085,
Srpk1,-1.46689,0.193034,-0.115498,0.261505899,2.921809741,0.003480041,0.012451751,
Mbd3,1.46918,0.193045,0.0970926,-0.100170225,-1.152863157,0.248966556,0.400501565,
Cirbp,-1.61259,0.193132,-0.0857666,0.05780776,0.511560229,0.608958826,0.743234387,
Nek1,1.46553,0.193151,0.122813,-0.00503125,-0.043267589,0.965488227,0.981043077,
Pyroxd2,1.49052,0.193308,0.0891019,0.833633798,1.751557467,0.079849932,0.167204517,
Ehd1,1.46719,0.19332,0.0756388,-0.410222713,-3.947687198,7.89E-05,0.000465097,
Gnl3,-1.47842,0.193389,-0.0648049,0.219283133,2.671137592,0.007559465,0.024109057,
BC037032,1.52202,0.193398,0.162074,-0.238130574,-0.391744627,0.695246913,0.805534442,
Lrrc27,1.46662,0.1934,0.0674517,-0.247355554,-0.560444274,0.57517644,0.717235085,
Rpl15,1.5032,0.193424,0.0868673,-0.467898418,-5.575483899,2.47E-08,3.73E-07,
Gm10655,1.57793,0.193533,0.154714,2.184432465,1.943596277,0.051944155,0.117928874,
Traf4,1.7758,0.193555,0.134828,0.010438774,0.090390591,0.927976834,0.95987126,
Lekr1,1.53103,0.193651,0.10509,0.086327172,0.144431127,0.885160038,0.931846065,
D630029K05Rik,1.60189,0.193717,0.0922068,0.579594858,0.58427536,0.559035067,0.703251357,
Slc8a2,1.68887,0.19373,0.162678,2.05971517,0.579454195,0.562282745,,
Arid3c,1.46555,0.193847,0.139157,1.848164148,0.734500384,0.462643826,,
Gm12161,-1.65132,0.193893,-0.0728261,0.429297022,0.116390232,0.907343277,,
G6pc3,1.47177,0.193902,0.0961633,0.098754651,1.345224743,0.178552668,0.313373328,
2010300C02Rik,1.46689,0.193979,0.130145,0.63911595,2.44822608,0.014356154,0.0412383,
Tada2a,1.46224,0.193999,0.0904916,0.185035661,1.279781725,0.200621913,0.341555371,
9230104M06Rik,1.53313,0.194076,0.112176,0.421728063,0.315862474,0.752106896,0.846446162,
Fn3k,1.46167,0.194148,0.15928,-0.800144455,-0.660111006,0.509182596,0.662149656,
Cdk5rap1,-1.50726,0.194153,-0.118995,-0.319779152,-1.620684784,0.105085259,0.207767374,
Olfr374,1.50578,0.194213,0.121845,3.462061208,2.255800572,0.024083124,0.063471559,
Sh2d1a,-1.46277,0.194245,-0.142332,-0.456256882,-5.756015882,8.61E-09,1.45E-07,
Rfx3,1.5176,0.194279,0.0852113,0.587655349,4.416835358,1.00E-05,7.63E-05,
Zfp541,1.46106,0.194304,0.123703,0.043628805,0.044632785,0.96440001,0.980674723,
Vps37d,1.48836,0.194318,0.0793668,-0.065932101,-0.120922437,0.903752471,0.944605408,
Sar1a,-1.46067,0.194416,-0.0829472,-0.414451965,-6.784849748,1.16E-11,3.44E-10,
Gm26509,1.60936,0.194429,0.233262,0.017416066,0.017279418,0.986213705,0.992703596,
Ddx41,1.46056,0.194436,0.0772872,0.145819279,2.036199168,0.04173036,0.09894866,
Catip,1.46608,0.194605,0.0790584,-0.884595091,-0.376064694,0.706868801,,
Slc30a4,1.48369,0.194627,0.170553,0.245597483,0.991456,0.321462967,0.481301918,
Tom1,-1.6599,0.194631,-0.147679,-0.312028021,-1.367138408,0.171581927,0.304057624,
Tom1,-0.858494,0.468731,-0.0789426,-0.312028021,-1.367138408,0.171581927,0.304057624,
Tmem158,1.50674,0.194738,0.113032,-0.184784772,-0.950792424,0.341709759,0.502237338,
Rtfdc1,-1.46219,0.19474,-0.0884645,-0.366099095,-5.197293066,2.02E-07,2.39E-06,
Ptgfrn,1.47478,0.194945,0.162084,-0.356964396,-2.794927787,0.005191131,0.017492165,
Gm5523,1.70851,0.194967,0.197391,-0.694113262,-0.768505594,0.442186868,0.600592076,
Gm8318,1.61998,0.195019,0.163482,0.324066308,0.183394084,0.854488817,0.91373965,
Mir7027,1.46363,0.195035,0.142255,0.393861039,0.658098756,0.510474675,0.663341867,
Ppp1r3e,1.49777,0.195036,0.226094,0.188173288,1.227702122,0.21955881,0.365044058,
Gm23617,1.50469,0.195073,0.103662,-0.284901191,-0.100719721,0.919772956,,
Nub1,1.85479,0.19515,0.141372,-0.052875825,-0.933658474,0.350480092,0.510945501,
Chek1,-1.47993,0.195182,-0.112636,0.185228158,0.592891965,0.553253455,0.69872626,
Neto2,-1.48123,0.195288,-0.106905,0.238330059,0.434030107,0.664266578,0.784961575,
C77370,1.57662,0.195396,0.0974235,0.52451124,0.199004397,0.842259305,,
Npm1,-1.63914,0.195422,-0.11923,-0.390660044,-4.826932764,1.39E-06,1.33E-05,
Nrxn2,1.59407,0.195563,0.112539,0.789710879,0.959212285,0.337451813,0.497606919,
Gm22661,1.72319,0.195574,0.205827,1.87039975,0.7440924,0.456820577,,
Pkd2l2,1.45598,0.195669,0.0810695,-2.227746591,-0.731973575,0.464184697,,
Cst3,1.46096,0.195679,0.151939,-0.35222867,-3.278718061,0.001042798,0.004448599,
Tmx1,-1.6061,0.195758,-0.132861,-0.073680125,-0.988229221,0.3230404,0.482816912,
Ntn4,1.48216,0.195774,0.064606,-0.683474757,-0.366255456,0.714174464,,
Gm5643,-1.51891,0.195989,-0.128546,-1.289935999,-0.522377684,0.601407391,,
Dio3,1.47141,0.196034,0.0824675,2.05971517,0.579454195,0.562282745,,
Zfyve27,1.50696,0.196112,0.0345274,0.243171035,3.52487785,0.000423678,0.002024692,
Gipc3,1.72399,0.196117,0.187906,1.291212636,0.938287632,0.348096614,0.50835609,
Coa4,1.47003,0.19614,0.090567,-0.738166112,-4.314438738,1.60E-05,0.000115316,
2700094K13Rik,-1.59148,0.196147,-0.0941608,-0.616960376,-4.541599714,5.58E-06,4.54E-05,
Lats1,1.68207,0.196207,0.088645,0.489928029,4.706528866,2.52E-06,2.25E-05,
Gm8349,1.86335,0.196207,0.164111,-0.431928022,-0.318257055,0.750289957,0.84537724,
Ankrd34b,1.45387,0.196274,0.115107,1.054938336,1.171715263,0.241311393,0.391233351,
Ppargc1b,1.52152,0.196277,0.104005,0.823361653,5.66493457,1.47E-08,2.37E-07,
Prdm16,1.52731,0.196299,0.0880501,0.102116944,0.209711131,0.833893138,0.900520809,
Ifitm5,1.45604,0.196359,0.145579,1.432583234,0.455485315,0.64876013,,
Rora,1.50015,0.19636,0.189428,0.666590396,6.104773007,1.03E-09,2.13E-08,
Rora,0.464164,0.662493,0.0222137,0.666590396,6.104773007,1.03E-09,2.13E-08,
Rora,0.0542535,0.958496,0.00659997,0.666590396,6.104773007,1.03E-09,2.13E-08,
Arhgap23,1.53385,0.196402,0.124483,0.280259886,0.263358631,0.792274173,0.873060235,
Dennd2c,1.53432,0.196463,0.120981,0.631734087,0.765409701,0.444027618,0.602233042,
Kmt2b,1.54882,0.196489,0.125547,0.361212923,6.321819166,2.59E-10,6.10E-09,
Ropn1l,-1.58811,0.196536,-0.12074,-0.7931737,-1.020465337,0.307507821,0.466022141,
Lama3,1.46805,0.196543,0.0759369,-0.454309542,-0.470829208,0.637762705,0.765122859,
Tgfb3,-1.79304,0.19657,-0.388222,-0.583085562,-3.244053938,0.001178414,0.004928027,
Fancm,-1.45308,0.196579,-0.0808164,0.506304638,4.693452716,2.69E-06,2.37E-05,
Nup37,-1.46587,0.196668,-0.12423,-0.315420733,-1.901401737,0.057249412,0.127498761,
Atp5f1,-1.45574,0.196669,-0.0677449,-0.494973722,-6.257315159,3.92E-10,8.84E-09,
Abca9,1.53422,0.196686,0.0630207,-2.562385798,-1.061965963,0.288251137,,
Slain2,-1.45338,0.196706,-0.0564384,0.150626491,2.300125988,0.021441083,0.057499116,
Ctbp1,-1.46358,0.197024,-0.0823049,-0.240008457,-3.912544247,9.13E-05,0.000528504,
Tmem167,-1.46795,0.197087,-0.06856,-0.233344474,-3.219462011,0.001284314,0.005291599,
Tmem11,1.46144,0.197104,0.114952,-0.208424536,-2.13409559,0.032834957,0.081730323,
Vps9d1,1.57988,0.197146,0.10445,0.285807235,3.847984523,0.000119094,0.000666857,
Ttf1,-1.45046,0.197233,-0.0844389,0.136465112,2.074984395,0.037987981,0.091798998,
Eme1,-1.4696,0.197247,-0.143371,0.376008346,0.941553353,0.346421361,0.506607007,
Ldlr,-1.84053,0.197278,-0.26663,-0.18937523,-0.783394849,0.43339528,0.592103411,
Igfbp6,1.7083,0.197386,0.168449,-0.747449967,-0.404860204,0.685580272,,
Zfp943,-1.55117,0.197417,-0.0603528,0.087628729,0.95069487,0.341759293,0.502237338,
Gm11630,1.50692,0.197519,0.220595,-0.306841025,-0.10906105,0.913154068,,
Dhx33,1.4886,0.19753,0.0962543,0.400999399,5.533569614,3.14E-08,4.63E-07,
Trav13-1,1.49646,0.197559,0.137218,0.320902009,1.30558326,0.191694316,0.330065287,
9230111E07Rik,1.44911,0.19757,0.0725288,0.127955969,0.660699504,0.508805042,0.661983365,
Foxc2,-1.53674,0.197594,-0.197814,-2.823149525,-1.224712421,0.220683593,,
Gdi2,-1.45647,0.19761,-0.0948065,-0.397857668,-5.761411203,8.34E-09,1.40E-07,
Hnrnpr,-1.52375,0.197624,-0.131396,0.120236576,2.039465619,0.041403579,0.098320367,
Ptpn21,1.73733,0.197674,0.0724319,0.110734353,0.789883984,0.429595526,0.588529592,
Arhgef37,1.4483,0.197726,0.108544,-1.251697941,-0.331297455,0.740419813,,
Snord35b,1.4659,0.197768,0.239727,-0.004701975,-0.006076305,0.99515184,0.997764955,
Evi5l,1.46743,0.197805,0.0529635,-0.03313308,-0.355725415,0.72204621,0.825996772,
Mfsd2b,1.44737,0.197952,0.0568579,0.610810324,1.846915431,0.064759398,0.140794383,
Sertad2,-1.50304,0.197953,-0.0750078,-0.37080232,-4.699203099,2.61E-06,2.32E-05,
Gm13413,-1.46537,0.19796,-0.0638225,1.177353407,0.743100863,0.457420617,,
Mvp,-1.45594,0.198024,-0.0751832,-0.142077472,-1.984273861,0.047225318,0.109258343,
Rgmb,1.447,0.198132,0.188316,0.776791092,3.124791354,0.001779312,0.007006262,
Usp51,1.53608,0.198138,0.105685,0.745156682,0.984424819,0.32490668,0.484542558,
Gm10566,1.74238,0.198143,0.135829,-0.6779077,-0.700712774,0.483482283,0.639583417,
Capn7,-1.51809,0.198144,-0.080533,0.161231513,2.569759585,0.010176911,0.030918273,
Wdr82,-1.47393,0.198181,-0.133876,-0.100041664,-1.722505044,0.08497807,0.175767928,
C1qtnf4,1.54856,0.198185,0.267633,-0.680930058,-2.060439877,0.039356508,0.094417634,
Tmem260,-1.45282,0.198231,-0.077267,-0.042812168,-0.60269929,0.546708754,0.694447532,
Gatad2a,1.59907,0.198231,0.115062,-0.069348297,-1.157058763,0.247248353,0.398289504,
Fam219a,1.66877,0.198299,0.128552,0.242249049,2.425156195,0.015301802,0.043499117,
Fam76a,-1.49067,0.198319,-0.0887093,-0.250528271,-2.527755501,0.011479426,0.034159131,
Gm11663,1.4474,0.198328,0.170587,0.429296672,0.115167215,0.908312584,,
Mstn,1.59409,0.198336,0.206979,-0.359197479,-0.74990687,0.453310797,0.611439214,
Ssh1,1.52705,0.198345,0.147884,0.13230752,1.938815245,0.052523839,0.118820994,
Prss53,1.73466,0.198356,0.133828,1.589653177,1.903631063,0.05695825,0.126974754,
Flt3,1.45157,0.198373,0.127345,-2.823020821,-1.224636727,0.220712124,,
Gm5931,-1.46399,0.198392,-0.0666731,0.988530182,0.504024879,0.614243894,,
Scaf1,1.47312,0.198426,0.0773313,0.329674892,5.832448288,5.46E-09,9.59E-08,
Gtf3c4,-1.52644,0.198493,-0.116297,-0.259002587,-2.909317922,0.003622183,0.012887875,
Mbnl2,1.47287,0.198576,0.0965946,0.058169529,0.718105696,0.472692119,0.630097723,
Tmed10,-1.47339,0.198612,-0.0569129,-0.295991493,-5.084406352,3.69E-07,4.06E-06,
Rnf141,1.46555,0.198612,0.0672061,0.099346549,0.945269923,0.34452109,0.504802569,
Rnf141,-0.185506,0.859169,-0.0434939,0.099346549,0.945269923,0.34452109,0.504802569,
Fth1,1.4702,0.198641,0.08183,-0.27585829,-3.29813232,0.000973303,0.004193742,
Timmdc1,-1.4473,0.198644,-0.103794,-0.042750273,-0.375363276,0.707390313,0.814679295,
Ubn1,1.4969,0.198648,0.111018,-0.00173559,-0.026910059,0.978531471,0.988029681,
Cyb5b,-1.53601,0.198656,-0.165432,-0.210041173,-2.80549716,0.005023902,0.017004306,
Taf13,1.53709,0.198758,0.163571,-0.033636743,-0.204115447,0.838263283,0.903702335,
Ppp6r3,-1.44827,0.198834,-0.0668992,0.110507087,2.07188212,0.038276436,0.09227643,
Gm12419,1.658,0.198865,0.114548,-0.317729495,-0.116967384,0.9068859,,
Gm10766,1.52035,0.198867,0.187314,-0.576915212,-0.455707076,0.648600633,0.774096997,
Tceanc,-1.51553,0.198902,-0.123901,0.203446504,1.58992888,0.111850837,0.218268292,
Mt3,1.45672,0.198916,0.0970278,-1.263788451,-1.414301392,0.157273429,0.283277367,
Snap47,-1.44491,0.198971,-0.087681,-0.377844946,-3.886620061,0.00010165,0.000579793,
Slco1a6,1.4442,0.199007,0.0773923,-0.858679824,-0.279315388,0.780002798,,
Hspa4,-1.44518,0.199032,-0.0960625,-0.16074578,-3.274067035,0.001060115,0.004512792,
Clta,-1.53546,0.199035,-0.0646615,-0.331219157,-3.961565856,7.45E-05,0.000441486,
Tma7-ps,-1.45066,0.199048,-0.0677744,-1.365865294,-0.851751933,0.39435179,,
Snx3,1.52146,0.199192,0.0574135,-0.241981968,-2.785013155,0.005352555,0.017967598,
Zfp598,1.66869,0.199198,0.160736,0.279029681,4.258451389,2.06E-05,0.000142935,
Foxp3,1.505,0.199332,0.150048,0.067284639,0.50957677,0.610348002,0.744019937,
Gm8730,-1.47157,0.199345,-0.0666552,-0.699981509,-0.8963929,0.370042958,0.53166938,
Ercc8,-1.4657,0.199405,-0.0569785,-0.016188994,-0.141095233,0.887794709,0.933816334,
1700001P01Rik,1.5486,0.19941,0.0983452,0.590772043,0.315222894,0.752592424,,
Gm15883,1.47033,0.199434,0.17841,-1.242568435,-0.32560611,0.744722389,,
Pigz,-1.4836,0.199438,-0.0924353,-1.725525749,-1.312924124,0.189208517,0.326917464,
Trim10,1.44856,0.199601,0.134569,-0.281265941,-0.084097596,0.932978836,,
Gm6788,1.59681,0.199609,0.227634,2.026866682,0.537149833,0.591164121,,
Tcrg-C3,-1.44118,0.199617,-0.361027,-1.845008214,-0.560630891,0.575049188,,
Dlec1,1.49666,0.199637,0.0857523,0.443613621,0.842217134,0.399666425,0.560265552,
Fbxl16,1.57487,0.199766,0.119573,0.615233153,0.395879086,0.692194231,,
Pom121,1.64814,0.199793,0.219179,0.184773823,2.623374078,0.008706362,0.027157021,
Gm4204,-1.44433,0.199852,-0.124767,-0.353636969,-1.931174235,0.053461509,0.120445502,
Creld2,-1.45416,0.199881,-0.123423,0.059264913,0.575604894,0.564882272,0.708072428,
Mtap7d3,1.51243,0.199987,0.141354,-0.164319976,-0.182453024,0.855227217,0.914245678,
E130311K13Rik,-1.48383,0.199999,-0.119968,-0.187573616,-1.134268375,0.256681991,0.409444166,
Gabpb2,-1.44858,0.200059,-0.0956463,0.262883636,3.031767214,0.002431266,0.009191203,
Zfp629,1.54857,0.200121,0.116461,0.079790602,0.288988767,0.772589974,0.860490109,
Trit1,-1.44651,0.200233,-0.0818782,0.126839393,1.127406691,0.259570571,0.413048779,
Smcr8,1.46092,0.200242,0.128703,0.15218797,2.081696761,0.037370177,0.090567454,
Dnajc7,-1.43771,0.200561,-0.0781095,0.34574488,5.409359008,6.33E-08,8.64E-07,
Klrb1f,-1.71928,0.200587,-0.539128,-0.678093817,-2.029298363,0.04242791,0.100229164,
Gm11470,1.49552,0.200625,0.153916,0.429297491,0.118094032,0.905993152,,
Mir674,1.72309,0.200722,0.294775,-1.256120514,-0.332832181,0.739260965,,
Lbp,-1.4492,0.200736,-0.13753,-1.080598657,-1.472127455,0.140986463,0.260481592,
Vdac3,-1.44297,0.20074,-0.109537,-0.385364546,-3.303283799,0.000955596,0.004126391,
Zmat4,1.43741,0.200753,0.084981,-2.494017834,-2.144216204,0.032015567,0.080167424,
Hmcn2,1.44843,0.200768,0.0860528,0.425605508,0.768807886,0.442007367,0.60056826,
Trim41,1.44116,0.200859,0.0441409,0.459649683,6.448154759,1.13E-10,2.84E-09,
Fkbp4,1.5191,0.200933,0.130189,0.05183639,0.382953589,0.701754177,0.8105355,
Sash3,-1.46298,0.200941,-0.148185,-0.319310299,-4.088045778,4.35E-05,0.000276261,
Slc3a2,-1.56847,0.200959,-0.136192,0.000250344,0.003161009,0.997477884,0.998607815,
Sdhd,-1.44832,0.201017,-0.114645,-0.436120227,-5.514675441,3.49E-08,5.09E-07,
Asic3,1.44103,0.201022,0.0769582,-0.740703569,-0.401093275,0.688351452,,
Gm5396,-1.7459,0.201116,-0.224537,-1.242568435,-0.32560611,0.744722389,,
Sowahb,1.54212,0.201194,0.150048,1.99124537,0.549997341,0.582321198,,
Tbx3,1.43823,0.201214,0.104301,1.131410822,0.713240109,0.475697191,,
Gm20257,-1.44442,0.201237,-0.126095,0.043947354,0.240965079,0.809582182,0.883572923,
Prcc,1.43526,0.201243,0.104402,-0.099676077,-1.346011337,0.17829886,0.313034681,
Hmgn3,1.43638,0.201273,0.110402,-0.0704251,-0.517024504,0.605139053,0.740845933,
Ldb3,1.4356,0.201372,0.0960001,-1.425926069,-1.035906559,0.300245737,0.458422995,
Gm20091,-1.58675,0.201396,-0.0888182,1.368721548,1.206217712,0.227733556,0.374401252,
Cdc6,-1.62443,0.201444,-0.146515,-0.661230726,-2.165337208,0.030361871,0.076751413,
Plxnb2,-1.45149,0.201444,-0.101914,-0.211873082,-1.462794809,0.143523534,0.263676219,
E2f3,-1.44371,0.201498,-0.133727,0.049302479,0.434810338,0.663700101,0.784790669,
E2f3,-0.175115,0.866812,-0.017586,0.049302479,0.434810338,0.663700101,0.784790669,
Mrps24,1.70618,0.201503,0.0912612,-0.317200742,-2.609504463,0.009067346,0.028051992,
Spic,1.45089,0.201554,0.0989381,-0.699576267,-0.504750661,0.613733974,0.746428139,
Fcer2a,1.4395,0.20159,0.0957922,-2.833213111,-1.361280853,0.173424952,,
Mis18a,-1.4704,0.201703,-0.16104,-0.460409516,-4.23748778,2.26E-05,0.000155057,
2700016F22Rik,1.44342,0.201719,0.193741,0.304262308,0.297873797,0.765799488,0.85592203,
Celf4,1.43729,0.201732,0.0741895,0.157853404,0.146246788,0.883726571,0.93091273,
Gm26702,1.63986,0.20183,0.287208,2.094134794,0.594358013,0.552272685,,
Flt3l,1.59628,0.201912,0.235911,1.137025125,12.73043606,4.01E-37,1.35E-34,
Tbx21,-1.45344,0.201934,-0.164943,-0.483207291,-3.459312195,0.000541557,0.002508761,
Trim32,1.79355,0.20199,0.0751007,-0.240074192,-2.356772471,0.018434538,0.050666315,
Atp6v1f,1.49642,0.202083,0.0906057,-0.451303583,-5.089788744,3.58E-07,3.96E-06,
2310002F09Rik,-1.46269,0.202132,-0.106042,-1.440426465,-2.139985491,0.032355939,0.080803498,
Smn1,1.43562,0.202141,0.0818304,-0.144469715,-1.473240928,0.140686083,0.260127131,
H1f0,-1.47342,0.202149,-0.0838252,-0.656531464,-6.391068694,1.65E-10,4.01E-09,
Pnmal2,1.54522,0.202216,0.189625,3.59306445,4.147597703,3.36E-05,0.000221225,
Ptprk,1.43232,0.20225,0.139713,-0.091333007,-0.180634045,0.856654831,0.91497684,
Gm26681,1.48265,0.202308,0.184699,0.631455572,0.401719476,0.687890489,,
D630039A03Rik,-1.46801,0.202386,-0.11508,-0.220944757,-1.285562292,0.198595864,0.339122263,
Sfxn2,-1.53727,0.202428,-0.0822967,-0.146181814,-1.119908305,0.262752839,0.416321928,
Rab1,-1.50518,0.202478,-0.125414,-0.304867198,-4.871347854,1.11E-06,1.08E-05,
Inpp5f,-1.53425,0.202627,-0.149232,0.168380921,2.22030727,0.026397917,0.068439941,
Mir26b,1.63164,0.202635,0.134751,1.99124537,0.549997341,0.582321198,,
Mdga1,1.55331,0.202651,0.0927676,0.885786815,0.674915927,0.499729181,0.654187937,
Doc2a,1.64596,0.202684,0.0934979,-1.828268557,-0.553454087,0.579952512,,
Gpi1,-1.49617,0.202747,-0.0877878,-0.611017909,-8.252518723,1.55E-16,9.95E-15,
Ddi2,-1.4393,0.202765,-0.0883019,0.1335128,1.499627071,0.133711031,0.250067609,
Tomm70a,-1.44295,0.202771,-0.0959916,-0.247241989,-4.543119036,5.54E-06,4.51E-05,
Mief2,1.61048,0.202792,0.0982927,0.026399813,0.218151559,0.827311026,0.895906317,
Armcx6,1.45112,0.2028,0.129465,-0.353640378,-1.154889253,0.248135781,0.399367058,
Cd79a,-1.80165,0.202911,-0.344856,-0.570994036,-0.902691826,0.366689476,0.528234735,
Rpl11,1.4422,0.203046,0.0523054,-0.498043896,-5.985005269,2.16E-09,4.17E-08,
Gm7068,1.47127,0.203257,0.115493,4.233073187,2.384497016,0.017102487,,
Tmem30a,-1.53457,0.203271,-0.116421,-0.085124374,-1.683693007,0.092241014,0.18759525,
Stfa3,1.64782,0.203355,0.487618,-0.300004036,-1.020720468,0.307386894,0.46593079,
Lrrc34,1.4278,0.203365,0.120955,0.429297455,0.117960775,0.906098738,,
Rps15a,-1.4294,0.203385,-0.0656089,-0.522498925,-5.529451187,3.21E-08,4.73E-07,
Szrd1,1.46155,0.203389,0.0914535,-0.248324653,-3.804831171,0.000141901,0.000778132,
Gm13375,1.4356,0.203393,0.0913924,0.016362866,0.032378181,0.974170462,0.985820847,
Srrm3,1.42898,0.203431,0.104608,-1.245725651,-0.327705353,0.743134456,,
Gm22247,1.42683,0.203597,0.122894,1.276662015,0.460182358,0.645385333,,
Ppp1r16b,1.43264,0.203606,0.115279,0.705382432,8.614506753,7.02E-18,5.15E-16,
Tnfsf10,1.43827,0.203621,0.0807418,-0.160489924,-1.552117148,0.120634196,0.230933327,
Cc2d1b,-1.49038,0.203642,-0.060915,0.103062168,1.525226458,0.127202624,0.240496712,
Ybx1,-1.42607,0.203753,-0.0672693,-0.317094852,-5.113551315,3.16E-07,3.54E-06,
1810049J17Rik,1.47575,0.203825,0.124771,-0.538437394,-0.620967154,0.534621235,0.683798004,
Rmnd5a,-1.43567,0.203857,-0.111059,-0.028003419,-0.383162971,0.701598932,0.81043093,
Coro7,-1.44326,0.203868,-0.125883,0.341454432,4.343909834,1.40E-05,0.000102562,
Gm15191,1.78011,0.203873,0.179298,-0.777746271,-0.540031363,0.589175404,0.727912575,
Calcoco1,1.50316,0.203903,0.158327,-0.008953245,-0.133621781,0.89370166,0.937908945,
Tfpi,-1.46504,0.203991,0.0911688,0.379168209,1.695756113,0.089932077,0.183886823,
Fasl,-1.42475,0.204103,-0.158982,-0.485860201,-2.216466743,0.026659553,0.068925755,
S100a16,1.42501,0.204197,0.116837,-1.256120407,-0.332869437,0.73923284,,
Cxx1c,1.42475,0.204216,0.140253,-0.286191715,-2.587518498,0.009667001,0.02961345,
Tgfb2,1.44549,0.204234,0.0964874,-0.473692157,-0.463877812,0.64273529,0.769116368,
Slc36a3,1.43771,0.204328,0.123849,-0.064215516,-0.068335695,0.94551841,0.970195836,
Syt6,1.4778,0.204331,0.0913791,-1.579150863,-1.560984247,0.118527468,0.227969406,
Wasl,1.44642,0.204368,0.120692,0.548057763,6.237899248,4.43E-10,9.91E-09,
Col7a1,1.45095,0.204374,0.108628,1.233839289,3.262364425,0.00110487,0.004662141,
Paqr7,1.49943,0.204417,0.0881462,-0.421507748,-3.747581916,0.000178548,0.000954093,
Cadps2,1.42769,0.204445,0.10097,-1.627282922,-0.763182689,0.445354451,,
Rasl2-9,1.42964,0.204474,0.142594,-1.256120514,-0.332832181,0.739260965,,
Fbxo32,1.54557,0.204521,0.11896,0.05709427,0.631883543,0.527462978,0.677468956,
AI846148,1.57305,0.204533,0.120013,-0.069496633,-0.692932259,0.488352064,0.644132802,
Lgr4,1.43416,0.204545,0.107484,0.421370537,1.037803226,0.299361675,0.457480865,
Ap3m1,-1.50846,0.204578,-0.0967323,-0.029809246,-0.410832228,0.68119556,0.796589354,
Gbp4,1.4356,0.204643,0.0589968,0.272195709,4.110364764,3.95E-05,0.000254376,
