,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Gm22271,5.43348,5.49877,5.78988,5.5075,5.72846,6.02083,6.38174,6.22714
Masp2,4.45207,4.53192,4.47148,4.58662,4.41669,4.33661,4.39804,4.7434
Cep104,6.13479,6.15932,6.03816,6.14436,6.15303,6.18136,6.09184,6.33813
Rufy4,4.88463,4.76781,4.79355,4.85193,4.83538,4.95889,4.96655,5.19953
Gm15884,5.02321,5.12132,5.01407,4.96592,4.88901,5.16402,4.89419,5.06128
Txnl1,6.79827,6.86914,7.01452,6.65847,6.64703,6.80056,6.63098,7.01177
Grb7,5.51395,5.4905,5.35807,5.35504,5.53008,5.44017,5.34656,5.49994
Gm12352,5.07174,4.97798,5.18034,4.88972,4.95074,4.91514,5.22751,4.97559
Gm10742,3.90862,3.82109,3.9471,3.90487,3.92658,3.82929,3.85369,4.35793
Gm595,2.28868,2.21554,2.20081,2.18841,2.33537,2.30538,2.26423,2.55824
Gm25068,5.02552,4.81698,5.43907,4.78795,4.75644,5.14373,5.1072,4.87461
Ccdc158,3.6449,3.6184,3.7349,3.59039,3.6013,3.69682,3.6639,4.00127
Ppp1r9a,3.75355,3.63255,3.6919,3.7696,3.73018,3.75986,3.77173,3.84179
Gm266,4.41669,4.47187,4.36981,4.2804,4.45796,3.9264,4.57824,5.11582
Cinp,6.57598,6.39407,6.39807,6.50101,6.46939,6.37365,6.29997,6.38339
Cd72,6.55896,6.62116,6.78482,6.6898,6.72324,6.28545,6.36151,6.34165
Tnnc2,5.50146,5.28105,5.4187,5.31194,5.52565,5.43305,5.58581,5.69412
Wdr83os,8.23307,8.21007,7.81573,8.5942,8.54015,8.16469,7.95103,8.10579
Gm23939,2.07512,2.23238,2.55201,2.56836,2.71209,2.0141,2.12938,2.46454
Gm10538,4.17904,4.08791,4.03807,4.01649,4.36643,4.10842,4.34222,4.53581
Ighm,6.45906,7.95677,8.57041,6.06013,5.42975,5.496,6.65914,6.35534
Gck,5.41777,5.27253,5.39815,5.3091,5.38453,5.55589,5.52986,5.71988
4930571N24Rik,4.36265,4.27034,4.27505,4.31617,4.30467,4.46107,4.38408,4.41987
Gm20434,2.09073,2.0728,2.72406,2.06132,2.12714,2.06253,1.85324,1.90128
Gm17218,4.63423,4.57343,5.23637,4.86124,4.83786,4.77704,4.96607,5.14551
Mertk,3.83937,3.83366,3.86344,3.87046,3.83267,3.95362,3.96888,4.14011
Gm17110,4.40296,4.36895,4.40759,4.27592,4.54685,4.52355,4.51659,4.58333
Tex36,2.83179,2.88689,2.7017,2.89837,3.10096,3.02767,2.9219,3.11507
9030404E10Rik,3.48543,3.54704,3.84818,3.91872,3.47345,3.85488,3.86783,4.01089
BC021891,4.9762,4.89457,4.70768,5.09286,4.78464,4.92475,4.94177,5.13354
Tcrg-V7,2.99432,3.14964,3.1317,2.86969,2.921,3.07097,2.86013,3.14778
Gm7312,8.47749,8.50823,8.53613,8.39685,8.44638,8.41016,8.48452,8.75419
Tars,7.6065,7.71875,7.75427,7.53261,7.48943,7.62011,7.43956,7.74548
Gm9966,3.62047,3.77528,3.62181,3.99852,3.65104,3.84779,3.71096,3.98825
6330407A03Rik,3.95629,4.24296,4.12673,4.12148,3.89589,4.24908,4.39005,4.28207
Gm21340,3.13182,3.49746,3.31804,3.19388,3.58128,3.32422,3.3101,3.45537
Cd276,5.81254,5.56477,5.62015,5.64763,5.7444,5.75074,5.84331,5.88251
Arih1,7.86313,7.9922,8.03613,7.88075,7.82277,7.86948,8.00786,8.14793
Slc5a4b,3.68902,3.62622,3.56488,3.67506,3.57571,3.73672,3.77064,3.93491
Col6a1,5.35118,5.15237,5.20285,5.20269,5.33683,5.44476,5.33356,5.65038
Gm25512,2.47451,2.50632,2.66061,2.31245,2.50946,2.70473,2.58339,2.78858
4930556J02Rik,4.27266,4.08431,4.23789,4.11245,4.44556,4.21308,4.29571,4.26787
Gm7545,4.59172,4.58294,4.44003,4.66216,4.71015,4.68124,4.73346,4.64687
Hdac11,5.52484,5.48758,5.52457,5.38159,5.50027,5.37573,5.5619,5.67704
Gm10313,9.89471,9.88809,9.67578,10.0385,9.96403,10.0306,10.1198,9.88998
Mettl21e,3.00457,2.84888,2.94889,3.0352,3.02107,2.9458,3.02125,3.19184
Simc1,6.10337,6.11883,6.11692,6.21042,6.02638,5.97066,6.06553,6.2128
Doc2b,3.91227,3.79361,3.93243,3.77551,4.02798,3.89448,4.02793,4.16712
Gm3244,5.5042,5.46226,5.19517,5.24717,5.52594,5.41385,5.23355,5.61113
Fam57b,4.61202,4.50081,4.57793,4.63827,4.67873,4.61621,4.80094,4.84244
Olfr1450,2.20395,2.31961,2.29267,2.09501,2.22065,2.2533,2.40979,2.30118
Gm12410,4.71129,4.61183,4.8354,4.47525,4.90849,4.92459,5.03829,4.91043
Foxe1,4.79354,4.69654,4.81638,4.68055,4.6712,4.5766,4.88228,4.69867
Tcp10c,3.53788,3.36941,3.76587,3.51113,3.47322,3.60133,3.60536,3.80813
n-R5s87,3.42313,3.43108,3.85927,3.47034,3.43658,3.40541,3.21069,3.56031
Gm13409,2.20499,2.01545,1.97159,2.24279,2.29018,2.32314,2.10242,2.561
Tas2r129,2.06501,2.31196,2.22634,2.08737,2.15084,2.26487,1.99453,2.12515
Palm2,4.16106,4.11959,4.17141,4.15831,4.09728,4.19245,4.24594,4.31119
Gm25442,12.6942,12.6928,12.8218,12.5719,12.7132,12.7362,12.7782,12.8211
Gm22785,2.51847,2.44295,2.88437,2.35998,2.94855,2.49672,3.08119,3.24322
Gm27016,2.77904,2.55596,2.76786,2.76515,2.76112,2.83827,3.01773,3.4146
Kcnj13,3.43482,2.96704,3.17837,3.35051,3.32931,3.34469,3.44024,3.62364
n-R5s176,4.63358,4.91944,5.1609,4.81913,4.99921,5.06854,5.24758,5.54798
Gm11937,6.23368,6.15385,6.41978,6.26739,6.2562,6.26273,6.42998,6.13855
Krt78,5.2241,5.28738,5.26716,5.20418,5.28654,5.25575,5.48821,5.34202
Krt79,5.43011,5.19096,5.41358,5.2044,5.36281,5.44737,5.49855,5.43302
RP24-194K24.8,6.11719,6.10687,6.17733,6.00982,6.26849,6.18568,6.00172,6.32785
RP24-105I10.3,5.57069,5.63184,5.61658,5.51653,5.64386,5.60623,5.72401,5.85708
Add3,8.30928,8.34009,7.99731,8.09781,8.07125,8.01592,7.73623,7.83238
Cipc,6.63152,6.66096,6.56213,6.55835,6.72319,6.73433,6.54296,6.61831
Inadl,6.43173,6.50381,6.61046,6.67509,6.58578,6.46405,6.52776,6.63502
Gm10304,2.49209,2.50589,2.46575,2.35345,2.70514,2.53119,2.56123,2.71488
Gm13552,7.00717,7.06332,7.00376,6.94464,6.92375,6.96897,6.64887,6.97628
Gm6740,7.36652,7.34416,7.20236,7.34768,7.01324,7.34476,7.1113,7.57416
Trbv31,9.81535,9.86696,9.48159,9.89655,9.64508,9.42549,9.33295,9.45082
Cd63-ps,7.07196,6.87408,7.20504,6.98425,7.00872,7.15692,7.07972,7.29881
Hsd17b4,7.10397,7.25774,7.21533,7.07513,7.04352,7.13194,6.95976,7.25385
Gm17361,3.29106,2.81573,3.01096,2.78057,3.05021,3.31839,3.34455,3.48893
Trmt1,6.73343,6.76927,6.69616,6.84912,6.83966,6.68285,6.68751,6.85383
Tnn,4.26972,4.0482,4.20087,4.1666,4.3036,4.3327,4.37347,4.50686
4930562F07Rik,5.53785,5.72724,5.68804,5.58337,5.53474,5.50986,5.38755,5.59925
Prl8a9,3.20187,3.13742,3.22025,3.17205,3.21143,3.13972,3.30043,3.23857
Pomp,7.71024,7.83992,7.67331,7.75929,7.68533,7.64016,7.42878,7.61636
4930488N24Rik,4.38107,4.28396,4.52646,4.29548,4.23475,4.14454,4.35736,4.74918
Ccdc47,7.48405,7.62469,7.47323,7.48967,7.41693,7.3151,7.30793,7.53766
Olfr877,2.62768,2.87865,2.60297,2.65156,2.6686,3.23686,2.70312,2.64621
Gm21276,3.01466,2.74445,2.88551,2.95071,2.92935,2.82682,2.91157,3.36913
Ak3,6.99829,7.01364,6.87716,7.15964,6.97289,7.10321,6.91811,6.84425
Mecr,5.66807,5.76552,5.83695,5.64261,5.68789,5.58797,5.65248,5.79
Srsf4,8.11149,8.19477,8.1332,8.11816,7.9718,8.0366,8.0128,8.27924
Dnase1,3.64654,3.65901,3.77879,3.61665,3.58748,3.65495,3.73264,3.83583
Fbxo25,7.47414,7.64347,7.39893,7.70651,7.63776,7.60673,7.39206,7.68938
Zap70,9.08052,9.0884,9.14872,9.31973,9.18237,9.27421,9.196,9.37088
Tpgs2,6.90233,6.91542,6.71654,6.83156,6.81128,6.70017,6.57848,6.83622
Gm11418,2.93639,2.44729,2.72383,2.69828,2.73817,2.92637,2.96261,2.96807
Ube2ql1,4.8954,4.57721,4.62499,4.54985,4.97412,4.72448,4.83917,4.86213
Dhx15,8.15767,8.37566,8.29864,8.20325,8.0749,7.97634,8.17295,8.38496
Trim31,3.10845,3.1183,3.04424,3.08915,3.0746,3.09223,3.18349,3.31391
Dapk2,5.14245,4.84607,5.06675,5.1674,4.93967,5.22758,5.15182,5.41692
Mir6912,5.03645,4.90803,4.84783,4.95839,4.93482,4.89861,4.96881,5.27102
Gm5416,3.06925,2.87735,2.74024,3.07162,3.2017,3.09117,2.80729,3.53833
Gm10913,11.1663,11.077,10.6016,11.3832,11.3117,11.0042,10.9583,10.7379
Gm10237,6.2803,6.01264,6.51648,6.08287,6.08718,6.48083,6.33913,6.06744
5033428I22Rik,4.22267,4.12966,4.17377,4.12159,4.24976,4.19109,4.29322,4.3999
Gm7609,7.82803,8.02923,7.82008,7.90201,7.93882,7.87282,7.87192,7.96458
Fam187a,3.93002,3.64109,3.83476,3.68739,3.75774,3.9308,4.10199,4.03278
Mdk-ps1,5.78751,5.87911,6.03792,6.13511,6.05213,5.92807,6.1714,6.3128
Gm23175,6.03908,5.83292,6.16004,5.73744,6.28929,6.44478,6.52903,6.41401
Gm22979,3.28829,3.36898,3.70775,3.43749,3.58611,3.47013,3.59299,3.77832
Zfp935,7.34309,7.39966,7.41204,7.28994,7.33706,7.17786,7.09286,7.2978
Gm15404,2.9496,2.73466,3.1493,2.86991,2.67356,3.08672,3.00421,2.61695
Smarcc1,7.76264,7.71158,7.65101,7.7776,7.6232,7.58764,7.65176,7.7193
Olfr668,2.37685,2.78216,2.73074,2.54796,2.82039,2.61145,2.39539,2.93475
Lamtor3,7.23504,7.38998,7.17259,7.16456,7.1706,7.10616,7.23,7.42574
Olfr514,3.17163,2.80107,2.89981,2.8295,2.50528,2.87179,3.03634,3.22458
Dnaaf2,5.4852,5.54691,5.46156,5.2502,5.45907,5.34945,5.1266,5.3355
Gm12459,6.05784,6.03409,6.03624,5.98819,6.1225,5.87581,6.01632,5.9769
Gm17518,5.00313,4.83542,4.86154,4.98434,5.03158,5.09552,4.98639,4.91592
Cyp24a1,3.90062,3.94879,3.93605,3.94973,4.09033,4.01603,4.11217,4.21789
Tmem208,6.48244,6.46285,6.3064,6.51381,6.55788,6.27325,6.16922,6.48179
Ivl,5.30518,5.28557,5.29746,5.10781,5.0383,5.23655,5.14245,5.03803
Lce1f,2.72738,2.70843,2.92938,2.7606,2.9335,3.23244,3.14589,3.27205
Ftx,5.55133,5.5505,5.69486,5.60996,5.67353,5.45071,5.6205,5.78798
Wbp2nl,3.84378,3.67188,3.81475,3.78218,3.79331,3.83443,3.92238,3.92779
Mcm7,7.36879,7.28265,7.31403,7.25239,7.19369,7.16748,7.12916,7.18761
U2af1,7.76217,7.73084,7.79625,7.72045,7.6066,7.56003,7.65249,7.77518
Gm21425,3.12322,2.90058,2.84672,3.26089,3.04775,3.16456,2.83942,3.75572
Gm1110,3.32996,3.27233,3.34851,3.37594,3.3835,3.3981,3.3568,3.62183
Cenpw,3.28931,3.06961,3.27255,3.11294,3.27179,3.38879,3.16657,3.36125
Rpf2,6.12595,6.1602,6.32,6.09241,6.10787,5.9635,5.95205,6.25772
Slc24a3,7.32125,7.36993,7.52276,6.56905,7.13097,7.20779,6.69188,7.36407
Socs4,7.32914,7.18871,7.22011,7.26406,7.23411,7.23933,7.10883,7.30472
E130120K24Rik,2.38446,2.15611,2.55301,2.09916,2.52263,2.08858,2.28867,2.96825
Muc6,4.44663,4.4163,4.49094,4.46674,4.4953,4.52815,4.60712,4.73924
Gm23354,3.82057,3.91671,4.10086,3.92187,3.69199,4.03109,3.67912,3.86554
Stfa3,4.76887,5.41338,5.67791,5.73614,5.58051,6.23842,5.57909,5.73753
3930402G23Rik,4.16718,4.44467,4.23047,3.7916,4.10361,4.20916,4.24961,4.65245
Hist1h4b,4.56068,4.61366,4.5364,4.70131,4.8275,4.79916,4.55428,4.77393
Gm12229,9.28623,9.39751,9.48324,9.15231,9.11545,9.07565,9.30225,9.35621
Ptrhd1,4.17717,4.14814,3.8745,4.25695,4.23067,4.30572,4.00529,4.42966
Calb1,3.15883,3.18346,3.0611,3.12115,3.09649,3.19819,3.19064,3.33365
Pfdn4,5.19561,5.30046,5.14959,5.17069,5.19113,5.14766,4.89587,5.34891
Gm20386,5.52282,5.53254,5.53135,5.22395,5.21476,5.13608,5.49756,5.44742
Hmgn2,7.5175,7.51847,7.46835,7.52621,7.39048,7.33344,7.28611,7.36405
Gm21447,3.03956,2.94827,3.18694,2.93124,2.93729,2.89144,2.90446,3.19485
Gm20563,6.57356,6.71808,6.90153,6.68354,6.50212,6.56841,6.62177,6.64459
Gm26582,5.3762,5.11995,5.19936,5.20788,5.32023,5.42379,5.21945,5.17712
Eif3d,8.94628,8.9112,8.90299,8.97115,8.82819,8.89,8.73452,8.96883
Gm9938,6.25011,6.29029,6.06349,6.05478,6.00343,5.94288,6.05237,6.20108
Lrfn5,2.65686,2.62817,2.60278,2.59124,2.54604,2.73142,2.70589,2.8545
Gm22973,4.40785,4.55401,5.12609,4.45609,4.53615,4.28724,4.56742,4.53
Pth1r,5.66588,5.63393,5.69407,5.61137,5.69229,5.6777,5.81321,5.89252
Gm23819,2.72575,2.20959,2.63756,2.58086,2.43111,3.29929,2.52945,2.72428
Gtf3c5,5.99962,5.99927,5.8513,6.06136,6.07477,5.9698,5.91281,5.88616
Polr3a,3.31477,3.2966,3.15836,3.23971,3.31281,3.66898,3.35901,3.53949
1700001G01Rik,2.85651,2.76695,2.65499,2.77375,2.8323,2.83231,2.84947,3.07515
4933427E13Rik,3.52513,3.45315,3.42021,3.3743,3.51135,3.60855,3.40853,3.95032
Gm14709,2.29187,2.40942,2.33414,2.30915,2.29576,2.12981,2.33592,2.57196
4930428D18Rik,2.25703,2.46121,2.48542,2.47427,2.35545,2.39469,2.46306,2.56737
Cdh8,3.00441,3.00575,3.03792,2.94914,3.0152,3.10425,2.96035,3.31234
Gm15699,1.75944,2.04683,1.89643,2.17483,2.27034,1.96296,1.97613,2.52497
Zfp664,6.33741,6.37273,6.40542,6.34125,6.1969,6.26568,6.17979,6.51612
Mir466b-5,2.55424,2.76349,2.75309,2.6264,2.98904,2.77962,2.85877,2.97435
Vmn1r114,2.34808,1.99908,2.6914,2.02645,1.9215,2.1463,2.28485,2.58458
Gm24045,3.79921,3.7838,3.58532,3.87665,3.75435,3.98811,3.93582,3.86024
Hoxa5,4.09167,3.90128,3.79805,3.91979,3.68229,3.91754,4.02294,3.83769
Hoxa6,4.37379,4.32564,4.2492,4.3242,4.2157,4.45979,4.48809,4.82487
Csnk1a1,8.38807,8.61474,8.60231,8.54616,8.44436,8.44318,8.54273,8.70533
Gm12265,5.21882,4.82131,5.07293,5.01547,5.13043,4.68504,4.81329,5.48991
Lingo4,4.63103,4.3072,4.25738,4.23776,4.11584,4.32856,4.60332,4.63293
Gm15039,4.4361,4.21002,4.2838,4.11253,4.31601,4.55748,4.44848,4.67331
Ddit3,6.56473,6.4625,6.67647,6.71132,6.73303,6.76725,6.58823,7.00635
Gm4847,4.09436,4.01579,3.88944,3.9732,3.85765,4.13516,3.96236,4.30477
AI463229,3.65356,3.7127,3.68066,3.56372,3.58205,3.79162,3.80881,3.83679
Gm15734,2.76405,2.81762,2.80166,2.59306,2.69358,2.63944,2.53215,2.99991
A930003O13Rik,3.41657,3.56129,3.50068,3.29774,3.53823,3.40356,3.44007,3.28027
Rpusd1,6.51165,6.53209,6.31811,6.66214,6.45782,6.36843,6.43142,6.40729
Gm26737,4.67822,4.78466,4.73343,4.94458,5.07061,5.02102,4.86311,4.7613
Slc37a4,6.54818,6.49218,6.51855,6.40235,6.36579,6.35591,6.31342,6.65677
Mir7085,7.51329,7.3704,7.51717,7.29085,7.55274,7.61711,7.78619,7.75444
Smpdl3a,8.47528,8.61942,8.642,8.64632,8.49007,8.57042,8.58347,8.69791
Cutal,3.93331,3.91728,3.67876,3.7724,3.84084,4.03436,3.8618,3.91926
A230073K19Rik,2.14187,2.12288,2.23511,2.19052,2.23033,2.24987,2.13216,2.37945
LOC102634058,3.11675,2.91918,2.98653,2.95705,3.17467,3.12052,3.0114,3.4785
Gm25772,9.27365,9.19723,9.5697,8.92244,9.17875,9.4236,9.40858,9.61581
Gm24115,7.0135,7.02389,7.31527,6.74045,6.84087,7.04577,6.91205,7.04049
Bbox1,2.66147,2.5717,2.66525,2.66014,2.67569,2.58041,2.69029,3.01476
Defb2,3.674,3.56799,3.67729,3.81011,3.71148,3.59354,3.89133,4.00511
Gm25724,3.94275,3.85542,4.16777,3.86848,4.0321,4.1825,4.5284,4.15818
Hdac3,7.5909,7.61402,7.57433,7.65644,7.58425,7.45876,7.44839,7.75538
Tex14,3.81241,3.77981,3.87598,3.85348,3.88869,3.88901,3.93923,3.95064
Gm2574,12.06,12.0199,11.7136,12.2034,12.0762,12.0708,11.9582,11.9978
Gm23741,2.78647,2.64012,2.75868,3.22023,3.04182,2.90438,3.04398,3.24525
4833422C13Rik,5.25964,4.98135,5.0559,4.78059,4.8169,4.93222,4.81126,5.07756
Atp8a1,6.95402,7.00107,6.95589,7.16198,7.11119,6.97279,7.0801,7.27975
Gm13702,2.85699,2.67012,2.87703,2.749,2.49919,2.61494,2.64216,2.91883
Furin,6.34745,6.29553,6.21724,6.4486,6.42812,6.3304,6.36682,6.39528
Gm6415,5.44386,6.41481,6.35013,6.32816,5.49504,6.017,5.47985,5.27603
Nkain3,3.41393,3.40735,3.4529,3.47199,3.59384,3.46966,3.52086,3.72984
Gm14111,11.1504,11.1297,10.9628,11.31,11.2824,11.3312,11.2538,11.2223
Gm26166,5.98089,5.91514,6.52541,6.06843,6.3607,6.43714,6.7159,6.3698
Xlr4c,7.53218,7.64217,7.70858,7.67203,7.74282,7.52987,7.69436,7.8118
Sars2,6.63776,6.57478,6.34438,6.60754,6.68109,6.60026,6.47678,6.72644
Gm6537,5.88512,5.68717,5.78621,6.08673,5.97852,5.76656,5.98977,6.05962
Hspb8,3.76168,3.57694,3.70307,3.71151,3.85574,3.70334,3.93893,4.1558
Acat3,5.51497,5.55011,5.5231,5.53777,5.39961,5.42811,5.38418,5.69803
Rdh19,4.0863,4.07091,4.0673,3.99837,3.88563,3.87539,4.29252,4.33251
Gp2,3.60531,3.52819,3.55014,3.70223,3.66952,3.57428,3.61658,3.76991
BB283400,4.04101,3.83138,3.86312,4.1896,3.86555,3.95546,4.0975,4.44032
Ighv8-13,6.68153,7.73879,9.552,3.8437,4.23918,6.9087,5.64143,5.37916
Zfp1,6.86348,6.94685,7.07947,6.85249,6.88511,6.92035,6.95073,7.05151
Gm22581,6.62336,6.69616,6.90369,6.55726,6.72507,6.71895,6.77126,7.02489
Gm14931,1.9591,2.05041,2.34694,2.05251,2.06273,2.15303,2.22198,2.234
Gm22233,2.69566,2.68515,2.68943,2.59706,2.72616,2.95873,2.68865,2.56718
Ncaph2,7.36826,7.33476,7.38481,7.34109,7.23435,7.25879,7.23445,7.38592
1810008I18Rik,4.39999,4.27493,4.19658,4.17231,4.24921,4.41545,4.24771,4.4963
Gm6309,3.86077,3.9222,4.05946,3.70023,3.79782,3.98243,3.84909,3.78042
Gm16513,2.75709,2.87531,3.07481,3.0246,2.7165,3.0818,3.06766,2.93253
H2-M5,4.11133,3.94945,3.96657,3.91739,3.92835,4.11779,4.02149,4.15438
Ly6g5b,4.49134,4.53993,4.20785,4.52156,4.24401,4.47842,4.1597,4.53925
Gm26306,2.29624,1.99475,2.2696,2.53142,2.20043,2.22767,2.13861,2.38082
Tbc1d20,7.82703,7.96706,7.69528,7.97506,7.75563,7.76583,7.61631,7.85949
Gm14164,3.59353,3.43046,3.54073,3.5242,3.60692,3.51751,3.65405,3.95538
Trav11d,6.97677,7.11183,7.00134,7.85165,7.58231,7.12304,6.83754,7.42297
Gm22092,9.96994,9.83412,10.3251,9.60076,9.95608,10.1905,10.2923,10.5079
Gm4802,5.41353,5.51788,5.7392,5.45943,5.74893,5.71907,5.50843,5.84897
Gm21909,3.11206,3.37625,3.46743,3.29511,2.96778,2.79395,2.93723,3.48266
Nqo2,6.08201,6.01694,5.70101,6.0549,5.95865,5.90991,5.66436,5.92287
Slit2,3.10022,3.08788,3.12149,3.10615,3.08781,3.14868,3.18632,3.2566
Gm10025,10.9149,11.1353,11.3693,10.9019,10.9822,10.9244,11.3741,11.1325
9430073C21Rik,2.35489,2.43085,2.34896,2.24419,2.328,2.19975,2.3054,2.9176
Gm12612,6.0994,6.23372,6.18117,6.2872,6.08658,6.2389,6.13448,6.37132
Gm12624,6.29844,6.11572,6.29842,6.26248,6.27984,6.26573,6.31775,6.23356
Gm9658,4.93834,4.86799,4.60406,4.91061,4.8894,4.97903,5.09029,4.89934
Gm15514,3.95885,4.07347,3.84127,4.14091,4.05181,4.08575,4.06233,4.31899
Pitpnm1,8.39225,8.41121,8.39718,8.52444,8.40731,8.39388,8.48518,8.48894
Dpy30,6.2237,5.95615,5.82519,6.09688,6.06366,5.85891,5.94148,6.21143
Ccpg1os,6.48201,6.60381,6.47027,6.95038,6.57456,6.86773,6.37177,6.79776
Gm6232,4.66288,4.7692,4.64752,4.77486,5.19935,5.14438,4.98629,4.96514
Gm9326,4.26495,4.56188,3.99936,4.2701,4.72818,4.65668,4.55231,4.37769
Fbxl14,8.30214,8.21957,8.16737,8.32585,8.29139,8.18598,8.1741,8.28079
Gm2483,4.19362,4.57148,4.41519,4.27931,4.70737,4.65378,4.49433,4.70255
Rpl18a,9.99016,9.97737,9.93006,10.0465,10.1175,9.97454,9.90864,10.0025
Agpat9,4.63418,4.62395,4.65008,4.59638,4.54956,4.71969,4.64816,4.8068
Rpl5,8.28242,8.39426,8.43347,8.17609,8.24109,8.23987,8.31758,8.2961
Cyp2d10,4.50371,4.33297,4.58583,4.49939,4.43072,4.49444,4.55605,4.7313
Ptprh,4.56944,4.48795,4.59998,4.47533,4.62115,4.67412,4.6023,4.69838
Gm24006,2.24762,1.89274,2.36276,1.68408,1.91521,2.056,1.87522,2.21247
Gm23738,4.14734,4.21902,4.59639,4.07828,4.22074,4.32843,4.67325,4.70579
Oxsr1,7.49495,7.62301,7.38121,7.48844,7.39823,7.49087,7.36333,7.59438
Traf1,8.64344,8.77066,8.71154,8.78507,8.71867,8.67832,8.58898,8.71241
9430077A04Rik,4.37867,4.4876,4.45039,4.44932,4.26432,4.13758,4.7935,4.24733
Gm5873,5.03087,4.70607,4.80726,4.53716,4.70052,4.76384,4.71151,4.98197
Camk4,7.88047,7.88986,7.73759,7.78865,7.74595,7.27381,7.49937,7.68099
Pank3,7.36857,7.4931,7.41591,7.19803,7.03341,6.98527,6.99858,7.36538
Gm22433,1.57183,1.77187,1.78608,1.97979,1.77571,2.00412,1.36204,1.77931
Gm22165,1.75635,2.03962,1.82193,1.65849,1.87125,2.13792,1.90618,2.07298
Gm5139,10.5713,10.5749,10.3185,10.7791,10.633,10.6147,10.7075,10.5936
Gm23454,1.94227,1.82823,1.6959,1.9495,2.02774,2.1925,1.88508,2.24874
Gm23163,2.46923,2.42908,2.56731,2.46151,2.68642,2.4475,2.67656,2.67532
Cdyl2,6.52974,6.7271,6.48504,6.57984,6.47184,6.53643,6.31017,6.57392
Gm26133,2.13737,2.16357,2.01344,2.36954,2.1184,2.54755,2.12595,2.09289
Mlxipl,4.71916,4.6414,4.68475,4.78758,4.74751,4.77985,4.8428,5.00075
Ush1g,5.06109,5.17109,5.16127,5.31181,5.22659,5.28996,5.30795,5.43231
Cacng5,3.90898,3.82307,3.86593,3.82778,3.81735,3.87627,4.05589,4.10134
9230106D20Rik,4.04484,3.94656,4.35925,3.94454,3.86166,4.05498,3.95468,4.30746
Arl5b,6.02605,6.17945,6.04471,6.17248,6.17606,6.05367,6.23332,6.45665
Vmn1r185,1.66956,1.46989,1.9207,1.67893,1.54117,2.02551,1.57204,2.18903
Best1,4.15177,4.21008,4.17414,4.12331,4.11489,4.16104,4.17278,4.1261
Pola2,6.96341,7.04804,6.78237,7.07558,6.97088,6.87172,6.9239,7.02096
Tecpr2,5.36326,5.32567,5.27666,5.35103,5.3743,5.47665,5.41389,5.49351
Gm12957,8.73343,8.33744,8.45629,7.90865,7.87255,7.97721,8.07825,7.89854
Fam150a,2.85023,2.91818,2.89921,2.75968,2.97918,2.95885,3.01671,3.15904
Gm23178,8.1219,8.10762,8.42198,8.25147,8.34796,8.113,8.63876,8.22845
Vmn1r32,2.16545,1.9329,2.03128,2.01405,1.95466,2.05904,1.9388,2.27531
Wars2,5.15527,5.16591,5.12253,5.21494,5.16868,5.30293,5.08803,5.36947
4930564D02Rik,3.47792,3.22216,3.16166,3.33469,3.05396,3.35956,3.38878,3.47302
Gm15111,1.86628,1.92346,2.01382,1.8142,1.97609,2.06074,1.93158,2.73582
Gm15113,2.42751,2.67046,2.67989,2.71134,2.53851,2.52035,2.54425,2.79616
n-R5s136,7.59488,7.40588,8.28014,7.35888,7.51853,8.07027,7.9125,8.45287
Rgs7,3.24194,3.11175,3.17981,3.18614,3.15607,3.30307,3.16567,3.36021
Ptpdc1,5.47194,5.61852,5.56395,5.69089,5.57654,5.62874,5.61985,5.66271
Gm15461,4.63427,4.6668,4.6493,4.29159,4.62402,4.71231,4.67069,4.86729
Gm22050,1.56141,1.60534,1.82841,1.86135,1.67451,1.68368,1.65803,2.35917
Gm6807,10.1698,10.1196,10.3278,10.1317,10.0899,10.0882,10.0703,10.2203
Pramel1,4.00666,4.17676,4.18147,4.04451,4.04006,3.92551,4.001,4.27087
Klhl24,7.1873,7.42492,7.38273,7.32557,7.22757,7.18393,7.46889,7.58486
Nrp2,4.3411,4.1376,4.25778,4.16519,4.32351,4.24874,4.239,4.38241
Ssu2,5.06618,4.86344,5.12655,5.05653,5.22389,4.94923,5.26815,5.48163
Bms1,7.763,7.92071,7.94493,7.81634,7.68782,7.62744,7.6486,7.93501
Gm11520,5.95294,5.63375,5.82852,5.9396,6.07438,5.9256,6.05414,6.07247
Gm22458,2.18352,2.26293,2.27127,2.08622,2.20848,2.25306,2.33978,2.3136
Gm4789,3.21141,3.05817,3.498,3.13382,3.16993,3.43329,3.39065,3.52363
Rpl39,7.76602,7.70406,7.85143,7.92325,7.84444,7.79999,7.8207,7.84661
Naip1,5.43761,5.46325,5.51028,5.54239,5.59515,5.42326,5.55385,5.46313
Igfbp7,6.25034,6.35163,6.15544,6.35352,6.44436,6.31322,6.0582,6.06036
Ccdc94,6.78907,6.85575,6.82715,6.88957,6.97259,6.68577,6.72192,6.79688
Ppia,11.4089,11.5233,11.3762,11.4614,11.3378,11.3108,11.3314,11.4478
Gm16010,3.87508,3.7647,4.01657,3.77438,3.69753,4.09361,3.91117,4.10077
Gm22918,7.16093,7.02612,7.43166,6.88621,7.04473,6.99985,7.04405,7.18697
Gm25287,7.16093,7.02612,7.43166,6.88621,7.04473,6.99985,7.04405,7.18697
