,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Fbxw22,2.68763,2.48776,2.50686,2.43496,2.55187,2.59115,2.41313,2.62505
Gm9040,7.91139,7.76791,7.658,7.77497,7.51456,7.83021,7.59868,7.94523
Fam163b,5.62264,5.60953,5.64957,5.64674,5.56963,5.84321,5.72331,5.83924
Ap3m1,6.5037,6.46133,6.33099,6.38868,6.38839,6.25078,6.23718,6.41135
Slco1c1,2.82643,2.75579,2.69743,2.72989,2.71315,2.85358,2.83909,2.99299
Psma8,3.78593,3.74058,3.77508,3.77606,3.7681,3.80961,3.71659,4.1506
Usp34,8.09127,8.28653,8.30953,8.21571,8.16224,8.03335,8.2962,8.41484
4930577N17Rik,4.76112,4.78154,4.67758,4.64154,4.53673,4.53225,4.6676,5.11924
Fam220-ps,6.17495,6.0848,6.10277,6.18321,6.05292,6.14684,6.0502,6.22694
D1Ertd622e,7.04669,6.86409,6.93064,6.9986,6.8828,7.05108,6.96846,7.0466
Gm25950,4.19077,4.23158,4.09102,4.01531,4.25199,4.07217,4.16796,4.88008
Hip1r,7.35611,7.40096,7.50939,7.48997,7.46471,7.50401,7.55382,7.69163
Ppy,4.72422,4.74939,4.81508,4.61276,4.74967,4.35686,5.03365,4.84732
Gm10718,9.90797,10.5484,10.8659,10.1636,10.3391,10.4303,10.9489,10.6705
9230019H11Rik,2.9813,3.17026,3.05758,3.00203,3.21046,3.00304,3.14067,3.37128
Mir669a-4,1.71902,1.70596,1.71892,1.69255,1.58452,1.49298,1.63631,1.85116
Apoe,6.41641,6.40901,6.58824,6.69399,6.60435,6.80695,6.66287,6.93446
Pvr,6.66178,6.82486,6.5565,6.84707,6.71261,6.60704,6.52708,6.6669
Slc18a2,4.64146,4.66797,4.81706,4.71232,4.6866,4.54425,4.76032,4.794
Kcnk18,4.25766,4.14854,4.37202,4.43375,4.46212,4.35392,4.35017,4.32213
Bdkrb2,4.12675,3.99491,3.91848,3.98445,4.03453,4.03944,4.10204,4.25734
Gm25486,1.31646,1.69102,1.42505,1.48951,1.55427,1.62708,1.69251,1.79948
Stk39,7.45475,7.55485,7.51357,7.48679,7.36022,7.46993,7.41933,7.70344
Cryl1,6.39115,6.4162,6.3562,6.62692,6.50837,6.42769,6.27681,6.38381
G930045G22Rik,3.98731,3.90405,3.9127,3.79902,4.03237,3.82602,4.01892,4.15538
Gm6960,5.79689,5.50191,5.47275,5.57088,5.4546,5.6,5.38784,5.83396
Olfr225,3.21633,2.93307,2.88313,3.14129,3.15021,2.79234,3.11084,2.77195
Flg,6.28003,6.20966,6.36347,6.18903,6.35099,6.33763,6.52396,6.3398
Gm4917,6.12309,6.11773,6.30899,6.00387,6.31605,6.19645,6.56263,6.55313
Rcsd1,7.13273,7.06919,6.97754,7.08712,7.02205,6.88959,6.83993,6.90499
Eci3,4.69008,4.56201,4.72796,4.80359,4.7375,4.82475,4.75465,5.06066
Gm24525,5.80967,5.62322,5.9659,5.80775,6.05344,5.71905,5.84903,5.84543
Gm8539,6.70037,6.59745,6.57964,6.89225,6.80914,6.86524,6.65776,6.847
Clcn7,6.96293,7.09949,6.99138,7.10357,6.94488,6.90793,6.90256,6.95595
Gm16214,4.79672,4.57686,4.60599,4.72946,4.9654,4.84622,4.81436,4.95601
Gm19395,2.60205,2.1619,2.63086,2.42798,2.4998,2.56486,2.36419,2.8605
Gm13536,3.47655,3.46007,3.66948,3.33138,3.27542,3.48459,3.45451,3.69117
Gm24165,2.64196,3.10996,2.86494,2.89836,2.9713,3.01581,2.93115,2.56927
Ankrd1,3.99992,3.99641,4.06619,4.08919,4.11204,4.07083,4.17829,4.3208
Gale,5.50855,5.31012,5.50469,5.35047,5.58139,5.54591,5.59354,5.52256
Gm26822,4.44838,4.21958,4.08525,4.05582,4.21952,4.56659,4.37682,4.8125
Dnajc24,5.7995,5.8549,5.89082,5.8672,5.8501,5.87435,5.87726,6.14712
