KEGG_name
cholesterol
phosphoethanolamine
adipic acid
glyceric acid
diglycerol
dehydroascorbic acid
dehydroabietic acid
creatinine
conduritol-beta-epoxide
citrulline
citric acid
caprylic acid
capric acid
