mouseIDwtSS,mouseSymbol,B6.1.Tfh,B6.2.Tfh,B6.3.Tfh,B6.4.Tfh,TC1.Tfh,TC2.Tfh,TC4.Tfh,padj,log2FoldChange,annotation
Prmt7,Prmt7,8.681096347,8.80930263,8.70232166,8.78896605,8.771664456,8.683139463,8.69880122,0.783624508,-0.044692825,
Pwp1**,Pwp1,9.37870968,9.442024216,9.374585741,9.421557124,9.241811734,9.235520514,9.164964824,0.003204468,-0.277716845,
Pygo2,Pygo2,10.78467291,10.86174412,10.81176365,10.82539468,10.79034596,10.70194835,10.74798312,0.241296692,-0.094268163,
Rbbp5*,Rbbp5,10.47945092,10.43956966,10.45491783,10.46793314,10.5405339,10.65302541,10.58577966,0.023861767,0.172731107,
Rif1,Rif1,11.10982661,10.86989279,11.06786704,11.05010259,11.1062299,11.16104008,11.11483598,0.236160555,0.12580048,
Rlf-,Rlf,10.64095146,10.66119319,10.90291572,10.81299167,10.97940249,10.88550252,10.87965996,0.084312392,0.19957082,
Rnf20***,Rnf20,11.27825722,11.21682583,11.24188855,11.30797908,11.4726638,11.4599878,11.38829388,0.000999157,0.223264189,
Rtf1*,Rtf1,10.79754055,10.80283914,10.81725833,10.88134476,10.87330293,11.08390928,11.01899907,0.018767573,0.215698061,
Satb1,Satb1,8.494995155,9.32176684,8.628822255,9.120850537,8.782173264,9.042754382,8.540092535,0.739931456,-0.206235894,
Setd1b*****,Setd1b,11.46461871,11.28177059,11.55641702,11.46937262,11.87561269,11.92979783,11.72582489,1.63E-06,0.49278725,H3K4
Setd2**,Setd2,11.90686425,11.70071266,11.93613904,11.87765272,12.08311431,12.07946694,11.99791708,0.009735775,0.239079073,H3K36me3
Setd3-,Setd3,10.98650157,10.9484595,10.93601677,10.91315451,11.05371657,11.04805472,11.02243933,0.08122837,0.12025074,H3K36me1
Setd5*,Setd5,12.56363599,12.38104344,12.60297151,12.53142434,12.70837985,12.65653286,12.74770376,0.01086269,0.220088415,H3K36me2
Setd6,Setd6,8.42241372,8.575982244,8.403531916,8.499063005,8.451516302,8.543211568,8.590207476,0.612360583,0.087396474,
Setd7,Setd7,11.62496329,11.43601823,11.70940064,11.68646287,11.6707814,11.75807243,11.63767056,0.484795991,0.087683047,
Setdb1**,Setdb1,10.59235308,10.48995153,10.60329796,10.65656395,10.74478671,10.74222164,10.85350146,0.00436929,0.250309008,H3K9
Setdb2***,Setdb2,8.266443511,8.178500069,8.241397601,8.359610992,8.529767603,8.658814835,8.499505117,0.000180215,0.508074737,
Sirt1**,Sirt1,9.584719816,9.674257674,9.660146974,9.63048437,9.779176097,9.868209193,9.79869432,0.005229786,0.246276237,
Smad4*****,Smad4,10.81834487,10.84014669,10.95519959,10.81079778,11.18169082,11.22341286,11.17916867,6.57E-09,0.426008849,
Smarcb1**,Smarcb1,10.76662537,10.85863289,10.79696584,10.81342151,10.95901366,10.98798977,10.94954559,0.003543596,0.198615641,
Smyd1,Smyd1,-0.831151774,-0.846437338,-0.846389402,-0.838519356,-0.837828535,-0.845986502,-0.846347399,,-0.872724685,
Smyd2*****,Smyd2,7.473442949,7.468465702,7.348345538,7.500432841,7.803727544,7.966061011,7.833421598,1.00E-07,0.851757582,H3K36me1
Smyd3,Smyd3,8.763706606,8.821369869,8.789977723,8.732803176,8.811999916,8.69357224,8.715562521,0.70722234,-0.056637235,
Snw1***,Snw1,11.27964961,11.41227979,11.36506661,11.33148131,11.16575973,11.1322966,11.16440771,0.000503392,-0.242514907,
Supt6,Supt6,11.99202214,11.95240483,12.02914173,11.99848425,12.02217738,12.02981287,12.06661274,0.414234004,0.056842928,
Suv39h1,Suv39h1,9.136024457,9.143206617,9.143963786,9.126672492,9.140972659,9.212686044,9.204146168,0.538749163,0.072421384,
Suv39h2,Suv39h2,4.537843545,4.50984223,4.537264907,4.5095657,4.494801001,4.542628727,4.529650171,0.985979064,-0.011303735,
Suz12*,Suz12,11.41156417,11.27143948,11.40995202,11.37464894,11.51087327,11.53802034,11.44328539,0.047017604,0.161161622,
Tet1,Tet1,7.341618891,7.038490499,7.102583125,7.119504963,7.117477973,7.290368157,7.324946992,0.459452653,0.215023065,
Tet2*****,Tet2,10.57715039,10.25398818,10.61787803,10.5394457,11.06645004,11.19213779,11.10899216,2.57E-11,0.788156678,
Tet3*****,Tet3,11.38127063,11.22220364,11.35700756,11.44175329,11.67855737,11.94926534,11.70810733,6.70E-07,0.533249476,
Wdr5,Wdr5,9.918288457,9.93370335,9.954596036,9.960064512,9.92862232,9.99698631,9.901398692,0.994882512,0.000894005,
Wdr5b,Wdr5b,7.76354529,7.801673073,7.802025428,7.895729323,7.69787603,7.659184344,7.961621453,0.795256447,-0.068490189,
Wdr61***,Wdr61,9.407496981,9.558093183,9.509478168,9.470655348,9.178637591,9.214665427,9.294121659,0.000259329,-0.372623231,
Wdr82,Wdr82,11.77731934,11.88655078,11.83682731,11.88700238,11.78876566,11.77333524,11.73654391,0.175767928,-0.100041664,
Zfp110*,Zfp110,10.5902732,10.66954505,10.70844528,10.62811338,10.54516089,10.49381753,10.53621787,0.04286076,-0.161016888,
Zfp369****,Zfp369,9.001954296,8.55645362,8.901453281,8.886954264,9.319635428,9.348056226,9.279402397,1.67E-05,0.700328101,
Zfp335*****,Zfp335,10.63771745,10.71495349,10.72208313,10.80046246,11.04886205,11.18163109,11.08702877,1.17E-09,0.490977368,
Zfp78,Zfp78,5.77388392,5.738500544,5.700467314,5.694279716,5.672890895,5.718618437,5.718051749,0.77753375,-0.109391833,
