"","C2_B6.1_Tfh_007","C2_B6.2_Tfh_008","C2_B6.4_Tfh_009","C2_B6.6_Tfh_010","C2_B6.7_Tfh_011","C2_B6.8_Tfh_012","C2_B6.1_Tn_001","C2_B6.2_Tn_002","C2_B6.4_Tn_003","C2_B6.6_Tn_004","C2_B6.7_Tn_005","C2_B6.8_Tn_006","C1_B6.1_Tfh_004","C1_B6.1_Tn_001","C1_B6.2_Tfh_005","C1_B6.2_Tn_002","C1_B6.3_Tfh_006","C1_B6.3_Tn_003","C1_TC.1_Tfh_010","C1_TC.1_Tn_007","C1_TC.2_Tfh_011","C1_TC.2_Tn_008","C1_TC.2_Tn_009","C1_TC.3_Tfh_012","C2_TC.1_Tfh_018","C2_TC.2_Tfh_019","C2_TC.3_Tfh_020","C2_TC.4_Tfh_021","C2_TC.1_Tn_013","C2_TC.2_Tn_014","C2_TC.3_Tn_015","C2_TC.4_Tn_016"
"MID_96",13.9244413923392,14.5871328935562,13.4718022066056,13.3100446796475,13.2047239640196,14.1850302631813,13.1352283075899,15.1595560280588,13.232570825357,12.1494295900567,14.3844465063412,13.8052400498867,13.2488170592785,13.5247865508516,12.3616696794928,13.6316318059176,13.2285180977162,13.2992080183873,14.1784314366809,12.4961047793401,14.3290955585689,12.6750749203854,13.1758613835653,13.6793701338024,13.2976327891425,12.9870863293282,13.8342735152347,13.646333693381,14.4588551427103,14.2691266791494,13.3578268822108,11.7427304765192
"MID_97",14.5517082616207,13.6958807502576,14.1841779957389,14.1702380523366,13.8227699744443,14.54791873756,12.1683587272239,12.199365616858,11.7502882675917,12.2943335596718,12.0911047583765,11.5588989811467,13.0686103567793,12.7225940989566,13.9431558049393,12.4138923283726,13.752589717641,12.0983611273321,13.943613701614,11.5722265127937,13.4316281826209,12.427312844135,11.7372473430277,13.4356702609366,14.4120405145517,14.3650921203465,14.2703683355073,14.6298119443822,12.0590063952011,11.2306209331299,12.5724633890837,11.3955341354623
"MID_98",11.8564255286255,10.4542992936199,11.5693809595223,11.9476369379518,11.5439984501345,12.6190736468177,12.9494619793602,12.7905521378054,13.2132561382479,12.3097605447296,12.2237000759863,12.2390017577656,8.01122725542325,12.9019981856685,11.0947375050481,12.9666856874036,11.334831928118,11.4660764613963,12.1671044823799,12.0122753448561,11.9833499276765,12.3548003443506,12.0927571409199,11.0484868739923,12.1873520732005,11.3060616894283,11.5938579388582,11.1984450414524,13.1168312758987,13.0911047583765,13.5556675918407,13.0537562225621
"MID_99",11.6843103111243,7.54689445988764,10.3901689562002,10.2550285698187,9.66355810421727,8.33091687811462,6.4093909361377,6.28540221886225,6.3037807481771,6.68650052718322,6.8073549220576,6.88264304936184,10.5497846679479,7.52356195605701,9.2644426002266,8.29001884693262,9.15734693536284,6.98868468677217,10.9964734887332,6.61470984411521,11.8807314351417,7.49984588708321,8.59245703726808,11.103287808412,11.1452953349336,12.0867996856235,11.2124963851939,9.59058704991503,6.95419631038687,6.4093909361377,7.38370429247405,7.05528243550119
"MID_100",9.63481105017172,7.99435343685886,8.34872815423108,9.27379559921426,9.18239435340453,8.94836723158468,8.81378119121704,9.56795607541547,9.22881869049588,8.64024493622235,8.73809225962049,9.03617361255349,9.77807712953536,10.5526690975143,10.2550285698187,10.4429434958487,10.0209799389042,10.0741414627525,9.7176764230664,9.12153351734003,10.4136279290242,9.54689445988764,10.2179576978641,9.84077792359505,9.20945336562895,9.37721053038855,8.95419631038687,9.62570884306447,9.06608919045777,9.03342300153745,8.6724253419715,9.01402047031493
"MID_101",15.4051082148034,14.7766386470736,15.4120405145517,15.4752584487821,15.3538360220147,15.3013532902188,15.6122637929149,15.4124706118002,15.3664929777,15.3790060018886,15.2739048460149,15.405905963389,10.7219536128014,10.3976746329483,10.6183855022586,10.0292872269682,11.0848083878044,9.7714894695006,9.87805091272854,9.92481250360578,8.71080643369935,10.3365065598103,9.34872815423108,9.32192809488736,15.3006028078858,15.0562990145503,14.8085117539546,15.490788214893,15.2690170699127,14.5401885936847,14.820278702817,14.9427435736366
"MID_102",8.93663793900257,9.19967234483636,8.88874324889826,9.33985000288462,9.21431912080077,8.89784545600551,8.51963625284321,9.98726401207254,8.71080643369935,9.13699111208023,9.02513956227851,9.45532722030456,7.876516946565,6.83289001416474,7.78135971352466,8.5274770060604,8.32192809488736,7.44294349584873,7.12928301694497,7.72109918870718,6.74146698640115,7.15987133677839,7.71424551766612,6.97727992349992,9.43254190038826,8.76818432477693,8.80413102118332,8.17990909001493,8.85798099512757,8.64024493622235,8.59618975614441,8.62935662007961
"MID_103",7.59245703726808,5.83289001416474,7.22881869049588,7.91886323727459,7.48381577726426,7.29462074889163,7.28540221886225,7.27612440527424,7.49984588708321,7.07681559705083,7.86418614465428,6.93073733756289,6.76818432477693,6.82017896241519,7.14974711950468,7.34872815423108,7.876516946565,6.62935662007961,6.4757334309664,5.7279204545632,7.62935662007961,6.84549005094437,5.90689059560852,7.467605550083,7.96578428466209,6.94251450533924,6.76818432477693,7.62205181945638,7.6724253419715,6.96578428466209,7.4178525148859,6.78135971352466
"MID_104",7.90689059560852,6.93073733756289,7.63662462054365,7.76155123244448,7.61470984411521,7.62205181945638,7.18982455888002,8.09275714091985,7.63662462054365,7.33985000288462,7.28540221886225,7.91288933622996,10.7151040092362,10.7030383889864,10.6934869574993,11.0552824355012,10.3465137331656,10.6917435191713,9.91288933622996,10.2021238238305,9.54109661534952,10.1661630826461,10.3320365483617,9.67948009950545,7.89481776330794,7.04439411935845,6.8703647195834,8.61838550225861,7.72109918870718,6.95419631038687,7.56224242422107,7.2667865406949
"MID_105",8.88874324889826,7.60733031374961,8.8008998999203,7.58496250072116,7.58496250072116,8.08214904135387,8.52356195605701,9.4241662888181,8.17990909001493,9.17492568250068,9.44914864537544,8.67948009950545,7.13955135239879,7.37503943134692,8.04984854945056,7.02236781302845,7.08746284125034,7.83920378809694,6.33985000288462,6.59991284218713,6.93073733756289,7.61470984411521,7.70735913208088,7.56985560833095,7.77478705960117,7.91288933622996,6.83289001416474,7.35755200461808,8.02790599656988,8.68299458368168,7.59991284218713,8.47167521439204
