BinBase name,MID,annotated_KEGG_name,TC_Tfh_geoMean,B6_Tfh_geoMean,TC_Tn_geoMean,B6_Tn_geoMean,log2FC_Tfh_TCvsB6,log2FC_Tn_TCvsB6,log2FC_TC_TfhvsTn,log2FC_B6_TfhvsTn,ttest_pval_B6_TfhvsB6_Tn,ttest_tscore__B6_TfhvsB6_Tn,padj_lim_ttest_tscore__B6_TfhvsB6_Tn,ttest_pval_TC_TfhvsB6_Tfh,ttest_tscore__TC_TfhvsB6_Tfh,padj_lim_ttest_tscore__TC_TfhvsB6_Tfh,ttest_pval_TC_TfhvsTC_Tn,ttest_tscore__TC_TfhvsTC_Tn,padj_lim_ttest_tscore__TC_TfhvsTC_Tn,ttest_pval_TC_TnvsB6_Tn,ttest_tscore__TC_TnvsB6_Tn,padj_lim_ttest_tscore__TC_TnvsB6_Tn,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
glutamine,MID_66,C00064,9.126536093,9.739383691,9.020135519,9.605903084,-0.612847598,-0.585767565,0.106400574,0.133480608,0.838684117,0.206918198,0.979256638,0.393929321,-0.879589855,0.662517494,0.877081485,0.158003805,0.975291111,0.372115511,-0.922058809,0.764977885,0.644885299,0.561482153,0.813434866
glutamic acid,MID_67,C00025,13.57082143,12.29639298,12.47418311,12.1111181,1.274428456,0.363065012,1.096638323,0.185274878,0.763930906,0.305490843,0.979256638,0.037358669,2.299881486,0.253788322,0.043223914,2.259833053,0.226485079,0.550820354,0.61126615,0.783859734,0.082181918,2.474246974,0.217195069
glucose-6-phosphate,MID_68,C00092,7.097668951,8.055332991,8.260468005,7.755944538,-0.95766404,0.504523467,-1.162799053,0.299388453,0.523918571,0.651585145,0.904488031,0.142475678,-1.554077087,0.407546127,0.113215294,-1.708716586,0.356900376,0.328993708,1.011384699,0.764977885,0.238166187,1.49222264,0.472079406
glucose-1-phosphate,MID_69,C00103,8.090582587,8.320612588,8.2655276,8.227023934,-0.230030001,0.038503666,-0.174945013,0.093588654,0.730408145,0.35067291,0.979256638,0.413615289,-0.842601231,0.675166133,0.580100112,-0.56861992,0.815077372,0.900043975,0.127904085,0.952426245,0.878713892,0.224264644,0.946963515
glucose,MID_70,C00221,9.718296789,10.54864928,8.764972774,9.980174266,-0.830352487,-1.215201492,0.953324014,0.568475009,0.354314953,0.953919734,0.819353328,0.27270868,-1.141755429,0.611362159,0.274704503,1.144568889,0.597402351,0.095951424,-1.784912678,0.688932596,0.110680144,2.19619453,0.267076
gluconic acid,MID_71,C00800,6.379587458,6.13226793,5.568271759,6.047537707,0.247319528,-0.479265948,0.811315699,0.084730223,0.814484784,0.238547608,0.979256638,0.706190298,0.384769171,0.877158592,0.28040437,1.13037794,0.597402351,0.227408615,-1.262458548,0.764977885,0.536051596,0.741942544,0.716201383
fumaric acid,MID_72,C00122,9.233891885,9.723798129,10.20387664,10.28391505,-0.489906243,-0.080038406,-0.969984755,-0.560116918,0.012293504,-2.821121736,0.113714911,0.357701962,-0.951066777,0.6404019,0.102064633,-1.770240188,0.354036697,0.522632259,-0.655724166,0.773482419,0.037375986,3.22889694,0.125719226
fructose-6-phosphate,MID_73,C05345,7.7586489,8.036586707,7.823429698,7.864826987,-0.277937807,-0.041397289,-0.064780798,0.17175972,0.757830266,0.313661622,0.979256638,0.658745669,-0.451213849,0.870485348,0.9147506,-0.109326344,0.975291111,0.9387209,-0.078270094,0.95469629,0.965253323,0.089439718,0.982964393
fructose,MID_74,C02336,13.87745787,15.18224199,14.07946688,14.62104056,-1.304784118,-0.541573682,-0.202009003,0.561201433,0.398238006,0.867978812,0.834045636,0.141344445,-1.558854704,0.407546127,0.818667509,-0.234345402,0.975291111,0.412759644,-0.844184399,0.764977885,0.307344638,1.259249798,0.534755371
ethanolamine,MID_75,C00189,12.57636853,12.53482952,12.54902586,12.74401493,0.041539004,-0.194989068,0.027342669,-0.209185403,0.312077137,-1.043835271,0.761981768,0.860811567,0.178598666,0.946040435,0.912113815,0.112723147,0.975291111,0.364012898,-0.938267764,0.764977885,0.734536118,0.427944797,0.858247464
erythronic acid lactone,MID_76,C02341,7.135092546,7.254442424,5.730570215,6.444005339,-0.119349878,-0.713435124,1.404522331,0.810437085,0.03434597,2.313139139,0.224258979,0.673585414,-0.430218637,0.877158592,0.02783855,2.501502624,0.176646539,0.230297533,-1.254225614,0.764977885,0.008463714,4.745304306,0.042703284
erythritol,MID_77,C00503,11.31870895,12.86996927,11.98183142,12.45215345,-1.551260313,-0.470322032,-0.663122465,0.417815816,0.380014598,0.902816518,0.834045636,0.056324152,-2.080520469,0.265386423,0.423381603,-0.82882777,0.732177513,0.32381845,-1.022654345,0.764977885,0.100288381,2.287911403,0.254617383
enolpyruvate ,MID_78,C00074,7.083450362,7.649375744,7.605270562,7.711582392,-0.565925382,-0.10631183,-0.5218202,-0.062206649,0.867891723,-0.169029732,0.979256638,0.151865651,-1.515617303,0.421427183,0.285246167,-1.118496051,0.597402351,0.817020003,-0.235776931,0.952426245,0.444454326,0.918911175,0.704337912
diglycerol,MID_79,C00165,12.86228061,12.19665545,12.10850307,12.15286212,0.665625158,-0.044359056,0.753777538,0.043793324,0.907683185,0.117811669,0.979256638,0.103733112,1.740284089,0.359140473,0.046929341,2.21414922,0.226485079,0.900943746,-0.12674608,0.952426245,0.182238439,1.736802893,0.404569335
dehydroascorbic acid,MID_80,C05422,12.3555706,12.56445431,10.60561046,11.73294059,-0.208883711,-1.127330128,1.749960139,0.831513721,0.040133942,2.233643008,0.247492644,0.690431688,-0.406624654,0.877158592,0.028645385,2.485923637,0.176646539,0.056719129,-2.076731831,0.648639835,0.005277052,5.25756357,0.032541821
dehydroabietic acid,MID_81,C12078,8.117254314,8.648245736,8.433424841,8.377010279,-0.530991423,0.056414562,-0.316170528,0.271235457,0.391821586,0.880121553,0.834045636,0.178798551,-1.415441167,0.472539028,0.48202873,-0.725544341,0.767627558,0.87695757,0.157683911,0.952426245,0.555118791,0.708383635,0.724919833
creatinine,MID_82,C00791,10.9099631,10.99180909,9.882318241,10.45400098,-0.081845984,-0.571682741,1.027644863,0.537808106,0.392939417,0.877996681,0.834045636,0.90420089,-0.122555647,0.965060565,0.164018256,1.482379426,0.433476819,0.387172699,-0.89256967,0.764977885,0.34452585,1.154546669,0.579429839
conduritol-beta-epoxide,MID_83,conduritol-beta-epoxide,7.688515173,7.031731382,6.435046142,7.166261909,0.656783791,-0.731215767,1.253469031,-0.134530528,0.836375836,-0.209925237,0.979256638,0.580351843,0.566002549,0.825885315,0.361309668,0.949066029,0.703603038,0.327302163,-1.015054058,0.764977885,0.680306379,0.507498676,0.831834251
citrulline,MID_84,C00327,8.484505865,8.437810784,8.027113601,8.87721564,0.046695081,-0.850102039,0.457392264,-0.439404856,0.490285816,-0.706091579,0.904488031,0.802985521,0.25426745,0.918880339,0.023616311,2.59095508,0.174760698,0.247331402,-1.207266583,0.764977885,0.444798208,0.918188756,0.704337912
citric acid,MID_85,C00158,12.73120935,12.71857013,13.30333299,13.01751792,0.012639216,0.285815066,-0.572123642,-0.298947792,0.452714932,-0.769661037,0.872053164,0.978518037,0.027412009,0.987413656,0.217043081,-1.302940555,0.49166902,0.443490411,0.788608796,0.764977885,0.479247344,0.848237147,0.704337912
cholesterol,MID_86,C00187,15.63820374,14.87590855,15.65213199,15.50658892,0.762295192,0.145543072,-0.013928252,-0.630680373,0.058324941,-2.03899567,0.295884019,0.010882788,2.934108783,0.120798947,0.945624269,-0.069643824,0.975291111,0.631167032,0.490806447,0.844090849,0.022818611,3.717933528,0.087340201
caprylic acid,MID_87,C06423,12.19549491,12.42935946,12.45267728,12.53023017,-0.233864555,-0.077552888,-0.257182376,-0.100870709,0.809480192,-0.245119334,0.979256638,0.58936633,-0.552428532,0.828096996,0.505066164,-0.687126464,0.775527057,0.843505319,-0.20110974,0.952426245,0.866460532,0.24174919,0.942912932
capric acid,MID_88,C01571,10.21844175,10.53575966,10.29568765,10.61844781,-0.317317912,-0.32276015,-0.077245908,-0.082688146,0.867988045,-0.168905238,0.979256638,0.540582189,-0.627263755,0.789534513,0.885607488,-0.146955155,0.975291111,0.542730111,-0.623893769,0.782377173,0.841096173,0.277554927,0.933616752
beta-alanine,MID_89,C00099,8.944658306,8.690011102,8.168715112,8.431802983,0.254647205,-0.263087871,0.775943195,0.258208119,0.436757944,0.797639996,0.865716639,0.320836135,1.029207855,0.62680083,0.017731161,2.746061694,0.14058278,0.4880864,-0.712124183,0.773482419,0.127973365,2.061742081,0.302234968
aspartic acid,MID_90,C00049,14.74064239,12.47268935,12.4866649,11.99674133,2.26795304,0.489923572,2.253977488,0.47594802,0.278389432,1.122071376,0.748834092,5.35E-05,5.714482237,0.005935948,1.33E-05,7.053131034,0.000369557,0.234202363,1.243225993,0.764977885,9.10E-07,18.2812527,2.53E-05
asparagine,MID_91,C00152,6.78958389,6.878002245,6.763631814,6.686541005,-0.088418355,0.077090809,0.025952077,0.19146124,0.436627299,0.797871694,0.865716639,0.845419217,-0.198615102,0.93841533,0.956793005,0.055321166,0.975291111,0.720847933,0.364614298,0.897761537,0.949496876,0.116810565,0.981863944
arachidonic acid,MID_92,C00219,10.49497052,10.67767022,10.54306208,10.79286145,-0.182699701,-0.249799372,-0.048091562,-0.115191234,0.743778274,-0.332567409,0.979256638,0.599696355,-0.537003548,0.832078692,0.852674198,-0.189753472,0.975291111,0.418727742,-0.833186329,0.764977885,0.78300176,0.359040176,0.88686934
arabitol,MID_93,C01904,10.75257344,11.38673896,10.55902601,10.95103723,-0.634165522,-0.392011215,0.193547427,0.435701733,0.162012505,1.466047311,0.561980876,0.062533048,-2.023606555,0.265386423,0.523639646,0.656907089,0.785459469,0.195859192,-1.358286482,0.764977885,0.055119247,2.853105918,0.165357741
aminomalonate,MID_94,C00872,8.341195028,7.882898229,8.356025213,8.343876659,0.458296799,0.012148554,-0.014830186,-0.46097843,0.059378205,-2.029521699,0.295884019,0.010126513,2.970495471,0.120798947,0.927445343,-0.092990836,0.975291111,0.962068076,0.04841671,0.962068076,0.063510783,2.717871187,0.180761459
allantoic acid,MID_95,C00499,7.228518962,7.958496224,7.054388319,7.757436219,-0.729977262,-0.703047901,0.174130643,0.201060005,0.529655153,0.642489249,0.904488031,0.052203355,-2.121582263,0.265386423,0.601098829,0.5369761,0.823728026,0.03408406,-2.348139698,0.540475815,0.027679136,3.524922319,0.101130199
alanine,MID_96,C00041,13.70746049,13.50246447,13.16794004,13.59134419,0.204996023,-0.423404149,0.539520456,-0.088879716,0.805022049,-0.25098294,0.979256638,0.494316222,0.701783806,0.762070843,0.209629024,1.325680728,0.484767117,0.36518182,-0.935914078,0.764977885,0.577347158,0.670413873,0.745180634
adipic acid,MID_97,C06104,14.06974644,13.97078329,11.85634451,12.14413305,0.098963143,-0.287788544,2.21340193,1.826650243,5.44E-08,9.518210992,6.03E-06,0.682732553,0.4173771,0.877158592,2.47E-06,8.334521402,9.12E-05,0.199254327,-1.347400979,0.764977885,1.00E-11,53.58712925,5.55E-10
adenosine-5-monophosphate,MID_98,C00020,11.64066543,11.15906795,12.75388467,12.562277,0.481597487,0.191607672,-1.113219236,-1.403209051,0.009581102,-2.941365456,0.096682031,0.37688658,0.912627939,0.653662663,0.0022349,-3.868264555,0.024807391,0.514008611,0.669594791,0.773482419,0.001605395,6.620202047,0.013707603
adenosine,MID_99,C00212,11.14509588,9.649161276,7.215655249,6.908593099,1.495934608,0.30706215,3.929440635,2.740568177,2.44E-05,5.855295135,0.000676616,0.015586275,2.75191464,0.14588034,5.33E-07,9.63703464,2.96E-05,0.385122788,0.896537893,0.764977885,4.35E-10,38.65274505,1.61E-08
adenine,MID_100,C00147,9.591235904,9.270726163,9.23890624,9.454980091,0.320509741,-0.216073851,0.352329664,-0.184253929,0.607518195,-0.523916806,0.958995267,0.342507624,0.982544672,0.62680083,0.202161761,1.349258288,0.484767117,0.51978847,-0.660283628,0.773482419,0.69694221,0.482741465,0.831834251
acetophenone ,MID_101,C07113,12.65242675,13.79437585,12.74032502,13.62761061,-1.141949101,-0.887285591,-0.087898275,0.166765235,0.888070592,0.143006415,0.979256638,0.411680483,-0.846184215,0.675166133,0.956340598,-0.055901068,0.975291111,0.523491198,-0.654349811,0.773482419,0.766683515,0.38207659,0.886477814
5-methoxytryptamine,MID_102,C05659,8.00468518,8.717430319,8.188426907,8.626497234,-0.712745138,-0.438070327,-0.183741727,0.090933084,0.813244205,0.240175632,0.979256638,0.106771492,-1.723657793,0.359140473,0.701866018,-0.392090294,0.92746581,0.323895308,-1.02248603,0.764977885,0.287803831,1.319335565,0.520537101
5'-deoxy-5'-methylthioadenosine,MID_103,C00170,7.267318648,7.238434877,6.759674708,7.192375036,0.028883771,-0.432700328,0.50764394,0.046059841,0.854318572,0.186601503,0.979256638,0.925175402,0.095622822,0.968815751,0.162003468,1.490111485,0.433476819,0.140668726,-1.561724091,0.743534693,0.313145037,1.242132287,0.534755371
4-hydroxybutyric acid,MID_104,C00989,8.508775451,8.580852239,8.600663988,8.656379136,-0.072076788,-0.055715147,-0.091888538,-0.075526897,0.921026706,-0.100716601,0.979256638,0.921373065,-0.100499185,0.968815751,0.905223662,-0.121606057,0.975291111,0.946095422,-0.068833774,0.95469629,0.998007082,0.012649113,0.998007082
3-phosphoglycerate,MID_105,C00597,7.245508766,7.869545583,7.814924351,8.407533644,-0.624036817,-0.592609293,-0.569415585,-0.537988061,0.158288204,-1.480022081,0.561980876,0.063633119,-2.01406807,0.265386423,0.115751473,-1.695480407,0.356900376,0.163673292,-1.470008266,0.764977885,0.028243569,3.504868689,0.101130199
2-hydroxyglutaric acid,MID_106,C02630,6.816269569,7.163886039,6.355842548,6.58607846,-0.347616469,-0.230235912,0.460427022,0.577807579,0.074045439,1.911326196,0.328761747,0.195500055,-1.359446898,0.487909146,0.128141748,1.634285407,0.36471113,0.507260198,-0.68054314,0.773482419,0.06258235,2.731880964,0.180761459
"2,5-dihydroxypyrazine ",MID_107,C01059,9.28717498,8.422261118,9.485171148,8.868852347,0.864913862,0.616318801,-0.197996168,-0.446591229,0.146668711,-1.525453755,0.542674231,0.015770848,2.745918714,0.14588034,0.510031308,-0.678984937,0.775527057,0.04396432,2.213598512,0.610004937,0.005931119,5.12941439,0.034395886
"2,3-bisphosphoglyceric acid",MID_108,C03339,11.11220441,10.41103404,10.60006402,10.67466152,0.701170366,-0.074597505,0.512140391,-0.26362748,0.626174877,-0.496672156,0.965352936,0.07874578,1.896321549,0.281960695,0.149625239,1.539502418,0.415210039,0.896248454,-0.132790957,0.952426245,0.531527413,0.750049112,0.716201383
1-monostearin,MID_109,D01947,8.640455639,8.961370877,8.263832089,8.97533359,-0.320915238,-0.711501501,0.37662355,-0.013962713,0.961564306,-0.048950864,0.983682024,0.428008297,-0.81628539,0.688535086,0.474532803,0.738285573,0.767627558,0.087497914,-1.837194643,0.688932596,0.251319954,1.443147268,0.472822286
"1,2-anhydro-myo-inositol ",MID_110,"1,2-anhydro-myo-inositol ",8.852886609,8.43555619,8.55762934,8.586308516,0.417330419,-0.028679176,0.29525727,-0.150752326,0.433288095,-0.803808683,0.865716639,0.133194167,1.59427613,0.407546127,0.271681427,1.152187665,0.597402351,0.865056021,-0.173092907,0.952426245,0.312744497,1.243304347,0.534755371
84922,MID_239,C00055,7.675951335,7.27802256,8.404175825,8.069624795,0.397928775,0.33455103,-0.72822449,-0.791602235,0.020426451,-2.573079279,0.161952575,0.199683482,1.346035754,0.487909146,0.109646992,-1.727792719,0.356900376,0.432782431,0.807683444,0.764977885,0.022153068,3.747712197,0.087340201
