"MID"	"ftest_pval"	"ftest_fscore"	"padj_lim_ftest_fscore"
"MID_1"	0.211237949793706	1.68003861659013	0.383799831280688
"MID_2"	0.000100397567017954	13.9217854740168	0.00308494342291531
"MID_3"	0.215328917813823	1.66061286220643	0.383799831280688
"MID_4"	0.0025406092113342	7.3760621373457	0.0260219973766957
"MID_5"	0.0422844775867461	3.43557315643757	0.158801704714669
"MID_6"	0.630220542254	0.590303697959033	0.755065709979908
"MID_7"	0.0219068649636282	4.24410497015199	0.105527775479736
"MID_8"	0.208379416404615	1.69385288956448	0.383799831280688
"MID_9"	0.64131524067946	0.572372123736201	0.76091126363612
"MID_10"	0.862197200940958	0.247083362134148	0.899452635549517
"MID_11"	0.510704674148713	0.802233015637502	0.684210666216892
"MID_12"	1.27858878192025e-06	28.1598110462338	7.20271680481739e-05
"MID_13"	0.0443266931260606	3.379849409946	0.162852416050092
"MID_14"	0.517221295089223	0.789605117834966	0.685557969145309
"MID_15"	0.022791501804795	4.1936973172491	0.105527775479736
"MID_16"	0.0216464993649268	4.25937450986156	0.105527775479736
"MID_17"	0.000334166099998378	11.1766300528454	0.00680266290399829
"MID_18"	0.311222606124912	1.29199264367542	0.489843732524231
"MID_19"	0.854214794183824	0.258451690798438	0.899452635549517
"MID_20"	0.138785268314183	2.1128135221807	0.310658415166847
"MID_21"	0.00279052054083338	7.22209693194506	0.0269484555086195
"MID_22"	0.000342145767360861	11.1267390082298	0.00680266290399829
"MID_23"	0.00195793329651079	7.81290872787212	0.0245104242303944
"MID_24"	6.92034566557887e-05	14.8575094390968	0.00259897426107295
"MID_25"	0.00305728182977017	7.07395426787262	0.0270110337638441
"MID_26"	0.00470060837958945	6.39761099522808	0.0357661253563972
"MID_27"	0.147063119060304	2.05221689832578	0.322774897677811
"MID_28"	0.000217452898276868	12.1109037640169	0.00552665479830442
"MID_29"	0.919103759277733	0.163907687348197	0.935714068180342
"MID_30"	0.113507324451522	2.32561586074968	0.287540368321196
"MID_31"	0.569552365886286	0.693095124703654	0.728563956250499
"MID_32"	0.310353499869688	1.29476541862012	0.489843732524231
"MID_33"	0.705763883600529	0.472416345515238	0.805878512209591
"MID_34"	0.0601596562451379	3.02591245377744	0.192991819476545
"MID_35"	0.154471255503283	2.00105328503376	0.325857117587382
"MID_36"	0.000743603443111188	9.56401970395901	0.011919141206935
"MID_37"	0.370707319963946	1.11903609838963	0.556884773990283
"MID_38"	0.214957277376533	1.66236119638486	0.383799831280688
"MID_39"	0.752299881819089	0.403750131954807	0.836438684390961
"MID_40"	0.00471018330092338	6.3944944967516	0.0357661253563972
"MID_41"	0.190836796429301	1.7833513687707	0.368587641103449
"MID_42"	0.0501672863687179	3.23498812940802	0.182328417125018
"MID_43"	0.738041667819944	0.424543059625579	0.826020144778613
"MID_44"	0.548393728885907	0.731127548776516	0.711832278283367
"MID_45"	0.54905069977131	0.729927446856171	0.711832278283367
"MID_46"	0.266261557724683	1.44722197248244	0.436875759761858
"MID_47"	0.00160940142652476	8.15090100787356	0.0213029507264678
"MID_48"	0.00266820458371938	7.29543094522909	0.0265250926263868
"MID_49"	0.0308793808535283	3.81451750863306	0.1274061685857
"MID_50"	0.0657552510613733	2.92501861982673	0.20388043321988
