,C2_B6.1_Tfh_007,C2_B6.2_Tfh_008,C2_B6.4_Tfh_009,C2_B6.6_Tfh_010,C2_B6.7_Tfh_011,C2_B6.8_Tfh_012,C2_B6.1_Tn_001,C2_B6.2_Tn_002,C2_B6.4_Tn_003,C2_B6.6_Tn_004,C2_B6.7_Tn_005,C2_B6.8_Tn_006,C1_B6.1_Tfh_004,C1_B6.1_Tn_001,C1_B6.2_Tfh_005,C1_B6.2_Tn_002,C1_B6.3_Tfh_006,C1_B6.3_Tn_003,C1_TC.1_Tfh_010,C1_TC.1_Tn_007,C1_TC.2_Tfh_011,C1_TC.2_Tn_008,C1_TC.2_Tn_009,C1_TC.3_Tfh_012,C2_TC.1_Tfh_018,C2_TC.2_Tfh_019,C2_TC.3_Tfh_020,C2_TC.4_Tfh_021,C2_TC.1_Tn_013,C2_TC.2_Tn_014,C2_TC.3_Tn_015,C2_TC.4_Tn_016,2wayAnova_pval
MID_1,6.97727992349992,5.24792751344359,6.4594316186373,8.51963625284321,5.643856189774719,6.1699250014423095,6.1699250014423095,5.5849625007211605,6.507794640198701,4.5849625007211605,4.807354922057599,5.7279204545632005,6.894817763307941,6.53915881110803,6.686500527183219,6.75488750216347,6.6724253419715,5.39231742277876,5.90689059560852,6.2479275134435905,5.49185309632967,6.189824558880019,6.442943495848731,6.08746284125034,5.12928301694497,5.7279204545632005,8.4262647547021,5.7279204545632005,5.78135971352466,4.0,5.5849625007211605,5.24792751344359,0.5688029830165544
MID_2,9.044394119358449,9.16490692667569,9.100662339005199,9.12928301694497,8.977279923499921,8.96000193206808,8.2667865406949,8.823367240046231,8.24792751344359,8.49585502688717,8.2807707701306,8.43462822763673,8.823367240046231,8.81378119121704,9.39231742277876,8.79116288855502,9.14720492494223,8.35314682549808,9.27146302790437,8.1548181090521,9.34429590791582,8.771489469500601,7.81378119121704,8.857980995127571,8.62935662007961,8.823367240046231,8.658211482751799,9.31288295528435,8.34429590791582,7.4093909361377,8.38370429247405,7.5235619560570095,0.1318189256476615
MID_3,12.6512759733466,13.198598511484999,12.424953571261,12.7338627196785,12.3888245380236,12.988862172783401,12.3108967487977,13.542185487502199,12.146250445885999,11.921469060531399,12.8678578639728,12.596888567028,11.079484783826802,11.3236177632916,11.561765263627699,11.0478055540076,11.4377520723236,11.9173720794768,12.3818132959883,10.501837184902302,12.3542493819452,10.2021238238305,11.059344460824402,11.782179193831197,12.298062567718999,12.058330026205699,12.532355925288801,12.951831086888198,12.6354914062517,12.2567983860794,11.8372337003391,11.7523806465529,0.14037707373612174
MID_4,8.64385618977473,5.39231742277876,6.4757334309664,8.4757334309664,6.554588851677639,8.581200581924959,9.18239435340453,9.216745858195312,9.882643049361839,9.136991112080231,8.96289600533726,9.257387842692651,7.8703647195834,7.554588851677639,8.05528243550119,8.67948009950545,7.707359132080881,8.6724253419715,6.339850002884621,7.34872815423108,8.8008998999203,8.62935662007961,7.400879436282179,8.18487534290828,8.16992500144231,8.14974711950468,7.93073733756289,6.5235619560570095,9.94104760634058,9.86263735755879,10.0430272835945,8.57742882803575,0.6491921872719428
MID_5,8.90086680798075,6.339850002884621,7.734709620225839,6.8328900141647395,8.05528243550119,7.53915881110803,9.31741261376487,8.44708322620965,8.573647187493322,7.23840473932508,7.01122725542325,7.07681559705083,7.7681843247769296,8.19967234483636,8.12412131182919,7.90086680798075,7.60733031374961,7.4178525148859,7.5235619560570095,6.97727992349992,7.66533591718518,7.27612440527424,7.5235619560570095,7.45121111183233,9.04712391211403,9.36850646150769,9.23122118071119,9.467605550083,7.03342300153745,6.643856189774719,9.03342300153745,7.97154355395077,0.033360647458716884
MID_6,6.8703647195834,6.894817763307941,6.4594316186373,6.643856189774719,6.339850002884621,7.23840473932508,7.59245703726808,8.08214904135387,5.643856189774719,6.90689059560852,6.8073549220576,7.266786540694901,7.4757334309664,6.10852445677817,6.95419631038687,6.8201789624151905,7.17990909001493,6.90689059560852,6.28540221886225,6.442943495848731,6.93073733756289,6.70043971814109,6.4757334309664,6.8201789624151905,6.614709844115209,6.75488750216347,7.1699250014423095,6.32192809488736,7.03342300153745,6.8328900141647395,6.32192809488736,6.4594316186373,0.7727060787916812
MID_7,14.4697054043009,15.3287099846159,14.303780748177099,14.887506231671699,14.3891607600394,14.4225904338926,13.6554189166658,15.248372354921301,14.0083410772396,14.0339391407264,14.6355480881117,14.5780778004003,13.905763049602802,13.1653781133461,13.4459201271752,13.147999842060198,13.1876613657391,13.0334230015375,12.891403996665002,12.742730476519199,13.800394382889,12.296055838078802,12.9509203520301,12.591989767615098,14.0136716140586,13.5573440304899,13.8900742361803,14.4567394246843,14.164985468475,13.798977992132,13.3927199043104,13.3749036291121,0.9365986835825183
MID_8,9.03617361255349,8.67948009950545,8.81698362325538,9.1548181090521,9.12928301694497,8.632995197142959,9.3264294871223,9.23122118071119,9.0389189892923,8.625708843064471,8.8008998999203,9.18239435340453,9.0,7.23840473932508,7.515699838284039,9.087462841250339,8.573647187493322,8.546894459887639,6.507794640198701,8.74146698640115,8.7176764230664,8.159871336778389,8.77478705960117,8.29001884693262,8.56224242422107,8.49185309632967,8.53138146051631,8.64745842645492,8.98299357469431,8.27612440527424,7.8328900141647395,8.4262647547021,0.7322038716594934
MID_9,7.74146698640115,6.65821148275179,6.643856189774719,7.400879436282179,7.01122725542325,7.45121111183233,7.8328900141647395,7.839203788096941,7.622051819456379,7.17990909001493,7.74146698640115,7.614709844115209,8.73470962022584,9.04712391211403,9.14974711950468,9.422064766172811,8.82654848729091,9.1548181090521,8.73470962022584,7.882643049361839,8.60733031374961,9.18982455888002,8.59245703726808,8.08214904135387,7.546894459887639,7.467605550082999,7.13955135239879,8.23840473932508,8.02790599656988,7.312882955284361,7.93073733756289,7.554588851677639,0.5592620128464404
MID_10,11.3208005488816,11.769424641552801,11.3404064908533,11.654188473059499,11.2276159434142,11.724087461794,11.4491486453754,11.917745013443199,11.286557761608,11.1273495410591,11.178042328864802,11.3128829552844,9.78953364497036,9.348728154231079,9.83605035505807,9.957102041562289,9.54882190845875,9.727920454563199,9.594324603924848,9.34429590791582,10.0633950812885,9.34207466799914,8.90388184573618,9.748192849589461,11.485829308701902,11.118292233027,11.6008421143873,11.720244258287599,11.244363835120499,10.981567281903,11.5220910688871,10.8494051009478,0.6099114646437147
