,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Cox7b,0.001155297,7.31e-06,0.35595652299999997,0.057658574000000004,-0.332956543,-0.455396366,0.0,0.0
Cox7c,6.809999999999999e-05,1.05e-05,0.326814767,0.22788857699999998,-0.49702717700000004,-0.556543495,0.0,0.0
Cox8a,5.58e-12,6.62e-10,0.840103743,0.504950308,-0.47024203700000006,-0.425838547,0.0,0.0
Cyc1,0.0007710530000000001,6.09e-07,1.17e-05,1.42e-07,-0.21657268600000001,-0.322742405,-0.246624175,-0.352793873
Lhpp,0.165132434,0.049253259,0.603070078,1.0,0.0,-0.521580642,0.0,0.0
mt-Co1,4.270000000000001e-05,0.720334977,0.272664439,0.02375716,-0.460908356,0.0,0.0,0.28033738
mt-Cytb,5.19e-08,0.316312628,0.593128036,0.000805035,-0.647175665,0.0,0.0,0.43062667600000004
mt-Nd1,2.1100000000000003e-17,0.010942361000000001,0.119264682,0.000166402,-0.803430485,-0.264889678,0.0,0.39004444299999996
mt-Nd2,2.7e-08,0.49976980000000004,0.043759572999999996,0.013907485,-0.652910736,0.0,-0.22833293699999999,0.321322396
mt-Nd4,3.95e-06,0.44893950899999996,0.8376722609999999,0.001518998,-0.63653286,0.0,0.0,0.47076358799999996
mt-Nd5,0.0027440959999999997,1.0,0.469395444,0.036475302,-0.27300211,0.0,0.0,0.205718948
mt-Nd6,2.28e-07,4.17e-06,0.754474655,0.494387972,-1.4617682840000001,-1.298255915,0.0,0.0
Ndufa1,9.17e-10,1.73e-06,0.8878034020000001,0.391460719,-0.6076088629999999,-0.48173292,0.0,0.0
Ndufa10,6.35e-13,1.87e-09,1.73e-45,9.050000000000001e-28,-0.390557596,-0.359489367,-0.686609337,-0.655541091
Ndufa11,2.0999999999999998e-09,4.52e-06,0.316188813,0.8413094659999999,-0.5372734579999999,-0.42121433799999997,0.0,0.0
Ndufa2,8.179999999999999e-11,6.809999999999999e-11,0.0026263040000000003,0.009725723,-0.543142045,-0.560103001,-0.231275302,-0.248236225
Ndufa3,0.005375378,0.00011071,0.18187699699999998,0.034560692999999996,-0.305157575,-0.418765459,0.0,-0.251363994
Ndufa4,1.65e-13,1.75e-08,0.22070554399999998,0.79200595,-0.6604313,-0.515908579,0.0,0.0
Ndufa5,0.000207906,5.96e-06,0.21807227,0.765687473,-0.38182795700000005,-0.4576894,0.0,0.0
Ndufa6,7.02e-10,7.54e-06,5.11e-17,2.3799999999999998e-08,-0.555113663,-0.427731174,-0.672295877,-0.544913344
Ndufa7,4.59e-06,5.49e-07,0.5489707220000001,0.378732975,-0.436997828,-0.482512835,0.0,0.0
Ndufa8,1.31e-21,3.71e-12,2.77e-06,0.13135605,-0.8135941879999999,-0.6175278439999999,-0.35770847899999997,0.0
Ndufa9,0.0036033790000000003,1.35e-08,2.65e-07,2.8199999999999997e-12,-0.19585545,-0.38379279,-0.296245918,-0.484183236
Ndufab1,0.670447861,0.43376803399999997,0.5489707220000001,0.861181523,0.0,0.0,0.0,0.0
Ndufb10,3.7299999999999997e-11,2.4199999999999997e-07,4.21e-07,0.0035773190000000002,-0.480119179,-0.392207584,-0.329003685,-0.241092064
Ndufb2,0.528997894,0.23585958,0.02780932,0.017062581,0.0,0.0,-0.308234358,-0.403423818
Ndufb3,7.15e-07,4.3200000000000007e-05,0.000128938,0.016047573,-0.464466424,-0.404496818,-0.32041933899999997,-0.260449695
Ndufb4,0.105704859,0.352687572,0.028482304,0.261235467,0.0,0.0,-0.41579978,0.0
Ndufb5,1.56e-05,0.00209277,0.00019889099999999998,0.047839064,-0.358088158,-0.26948912399999997,-0.27646864600000004,-0.18786958
Ndufb6,2.37e-08,6.78e-05,0.178342652,0.910398893,-0.665258072,-0.490489432,0.0,0.0
Ndufb7,0.330606609,0.005661898,0.061242224000000005,0.983054806,0.0,-0.23067331600000002,0.0,0.0
Ndufb8,3.4e-07,5.740000000000001e-12,5.17e-06,0.038591969,-0.41353932299999996,-0.530665155,0.30933364399999996,0.192207837
Ndufb9,4.33e-15,6.22e-11,0.135725416,0.016319497,-0.712546475,-0.59190025,0.0,0.250868059
Ndufc1,0.001110284,0.00475118,0.61653762,0.922151883,-0.426334272,-0.378774303,0.0,0.0
Ndufc2,1.37e-14,0.00016753400000000003,0.566211344,0.004190327,-0.707372934,-0.353869549,0.0,0.298422455
Ndufs1,0.5070855989999999,0.728698508,0.000128789,0.064029049,0.0,0.0,-0.21184999399999999,0.0
Ndufs2,2.88e-24,1.7299999999999998e-18,0.003741006,0.250012899,-0.454856982,-0.400123733,-0.120675694,0.0
Ndufs3,0.092636621,0.10181525300000001,0.336849767,0.46139137700000005,0.0,0.0,0.0,0.0
Ndufs4,1.22e-15,0.000245867,0.001066188,0.371897427,-0.663508297,-0.32067354,-0.246200842,0.0
Ndufs5,1.21e-26,4.65e-27,0.40790152799999996,0.326326888,-4.910550965,-4.085799495,0.0,0.0
Ndufs6,0.000680795,2.43e-06,0.08699678699999999,0.79200595,-0.360173521,-0.48665840899999996,0.0,0.0
Ndufs7,0.029492745,0.003146645,0.368415208,0.15142482300000001,-0.24859256,-0.331186507,0.0,0.0
Ndufs8,3.57e-10,1.21e-09,0.006454856,0.016090496,-0.578606304,-0.552804568,0.22627708300000002,0.252078853
Ndufv1,0.09382997400000001,0.061916117,0.261014019,0.276643228,0.0,0.0,0.0,0.0
Ndufv2,1.4500000000000002e-10,0.000437544,0.8398453990000001,0.026470845,-0.401497829,-0.227921832,0.0,0.159177607
Ndufv3,0.00011522399999999999,0.000775889,0.000174052,0.006621541,-0.34755977600000004,-0.315809817,-0.30111289,-0.269362893
Ppa1,1.1599999999999999e-13,1.18e-08,1.17e-10,0.000130269,-0.749667725,-0.622537928,-0.57544469,-0.44831484899999996
Ppa2,0.007440586999999999,0.18852702300000002,4.0899999999999996e-08,0.000998322,-0.256080555,0.0,-0.445416883,-0.337037517
Sdha,1.24e-31,2.37e-17,0.001628702,0.962513436,-0.414889976,-0.306595955,-0.10523876900000001,0.0
Sdhb,1.1699999999999999e-09,2.8900000000000004e-12,0.0014945720000000002,0.000386324,-0.394313956,-0.462562497,-0.188449115,-0.256697634
