,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Atox1,5.58e-10,1.9e-09,0.9612668320000001,0.8933340879999999,-0.7089151,-0.691821902,0.0,0.0
Casp6,9.769999999999999e-09,1.77e-06,1.4199999999999998e-12,4.79e-07,-0.45781249399999996,-0.422854292,-0.49650017700000004,-0.461541945
Akr1c18,0.057650584000000005,0.73637605,0.06679736,1.0,0.0,0.0,0.0,0.0
Trpm2,,,0.554990682,0.594246786,0.0,0.0,0.0,0.0
App,0.581340568,0.040454326,7.07e-25,9.76e-25,0.0,-0.443792147,-1.68667646,-1.995883621
G6pdx,1.71e-07,0.016800341,0.0032176320000000002,0.978985716,-0.366768361,-0.182429397,-0.188294624,0.0
Prkra,0.688256973,0.070512129,5.5899999999999995e-21,5.2299999999999996e-11,0.0,0.0,1.488723917,1.269684547
Tacr1,,,,,0.0,0.0,0.0,0.0
Mutyh,1.92e-07,0.001645639,2.78e-05,7.07e-08,0.58737394,0.40578005,-0.46550882,-0.647102646
Arl6ip5,9.120000000000002e-13,3.14e-18,1.3300000000000001e-13,4.53e-15,-0.359110961,-0.445946602,-0.333748106,-0.42058373
Msra,3.77e-05,9.99e-06,0.68995442,0.563353708,-0.463170344,-0.502104648,0.0,0.0
Ngfr,,,,,0.0,0.0,0.0,0.0
Hsph1,0.153050727,0.18996137899999999,0.922978938,0.8778345559999999,0.0,0.0,0.0,0.0
Myef2,1.6e-17,9.15e-12,3.3e-07,0.006431546999999999,0.6994582709999999,0.547453605,0.39161089,0.239606257
Mgat3,1.0,0.421856511,0.00060904,0.043907564,0.0,0.0,5.134205049,3.822195493
Acox2,,,,,0.0,0.0,0.0,0.0
Vrk2,0.052658725,0.31202658699999997,0.005543366,0.001395521,0.0,0.0,0.241286143,0.333502423
Mmp9,0.8835707759999999,0.9957752609999999,6.48e-11,1.51e-08,0.0,0.0,3.874882055,4.063093763
Lias,0.8387986590000001,0.760326242,0.980695962,0.92879844,0.0,0.0,0.0,0.0
Fancd2,0.970495722,0.87437722,1.18e-05,0.0008105710000000001,0.0,0.0,1.180615189,1.084045406
Hdac1,0.01463586,0.935505775,0.46072700200000005,0.090398045,-0.149679689,0.0,0.0,0.0
Sigmar1,5.2899999999999995e-12,6.84e-08,1.41e-26,3.99e-14,-0.517762094,-0.466326725,-0.7118456409999999,-0.660410244
Pdgfra,,,,,0.0,0.0,0.0,0.0
Mt3,1.0,0.370667023,0.000280927,0.032776482,0.0,0.0,5.182593526000001,3.85613248
Adipoq,0.7164762640000001,0.00159278,6.8599999999999994e-12,0.000474433,0.0,-1.421691694,4.434645121,2.54850003
Neil1,0.0077619740000000005,0.026247646,2.9699999999999997e-15,2.63e-10,0.32327560699999996,0.261721417,0.786218857,0.724664717
Chuk,7.69e-05,8.97e-05,0.011981223999999999,0.03655557,0.268846595,0.271490842,-0.159851501,-0.157207227
Prdx6,3.8799999999999994e-05,1.32e-05,8.289999999999998e-52,4.72e-40,-0.309738745,-0.34447056299999995,-0.99211344,-1.026845223
Cygb,,,,,0.0,0.0,0.0,0.0
Ercc2,2.72e-09,0.010249862,0.212096166,3.5499999999999996e-05,0.504083104,0.23769454,0.0,-0.374941869
Hyal1,0.132994461,0.468747466,0.00154655,0.062557285,0.0,0.0,0.964546958,0.0
Mapk9,0.7454115090000001,0.048215885,0.501124937,0.434686765,0.0,0.155245249,0.0,0.0
Fbxw7,0.354438852,0.7039015190000001,0.013478899999999999,0.637679177,0.0,0.0,-0.20316591,0.0
Fancc,0.00343026,0.002502622,0.00091843,0.004355562,0.26865317,0.266520796,0.265943473,0.263811132
Lonp1,8.02e-06,0.014885143,0.00034370099999999997,1.17e-06,0.220901399,0.13199882699999999,-0.163992274,-0.252894833
Reg3b,,,,,0.0,0.0,0.0,0.0
Fabp1,,,,,0.0,0.0,0.0,0.0
Prdx4,0.025351399,0.018170705,0.002467534,0.017115519,-0.39693043899999997,-0.40126174,0.43842477700000004,0.434093554
Keap1,0.173785715,0.00011741,9e-08,5.12e-12,0.0,-0.251850562,-0.29585605,-0.450614523
Dhfr,0.731904199,0.545377669,0.0015136289999999998,0.019846882,0.0,0.0,0.47463382200000004,0.433997685
Zfp622,0.07183932900000001,0.038238786000000004,6.45e-11,5.720000000000001e-09,0.0,-0.207013057,-0.515777306,-0.546232993
Jak2,0.162825249,0.979432863,9.239999999999999e-83,9.569999999999998e-74,0.0,0.0,1.111792525,1.217428555
Rps3,1.19e-10,1.6e-09,2.81e-65,6.11e-47,-0.557962327,-0.531448468,-1.305144152,-1.278630231
Stk24,0.0035396840000000004,0.203281181,3.47e-30,2.47e-16,-0.160694968,0.0,-0.5301694220000001,-0.450555517
Ezh2,0.869089577,0.936232581,1.53e-56,4.1299999999999996e-41,0.0,0.0,1.238934005,1.224364933
Ppargc1a,0.051417945,0.312442912,0.55588296,0.8397372340000001,0.0,0.0,0.0,0.0
Prr5l,0.254750572,0.6925383740000001,4.960000000000001e-25,1.15e-12,0.0,0.0,5.195545101,6.455549513999999
Tnf,0.18347526,0.5786452870000001,1.6699999999999997e-33,1.3000000000000002e-28,0.0,0.0,1.556236445,1.694149156
Oxsr1,0.145192197,0.804367417,0.485066879,0.07499266,0.0,0.0,0.0,0.0
Aptx,0.108446251,0.179471794,0.056238913,0.071022179,0.0,0.0,0.0,0.0
Psen1,1.1999999999999999e-11,5.28e-07,0.000132132,1.23e-06,-0.37062090700000005,-0.27463781800000003,0.18754210300000002,0.283525207
Fyn,0.000692992,0.7365689759999999,7.399999999999998e-188,3.279999999999999e-109,0.159868699,0.0,1.1467481959999999,1.0083231609999999
Hspb1,0.328333655,0.9468370740000001,4.5e-08,1.31e-05,0.0,0.0,6.229305788,4.409934445
Akt1,5.01e-06,1.3400000000000001e-08,0.045697104,0.539956572,-0.278842085,-0.34487183200000004,0.11482604699999999,0.0
Naprt,0.151429069,0.828211912,6.429999999999999e-80,1.61e-53,0.0,0.0,4.221132087,3.669943431
Adnp2,0.062384592999999995,0.107983193,0.00688039,0.013254742,0.0,0.0,-0.20487434699999998,-0.220939355
Prnp,0.636185083,0.013236308,2.5199999999999992e-185,2.4299999999999993e-117,0.0,-0.37085772899999997,4.794319496,4.57871208
Trex1,0.435362711,0.732976205,0.050002564000000006,0.760453307,0.0,0.0,0.0,0.0
Aifm1,0.00572156,0.0342324,0.7165439570000001,0.42833848399999996,-0.244505295,-0.19344589199999998,0.0,0.0
Pld2,0.000805402,0.12435772199999999,2.01e-119,5.899999999999999e-80,0.54464786,0.0,2.83082474,2.473308051
Coa8,,,,,0.0,0.0,0.0,0.0
Aqp1,0.261369886,0.023902062999999998,0.21859413600000002,1.0,0.0,-4.717142044,0.0,0.0
Pla2g3,0.443728155,0.19226301899999998,0.516572826,0.31566357899999997,0.0,0.0,0.0,0.0
Prdx2,1.77e-14,8.070000000000001e-17,4.91e-09,1.7899999999999998e-05,-0.655630615,-0.6988188320000001,0.441289537,0.398101349
Cln8,0.039099623,0.078274439,0.59216579,0.835090897,-0.241563368,0.0,0.0,0.0
Ndufa12,0.016812852,0.03102747,0.368917373,0.362092727,-0.294128932,-0.265121155,0.0,0.0
Il6,,,,0.244135441,0.0,0.0,0.0,0.0
Rnf112,,,,,0.0,0.0,0.0,0.0
Ankzf1,2.7600000000000004e-09,4.33e-05,0.189466635,0.7756935340000001,0.545290249,0.38626592299999996,0.0,0.0
Fbxo7,6.65e-05,0.08575235,0.506832931,0.244135441,0.318230848,0.0,0.0,0.0
Sfpq,0.000186007,0.000996739,0.357591814,0.271948389,0.492765666,0.444018653,0.0,0.0
Plekha1,1.29e-08,2.25e-15,7.780000000000001e-08,0.016674214,0.397705837,0.5576580320000001,-0.346152622,-0.18620039600000002
Tnfaip3,6.670000000000001e-05,2.6000000000000002e-05,0.015449134,0.02250827,1.519538088,1.614170191,0.858624123,0.953257177
Gpx5,,,,,0.0,0.0,0.0,0.0
Ppif,0.308160607,0.424924675,4.24e-09,2.88e-06,0.0,0.0,-0.335402393,-0.32415972
Vnn1,,,,,0.0,0.0,0.0,0.0
Hnrnpd,0.17535724600000002,0.795124932,0.032775851,0.00302113,0.0,0.0,-0.12520174,-0.198384227
Hmox1,6.0599999999999996e-05,0.052323824000000005,2.3399999999999996e-105,6.0099999999999985e-64,1.0991746,0.0,4.507504813,3.1474170210000003
Ercc3,0.016606492,0.25104731399999997,2.01e-07,0.0016660720000000002,-0.131616747,0.0,-0.23857398300000002,-0.179603083
