gene_name,B6-1-Tn,B6-2-Tn,B6-3-Tn,B6-4-Tn,TC1-Tn,TC2-Tn,TC4-Tn
Tnk1,0,0,0,0,0,0,0
Tnk2,2179,1951,1924,2416,3086,2769,2997
Tnk2os,0,0,0,0,0,0,1
Tnks,1330,1091,931,1173,1871,1606,1892
Tnks1bp1,826,772,728,721,814,799,827
Tnks2,8038,7257,6808,7658,7047,6102,6832
Tnn,0,0,0,0,1,3,2
Tnnc1,1,1,0,1,2,2,0
Tnnc2,0,0,0,1,0,0,0
Tnni1,6,2,1,2,2,2,3
Tnni2,0,1,0,0,0,0,0
Tnni3,7,9,7,5,3,6,6
Tnni3k,0,1,0,0,0,0,0
Tnnt1,73,53,57,58,46,48,59
Tnnt2,5,7,3,6,11,21,17
Tnnt3,34,34,36,26,50,45,67
Tnp2,0,1,0,1,0,0,2
Tnpo1,5119,4315,4262,4565,4301,3657,4500
Tnpo2,2873,2622,2492,2746,2981,2665,2964
Tnpo3,2775,2343,2373,2556,2633,2387,2539
Tnr,1,0,0,0,1,0,1
Tnrc18,2477,2283,2300,2517,3170,2732,2939
Tnrc6a,5620,5050,5199,5940,7412,6564,7447
Tnrc6b,6624,5445,4971,5713,7170,6770,8522
Tnrc6c,4676,3813,3728,4084,4900,4625,5166
Tns1,324,260,219,215,176,184,181
Tns2,2,0,0,2,1,0,0
Tns3,1,2,3,7,2,3,1
Tns4,10,10,6,13,4,1,5
Tnxa,0,0,0,0,0,0,0
Tnxb,0,0,0,0,0,1,0
Tob1,700,576,662,669,984,1025,717
Tob2,2323,1736,2009,2039,2282,2040,1850
Toe1,642,633,659,647,584,479,604
Tollip,1646,1307,1378,1394,1298,1124,1294
Tom1,81,79,71,77,122,89,114
Tom1l1,0,0,0,0,0,0,0
Tom1l2,874,742,764,875,1021,989,1060
Tomm20,1113,1023,1027,897,710,561,608
Tomm22,1870,1740,1743,1716,1265,988,1125
Tomm34,1949,1994,1956,2116,2569,2287,2373
Tomm40,846,820,835,865,769,716,823
Tomm40l,651,607,640,606,560,401,523
Tomm5,281,250,283,247,163,143,164
Tomm6,4,3,3,4,4,5,4
Tomm6os,8,9,8,14,7,4,9
Tomm7,1150,1156,1296,1012,906,670,827
Tomm70a,2774,2511,2310,2471,2019,1620,1969
Tomt,0,0,2,0,0,0,0
Tonsl,3331,2748,2807,2742,2617,2188,2390
Top1,2797,2704,2435,2880,2363,2035,2474
Top1mt,220,197,196,172,210,172,227
Top2a,218,186,180,171,114,108,173
Top2b,9680,8273,7747,8188,7454,6746,7858
Top3a,645,559,563,606,677,613,672
Top3b,1608,1412,1319,1422,2025,1711,2030
Topbp1,2739,2114,1978,2134,2200,1953,2250
Topors,1157,1072,1067,1140,1337,1191,1307
Toporsl,0,0,0,0,0,0,0
Toporsos,176,153,190,169,126,117,136
Tor1a,792,709,730,680,711,597,627
Tor1aip1,2718,2336,2228,2337,2423,2044,2302
Tor1aip2,2316,1955,2063,2270,2232,2045,2265
Tor1b,1472,1385,1331,1528,1921,1722,1911
Tor2a,993,864,894,888,851,665,768
Tor3a,429,369,347,343,325,226,291
Tor4a,2867,2589,2381,2574,1949,1495,1902
Tox,1952,1622,1550,1667,1142,1001,1379
Tox2,9,23,14,14,15,11,15
Tox3,2,2,0,0,0,2,4
Tox4,2576,2390,2324,2362,2273,1795,2144
Tpbg,0,0,0,0,0,0,0
Tpcn1,2478,2246,2169,2445,2648,2390,2624
Tpcn2,322,268,264,330,410,374,444
Tpd52,511,437,448,513,469,378,363
Tpd52-ps,1,1,1,0,1,0,0
Tpd52l1,0,0,0,0,0,0,0
Tpd52l2,964,817,842,791,739,622,736
Tpgs1,337,316,321,311,313,227,274
Tpgs2,515,428,450,490,483,389,409
Tph1,0,1,0,0,0,1,0
Tpi-rs2,0,0,0,0,0,0,0
Tpi-rs8,0,0,0,0,0,0,0
Tpi1,729,658,664,613,493,393,416
Tpk1,154,136,116,106,130,149,89
Tpm1,773,726,705,756,935,935,928
Tpm2,2,0,0,0,0,0,0
Tpm3,9733,8033,8189,8358,7507,6600,7316
Tpm3-rs7,47,53,40,45,37,33,28
Tpm4,4213,3880,4094,4381,3296,3046,3206
Tpmt,22,21,15,10,18,21,21
Tpo,0,0,0,0,0,0,0
Tpp1,1907,1578,1528,1621,1593,1343,1728
Tpp2,3436,3146,3101,3363,3475,3066,3346
Tppp,11,16,13,24,9,3,5
Tppp2,2,0,1,0,0,1,0
Tppp3,5,7,4,9,12,14,10
Tpr,10869,9579,9161,9628,11246,9574,10679
Tpra1,1060,1073,1132,1178,1383,1206,1352
Tprg,0,1,0,0,0,0,0
Tprgl,4153,3569,3563,3612,2993,2560,2911
Tprkb,593,534,570,563,492,466,530
Tprn,333,274,323,281,372,297,291
Tpst1,128,79,92,92,114,82,90
