MID,C2_B6-1_Tfh_007,C2_B6-2_Tfh_008,C2_B6-4_Tfh_009,C2_B6-6_Tfh_010,C2_B6-7_Tfh_011,C2_B6-8_Tfh_012,C2_B6-1_Tn_001,C2_B6-2_Tn_002,C2_B6-4_Tn_003,C2_B6-6_Tn_004,C2_B6-7_Tn_005,C2_B6-8_Tn_006,C1_B6-1_Tfh_004,C1_B6-1_Tn_001,C1_B6-2_Tfh_005,C1_B6-2_Tn_002,C1_B6-3_Tfh_006,C1_B6-3_Tn_003,C1_TC-1_Tfh_010,C1_TC-1_Tn_007,C1_TC-2_Tfh_011,C1_TC-2_Tn_008,C1_TC-2_Tn_009,C1_TC-3_Tfh_012,C2_TC-1_Tfh_018,C2_TC-2_Tfh_019,C2_TC-3_Tfh_020,C2_TC-4_Tfh_021,C2_TC-1_Tn_013,C2_TC-2_Tn_014,C2_TC-3_Tn_015,C2_TC-4_Tn_016
MID_85,5649,4943,6813,16395,11184,17618,6284,8104,7230,13376,16171,14583,2461,5164,5077,6461,3739,4783,5959,5607,3101,6727,6256,5488,6647,7481,22079,6035,13797,8918,15233,24391
MID_86,33196,14462,26176,27019,24550,31964,34467,42133,38310,28410,29571,32265,26420,90566,53210,104861,53620,71705,53125,45358,77105,75859,51025,63760,42022,42031,33538,58005,51654,36540,60800,47655
MID_87,3320,3685,3723,3698,4047,3695,4057,6271,3650,4167,4147,3868,23488,9058,10341,9675,7725,16301,7504,9912,5586,7684,11895,9107,3352,3545,2966,3712,3914,3464,3500,4046
MID_88,1096,650,952,1168,970,1008,1616,1011,981,837,902,933,7090,3603,3273,2894,1948,4982,1865,1781,857,2523,4006,2913,833,653,649,2073,955,571,735,687
MID_89,555,304,316,421,304,282,439,539,411,161,233,284,509,679,556,699,642,142,659,319,900,412,295,527,414,431,439,288,472,258,164,211
MID_90,11896,5067,8231,7465,7145,9285,3215,3903,3783,1828,2828,1995,1586,6123,4629,10299,3433,10300,40731,3433,57647,4213,5337,30752,19581,24284,17223,19489,7741,6732,10536,4840
MID_91,155,85,111,195,99,116,88,111,88,98,182,66,185,82,127,147,56,107,79,85,62,107,112,49,106,88,577,157,167,119,121,73
MID_92,1379,756,1243,1241,1190,1266,2403,1818,1352,948,1036,1290,2848,3108,3980,2287,3090,3273,2015,1787,834,2583,1020,1743,1354,1206,1321,2063,1637,972,1404,1565
MID_93,4295,3867,3064,3877,3038,2525,2341,3896,2224,2334,2563,2667,1167,1045,2007,1043,1996,1324,1208,1230,859,1086,1156,1360,2292,1902,2383,3103,2510,1868,1440,1706
MID_94,238,168,201,193,252,222,300,507,298,209,175,241,312,391,353,587,238,440,297,226,363,337,292,293,464,291,273,324,366,360,469,295
