mouseSymbol
Fau
Gm2000
Rpl35
Gm3550
Rpl29
Gm6525
Mrpl13
Rpl10a
Rpl11
Rpl12
Rpl13
Rpl13a
Rpl15
Rpl18
Rpl18a
Rpl19
Rpl22
Rpl22l1
Rpl23
Rpl23a
Rpl24
Rpl26
Rpl27
Rpl28
Rpl3
Rpl30
Rpl32
Rpl35a
Rpl36
Rpl37
Rpl37a
Rpl38
Rpl39
Rpl4
Rpl41
Rpl7
Rplp1
Rplp2
Rps10
Rps11
Rps12
Rps13
Rps15a
Rps16
Rps17
Rps18
Rps19
Rps2
Rps21
Rps23
Rps26
Rps27
Rps27l
Rps28
Rps3
Rps3a1
Rps4x
Rps5
Rps6
Rps7
Rps8
Rps9
Rsl24d1
Uba52
