mouseSymbol
Acly
Aco1
Aco2
Cs
Csl
Dlat
Dld
Dlst
Fh1
Idh1
Idh2
Idh3a
Idh3b
Idh3g
Mdh1
Mdh2
Ogdh
Ogdhl
Pck2
Pcx
Pdha1
Pdhb
Sdha
Sdhb
Sdhc
Sdhd
Sucla2
Suclg1
Suclg2
