mouseSymbol
Aldh2
Aqp1
Atox1
Cdkn2a
Glrx
Gpx1
Gpx4
Gstp1
Ndufa12
Ndufa6
Ndufs2
Ndufs8
Nnt
Prdx1
Prdx2
Prdx3
Prdx4
Prdx5
Prdx6
Rhob
Romo1
Sirpa
Sirt1
Sirt3
Sod1
Srxn1
Tlr4
Tnfaip3
Txn1
Txnip
Ucp2
Cat
Ftl1
Gclm
Glrx
Gpx1
Gpx4
Hmox1
Hmox2
Hp
Prdx1
Prdx2
Prdx3
Prdx4
Prdx6
Sod1
Sod2
Txn1
Txn2
Txnip
Txnrd2
Xdh
