mouseIDwtSS,mouseSymbol,B6.1.Tfh,B6.2.Tfh,B6.3.Tfh,B6.4.Tfh,TC1.Tfh,TC2.Tfh,TC4.Tfh,padj,log2FoldChange
Atox1*****,Atox1,8.90433471703909,9.08875554903882,8.92331631681191,8.84234419870234,8.60713269904384,8.54567150602562,8.39154578761613,1.61472129454391e-06,-0.6794938186554411
Cat*,Cat,10.3840384331565,10.563705915541401,10.421238877077801,10.5216711458968,10.2398964055375,10.4077060461758,10.2076824603584,0.0258106557868868,-0.24544960608237
Cdo1*,Cdo1,4.8891933906035,4.908779946786139,4.93740650307541,4.95777700271965,5.019998565497151,5.10929347537853,5.01277379711896,0.0328664852134226,0.819726792211697
Dusp1*****,Dusp1,10.2710633801334,10.3283794294249,10.447059312219,10.181417578454901,13.4021109158256,13.443595924205699,12.6361550988081,5.847063928975509e-46,3.53401110722664
Got1*,Got1,8.84763800321755,9.02380375671817,8.92971814426385,9.06225067824901,9.2583806617862,9.256691536078721,9.04845851165112,0.0169880967491215,0.33437743017867
Gpx1*****,Gpx1,10.56973639428,10.8595852476452,10.573668038707401,10.7388786630265,10.229631543255499,10.0973945426877,10.1187688980343,5.23684124407986e-10,-0.708360577158319
Gpx4*****,Gpx4,10.3560079167683,10.4986555161207,10.392367672197802,10.315108900192401,10.1177476179654,9.965011416655368,10.0332122767147,8.23046772072933e-07,-0.467359202876991
Mpo-,Mpo,4.64416437035553,4.80170575729397,4.18702482239828,4.15040097679101,4.1848118826676295,4.182351268527349,4.15235714327087,0.0715303647044838,-4.46441077600115
Nudt1-,Nudt1,7.556712984215441,7.56720374080603,7.38604151748105,7.44863332589205,7.332850392762981,7.271943087879361,7.38644229451607,0.0656718782902885,-0.35643719327378703
Pdlim1,Pdlim1,7.54848254348326,8.10017247843858,7.62814057456525,7.870755305810761,7.62658496058722,7.81664735785452,7.5898906012414,0.45470489809881603,-0.250301432162802
Prdx6***,Prdx6,10.612096671823801,10.845524443903699,10.613850482269,10.660537886822599,10.4132371141986,10.460919168658801,10.4158135817855,0.000905543943268603,-0.333062180597446
Sod1*****,Sod1,11.30428254451,11.5900974312744,11.4110218809256,11.3897153749094,11.042898200097301,11.0131445408547,11.022667509762401,1.14225100575161e-07,-0.503749835450954
