"X","B6_Tn.1","B6_Tn.2","B6_Tn.3","B6_Tfh.1","B6_Tfh.2","B6_Tfh.3","TC_Tn.1","TC_Tn.2","TC_Tn.3","TC_Tfh.1","TC_Tfh.2","TC_Tfh.3","X2wayAnova_pval"
"MID_4",9.2667865406949,9.68299458368168,9.21674585819531,9.79928162152192,9.07681559705083,9.10328780841202,9.24555270625568,8.68999797141945,9.39446269461032,8.90989308377004,9.17741953798924,8.84549005094438,0.853100678461282
"MID_5",8.62205181945638,9.17990909001493,9.05799172275918,8.61470984411521,8.9915218460757,8.81378119121704,7.19967234483636,9.10852445677817,8.30833903013941,8.51175265376738,8.47167521439204,8.40087943628218,0.514157889705966
"MID_6",9.35314682549808,9.73809225962049,9.69870466677034,9.01959072835788,8.33539035469392,8.25738784269265,8.37503943134693,8.44708322620965,8.45121111183233,9.58871463558226,9.1873520732005,8.86727873970966,0.00065444546251742
"MID_7",9.53332973230583,9.30606168942834,9.49185309632967,8.92184093707449,8.8008998999203,10.3880172853451,8.87344411251538,8.91288933622996,8.68299458368168,9.45738087907253,10.1522848423066,9.8811139606751,0.0886452797093212
"MID_8",8.61102479730735,8.85798099512757,6.39231742277876,12.4130989849153,8.94836723158468,8.80413102118332,7.65821148275179,9.62021982550749,8.10852445677817,8.61102479730735,7.68650052718322,8.4093909361377,0.174223799141665
"MID_9",11.3043513216632,11.4372319010395,11.2836671674915,11.7573900093666,11.0161118382205,11.1817734388088,10.6465587101545,10.3815429511846,11.0814834380937,10.4614794472862,10.6635581042173,10.5206186805563,0.685904440446448
"MID_10",12.2708792953288,12.0247933847025,12.1573469353628,13.6344707517763,13.4109812670438,13.2585660338899,12.6917435191713,12.2822196956726,12.586370695114,11.9971794809376,13.0033422200861,12.2673719312653,0.00425287636729664
"MID_11",9.98013957763916,9.79279029430106,10.3151495622563,9.6582114827518,8.88874324889826,8.96578428466209,8.00562454919388,8.56985560833095,9.08746284125034,10.8392037880969,10.2057932493972,10.0579917227592,0.000591423943589374
"MID_12",11.8509681509824,11.5910547740368,12.272921326867,12.8313072438021,12.6958807502576,11.3842441222431,10.9031286768123,11.6298119443822,11.9650627567446,10.1686721181322,10.2179576978641,11.6452080827747,0.149121141435715
"MID_13",8.90086680798075,8.96578428466209,9.58308276750293,9.99435343685886,10.0498485494506,9.68825030913318,9.16741814583174,9.25738784269265,9.03617361255349,9.8008998999203,9.78953364497036,9.58120058192496,0.48895424544519
"MID_14",10.1318569606088,11.2957689344205,10.0927571409199,10.6293566200796,10.9476369379518,10.567005370247,10.2585660338899,10.0901124196643,10.3750394313469,12.2097579565814,11.3420746679991,11.2749604721406,0.055068535354466
"MID_15",10.967226258836,10.8780509127285,11.6068678373742,10.4998458870832,10.0927571409199,10.5877775163282,9.75321674917896,10.3060616894283,9.80251636512122,12.0508689632907,11.6653359171852,10.5372184005386,0.00413218258716333
"MID_16",13.4286218860911,13.2541428468557,13.654636028528,14.0713785604573,13.141787841671,13.1191032370626,12.0285967770671,11.5887146355823,13.6051322293842,12.5092801680879,12.262388523751,13.4622466342444,0.678386025231795
"MID_17",16.315025699192,16.3585825256559,16.3488491574158,13.6740818986363,14.5179153929159,14.9468149154948,15.7134402175945,16.5573589899213,15.7681326217633,15.3185781140633,16.3599382566651,15.7356617894657,0.0131998147676649
"MID_18",19.0343556809282,18.8108383249218,19.2109091101624,19.2911054822462,19.3366307714265,19.1381342807465,19.5769197704373,19.1876565335531,19.1748549929239,18.7460254760467,18.6769108991513,19.0405439128347,0.0098390809108213
"MID_19",15.3107192758865,15.4284583207881,13.7795141791435,14.3946636503911,15.3199543106869,15.054180332581,14.942285400665,15.1881638247353,15.0021117764799,15.8143070779251,15.2149261879424,15.2910987354839,0.633911233400582
"MID_20",13.1510165388922,13.1267044728432,13.6293566200796,14.2337694504469,13.175237650291,12.8849336479498,12.1538686552232,12.602698865018,13.1551344548578,12.3556263936379,11.5868397879618,12.8193807908646,0.44565083316332
