"","C2_B6.1_Tfh_007","C2_B6.2_Tfh_008","C2_B6.4_Tfh_009","C2_B6.6_Tfh_010","C2_B6.7_Tfh_011","C2_B6.8_Tfh_012","C2_B6.1_Tn_001","C2_B6.2_Tn_002","C2_B6.4_Tn_003","C2_B6.6_Tn_004","C2_B6.7_Tn_005","C2_B6.8_Tn_006","C1_B6.1_Tfh_004","C1_B6.1_Tn_001","C1_B6.2_Tfh_005","C1_B6.2_Tn_002","C1_B6.3_Tfh_006","C1_B6.3_Tn_003","C1_TC.1_Tfh_010","C1_TC.1_Tn_007","C1_TC.2_Tfh_011","C1_TC.2_Tn_008","C1_TC.2_Tn_009","C1_TC.3_Tfh_012","C2_TC.1_Tfh_018","C2_TC.2_Tfh_019","C2_TC.3_Tfh_020","C2_TC.4_Tfh_021","C2_TC.1_Tn_013","C2_TC.2_Tn_014","C2_TC.3_Tn_015","C2_TC.4_Tn_016"
"MID_1",0.998106888224993,-0.846774338753878,0.445663898289379,2.64349982304317,-0.424395777890101,0.136816887094132,0.136816887094132,-0.48722384040103,0.497257795542337,-1.5540285103172,-1.31677923668152,-0.334715627640682,0.910135870640814,0.530717239536459,0.687902070318934,0.760857614589304,0.672886597005135,-0.692738509186346,-0.14378944539798,0.220030331162289,-0.586553387818984,0.158045827897946,0.428074291900381,0.0488458695099633,-0.973344841678457,-0.334715627640682,2.54389067278917,-0.334715627640682,-0.277706376623737,-2.17806923781237,-0.48722384040103,-0.846774338753878
"MID_2",0.736957669721641,0.976281516472992,0.848699542436143,0.905536744171444,0.603677001201443,0.569365001791125,-0.807276848845955,0.298025043638163,-0.844728594002724,-0.352374564968935,-0.779505862036271,-0.473963576519511,0.298025043638163,0.278988311094801,1.42789123273951,0.234071100048415,0.941127483931883,-0.63577577750146,1.18788903445027,-1.02963259984038,1.33252631742746,0.195002071356211,-1.7068906347118,0.366763771089503,-0.0872565618164311,0.298025043638163,-0.0299542975515872,1.27014399617101,-0.653352628379139,-2.50996072816322,-0.575092347196699,-2.2832309034842
"MID_3",0.735420836731023,1.44715991202778,0.441110834940793,0.84281676942176,0.394128584227685,1.17441845272055,0.292791166564945,1.89396094716559,0.078684859552659,-0.213621201696644,1.01706426235099,0.664695369417632,-1.30853885766316,-0.991067953496265,-0.681380575647794,-1.34973457712745,-0.842647521466608,-0.218948922198028,0.385011154238671,-2.05971268891868,0.349166997775971,-2.44946040730952,-1.33472936485233,-0.394753959833385,0.276101577635874,-0.0356469902114667,0.580777022268732,1.12626317133578,0.714894561262275,0.222441571996529,-0.323160994401831,-0.43350403681209
"MID_4",0.340583821719068,-2.51757604929074,-1.56523428740167,0.192800954263555,-1.49591898309832,0.285508438375142,0.813968357040498,0.84416393505371,1.42949929975203,0.774058107873523,0.621025441345718,0.879888955572477,-0.339328810142834,-0.616901362265709,-0.176782879446977,0.371897866095321,-0.482613593851722,0.365696609912278,-1.6846782150647,-0.797856542758126,0.478628010177952,0.327838444462567,-0.752014646886198,-0.0628684303012173,-0.0760100438872685,-0.0937467576615261,-0.286260215123067,-1.52319217106859,1.48083793447327,1.4119139441402,1.57047986774628,0.282193000245082
"MID_5",1.18033219972547,-1.79339760513299,-0.173753560069666,-1.22090320618413,0.198480207984782,-0.400817774674064,1.66400519838918,0.653420482714108,0.800380480454566,-0.750038968933243,-1.01382656045835,-0.937668525899159,-0.134884339674733,0.366138841093473,0.278412607437293,0.0191801920771465,-0.32166029751739,-0.541672824072772,-0.418928094229555,-1.05324457307543,-0.254306974633326,-0.706240703088552,-0.418928094229555,-0.502938422256094,1.35015892982265,1.72333292227424,1.56392384285682,1.83840202792958,-0.988053925296592,-1.44040021088804,1.33425009000005,0.101246637554286
"MID_6",0.166068984462142,0.218142960078706,-0.70903353936935,-0.316292221409507,-0.963688551360569,0.949828553612012,1.70380057189169,2.74662410615788,-2.44584207226534,0.243852658303813,0.0318864795386179,1.01026901448613,1.45523183350059,-1.4563078335707,0.344592536154676,0.0591959127694916,0.825259152347867,0.243852658303813,-1.07963782170484,-0.744145818794642,0.29463548407614,-0.195794777016007,-0.674318017355234,0.0591959127694916,-0.378360817461708,-0.0798455066717172,0.803997538017113,-1.00185414786319,0.513309724478196,0.0862647311269682,-1.00185414786319,-0.70903353936935
"MID_7",0.876478767814707,2.00970373360942,0.657585915472244,1.42765432514719,0.770221823637864,0.814323266024734,-0.197752730181491,1.90371988934481,0.267832916868002,0.301602660690093,1.09526347978898,1.01944692849413,0.132508863278703,-0.844229460697107,-0.474129904407338,-0.867155404673229,-0.81483271647766,-1.01830865712107,-1.20566444733096,-1.40179907646183,-0.00649668624792924,-1.99106584344737,-1.12714866136378,-1.60066080386855,0.274865123148165,-0.3271361026092,0.111811703494582,0.859373653192237,0.474482961544802,-0.00836523200884196,-0.544313256298343,-0.567817028355971
"MID_8",0.753172635219438,0.164238547269372,0.391269624054552,0.949065708066806,0.906904901574069,0.0874876600935412,1.23241201723284,1.07521426888481,0.757705506961158,0.0754572134026878,0.364713904405366,0.994596646316863,0.693446644312001,-2.21511059105049,-1.75727065221083,0.837855910971004,-0.0105014107925214,-0.0546726464788432,-3.42141565866789,0.266584649352439,0.227304221739275,-0.693683734951412,0.321599182004847,-0.478798119183766,-0.0293317332131148,-0.145551045050043,-0.080286047905896,0.111367793743474,0.665367458091005,-0.501739131639328,-1.23356023947377,-0.253843483077612
"MID_9",-0.313222780896909,-1.73199194974477,-1.75079346703874,-0.759299550204175,-1.26963759964364,-0.693378787054172,-0.19348355716185,-0.185214235876242,-0.469624069958719,-1.04871041722257,-0.313222780896909,-0.479240054569368,0.987654086387264,1.3968315738269,1.53123997716631,1.88790179879967,1.10793794615523,1.53788158997251,0.987654086387264,-0.128320655005855,0.820821947368477,1.58373048855586,0.801342013003355,0.132977763959136,-0.568059706065727,-0.671906545784895,-1.10156804283475,0.337630097588189,0.0619341742384313,-0.874550932529231,-0.0653302588643539,-0.557982152055697
"MID_10",0.647259378376471,1.130454294106,0.668376147702004,1.00633806487593,0.546893998269456,1.08162344638552,0.785497936408664,1.29020418442026,0.610377853328421,0.438901100366882,0.493500257505378,0.638731657655542,-1.00200644279086,-1.47678025772947,-0.951905170527443,-0.82152528140679,-1.26126734549071,-1.06836752511559,-1.21225822747768,-1.48155405146855,-0.707041335465921,-1.48394645939289,-1.95590627449319,-1.04653294608524,0.825005199425726,0.429145839196558,0.948880853584371,1.07748408689783,0.564932476928702,0.281884908908302,0.864061278765035,0.139538354337318
