compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
D-Glucosamine 6-phosphate,5908339.587,6216653.991,5075038.047,2896822.047,6581971.923,5283510.975,6768504.942,4975453.29,5264520.648,5248279.074,4356905.337,2593209.978,2636616.201,2249426.874,2408722.29
6-Phosphogluconic acid,8569000.581,8188476.207,4399597.224,9652230.078,2013969.462,9764267.013,3601338.084,2344511.703,1989661.242,2959287.411,3162605.628,938753.457,725046.918,955754.739,743440.434
4-hydroxybenzoate/Gentisate aldehyde,2989412.355,2190085.725,3151065.45,2469064.374,2241099.723,1962815.934,7395918.528,2106462.843,2424075.108,1998548.019,2223839.46,1977548.574,1743820.56,2345006.433,1711245.003
3-hydroxyanthranilate,482282.277,539749.527,584186.022,313624.914,427611.699,454689.813,534009.06,352515.504,415622.487,389387.271,299928.807,802522.236,857517.663,735425.556,780768.3
quinolinate,632411.763,577468.896,496161.294,554543.13,584925.909,685526.349,437586.255,639857.925,584013.588,517666.773,585390.144,528661.293,541067.265,566659.632,486892.653
2-acetamido-5-oxopentanoate,1440231.537,1204499.223,1433343.618,1014384.045,1828163.058,2185831.806,1049382.594,1258914.456,655045.98,442929.555,703338.267,79966.737,50473.215,61940.526,58705.5
N-acetyl-L-glutamate,19938203.07,19344449.18,21296105.91,18104121.96,20991640.63,22647277.14,18312369.76,19175163.65,13895369.33,11742471.5,14993926.52,9009154.98,8649777.459,8650511.742,8192098.593
L-cystathionine,741829.398,812380.209,696647.583,701105.508,206842.218,286945.938,172183.506,171421.608,154581.957,123817.092,159929.676,209733.33,201162.891,217676.706,207920.409
N1-(5-Phospho-D-ribosyl)glycinamide,748224.885,784146.018,758243.448,284056.611,407299.743,302236.422,450811.818,333218.166,325436.85,332104.02,340791.234,226187.304,312238.593,264426.342,279791.073
Sedoheptulose 7-phosphate,29387472.21,31513679.44,28657625.14,26831191.61,28997900.45,32467472.27,34030885.54,14105477.76,17460075.23,18073517.82,15816270.72,7962506.379,9078513.723,8070181.869,8518206.057
"sedoheptulose 1,7-bisphosphate",3558485.205,3311563.53,1437598.674,3963704.604,3747130.557,4002736.812,1787696.34,1057006.395,660238.668,1282097.181,1838843.277,846891.291,393697.374,1279659.21,917996.802
4-pyridoxate,604802.823,947935.86,524754.447,848938.272,517585.539,818345.607,339542.364,712045.779,65541.06,212451.612,293470.488,127305.126,54072.537,21830.202,61130.967
fructoseglycine,54069153.77,50403353.09,51614934.26,41840189.2,42569528.51,55172804.47,33205642.69,22449370.88,7657437.774,6325366.047,12805299.27,273378.585,352615.134,299821.998,257141.115
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,3533810.499,3813956.121,4118657.892,4679291.4,2324154.528,2342139.282,1571313.534,332039.073,466216.425,553315.872,582409.626,1346070.435,1398727.248,1507331.175,1668692.37
nonanoate,44556266.72,49215144.35,48056306.41,43711552.58,49890195.22,44125957.49,48939869.48,45506855.96,50729732.55,45152795.34,44936758.21,49116717.78,44705487.35,42964478.31,46778847.77
(4-hydroxy-3-methoxyphenyl)acetaldehyde,553760.505,488347.593,442430.919,452050.689,278916.987,373480.734,307513.098,270127.413,219847.452,151703.97,223050.261,196646.16,160016.946,162252.048,155116.992
4-hydroperoxy-2-nonenal,5722872.954,5494352.556,6428348.925,4180731.138,5743718.658,5852789.091,8284549.758,4506778.617,17047188.68,11004914.05,7842876.264,8151971.34,9278538.582,6797730.279,6775772.97
Azelaic acid,1968826.137,1609848.531,1915303.779,1319191.992,1318458.711,1472682.837,1384708.377,1604608.104,2173365.183,1424760.864,1387201.56,1630317.3,1500429.726,1571990.073,1241607.159
(R)-Pantothenate,155006636.4,157145563.2,133211212.2,133623369.6,81380965.58,105594553.1,67755780.87,91763838.59,68960819.87,65912497.85,68504937.46,99337492.34,88866383.11,88574776.56,97717645.61
carnosine,6097511.844,6502850.805,5787515.52,6677508.039,5817747.951,8150349.645,5679135.171,4821907.044,3084552.774,2380541.97,3645362.016,1479215.544,1629613.599,1481438.382,1592924.718
gama-L-glutamyl-L-alpha-aminobutyrate,697246.77,537985.206,771494.937,587787.999,1005900.672,904040.031,1347713.919,321240.828,329675.028,156634.506,175595.751,421721.766,491840.262,359423.7,336237.24
Galactosylglycerol,304230.339,519262.482,600213.9,359376.384,549245.868,772087.149,747641.676,390807.663,1173035.403,548428.452,632311.575,538198.608,663590.097,752741.841,504709.8
S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,703287.999,752839.116,839094.906,577691.553,572004.783,514901.928,746659.227,979469.142,935106.558,866804.307,783399.03,1533331.269,1583432.802,1223150.904,1610996.628
N-acetyl-seryl-aspartate,2582497.353,2415403.308,2402421.117,2491455.039,3270551.922,3175647.678,2191576.353,1261842.435,976717.869,979921.086,1212935.538,1270962.621,1223563.896,1409105.775,1467301.407
3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid,4182379.68,4307903.295,4647028.083,4487870.469,7963041.651,8189629.482,7473432.063,4732029.732,6037386.102,5592897.198,6103605.516,4885692.78,5378520.729,5253484.401,5693093.91
Perillic acid,218460.645,567783.69,288401.064,417067.857,290568.201,330675.168,219358.206,308197.326,143341.308,161315.964,311579.763,265221.882,159511.092,143644.11,211419.171
"trans-4,5-epoxy-2(E)-decenal",242994.765,375268.203,180493.782,345221.199,370837.992,261566.628,206564.898,333401.904,89606.412,61521.537,265841.637,349073.553,205340.055,241104.111,264232.473
caprate,23313106.48,22324959.81,27206838.39,20175009.69,21907568.35,21856420.37,24855311.02,20814864.65,29254940.95,25923288.64,21180180.72,23104966.79,24377934.01,21648443.32,21733989.18
w-hydroxydecanoicacid,1142955.159,835036.128,1336922.274,796171.692,917390.55,854569.881,1276891.866,876630.882,2271765.903,1065538.659,1116001.959,819468.051,812521.023,760902.225,553091.328
kynurenate,622153.98,1277552.94,546404.553,502135.713,422874.705,572630.7,277329.027,373901.16,174110.595,125698.608,190255.899,107206.839,73923.78,110160.303,119501.937
N(omega)-(L-Arginino)succinate,46448365.11,47619979.18,45366170.89,43972426.95,11695711.85,12118243.9,10458586.23,7660191.501,7928954.853,8146001.034,8065902.897,6072483.744,6131643.333,5925538.101,6045110.427
dIMP,2120615.553,1840124.904,1867537.359,1373919.819,2191720.737,1080319.839,1982354.808,1468162.152,1362525.864,1429077.042,1620277.233,1521873.336,1389101.487,482379.261,1484341.044
L-tryptophan,140426257.4,134959225.5,130330151.6,126142925.3,130625453.6,137803884.4,115145700.4,87689313.63,77771676.29,70746909.08,73149866.89,78153064.58,77179859.29,75025624.04,80744584.99
5-Methoxyindoleacetate,1231959.711,1446367.368,1107899.427,1260606.12,662110.56,930971.934,396381.57,444680.661,102558.081,62437.494,199268.19,27866.754,16678.017,19327.74,16417.623
Glycyl-phenylalanine,79760.52,91448.268,77197.389,80263.68,188193.516,119987.64,92076.474,67396.059,23366.28,15884.307,48976.527,16646.79,10467.12,3058.518,22979.397
laurate,60429489.41,59634234.35,86721195.1,30091764.74,37944554.15,82392942.46,73259946.31,47387016.33,120792586.2,98713176.3,60319409.17,56911740.37,80998313.27,54205969.17,64267847.31
omega hydroxy dodecanoate (n-C12:0),1150862.268,698745.3,862115.913,753185.301,880759.863,894518.514,910804.464,633379.143,1710551.448,809592.57,867257.067,816544.164,822959.487,782853.801,681954.459
Dodecanedioic acid,3459013.542,3422202.543,2983123.704,2896888.497,2848988.61,2932045.932,2866562.928,2392266.015,5735145.93,3655401.219,2592485.646,906380.712,991814.745,752653.134,650854.431
fructosyllysine,12200282.69,223486.722,12347277.53,11280015.68,4504443.423,8106221.268,3877723.356,4694112.711,1673890.719,708462.543,2248789.584,1485035.202,1621371.819,1427724.222,2216152.998
tetradecenoate (n-C14:1),4075412.343,2425590.663,2960516.274,3482359.683,3814432.323,3350278.176,2082987.384,1837285.011,2422777.005,1947330.672,2085799.212,4872950.325,4532139.135,5805192.783,4910324.112
myristate,192385540.3,127794902.4,231680957.6,115796748.9,114714620.5,165126371.9,138688614.5,107513674.3,292873240.4,273863549.3,114113750.6,178686130.6,249190865.3,199227769.8,177541416.1
omega hydroxy tetradecanoate (n-C14:0),1902207.702,1075354.344,1485206.403,1252545.969,1662227.673,1885265.577,1435237.866,1093521.513,1862310.858,1310269.263,1331723.976,1461816.261,1208766.462,1115319.264,959887.134
3(S)6(R)-dihydroxy-tetradec-8Z-enoate/3(S)6(S)-dihydroxy-tetradec-8Z-enoate,48825762.92,50369813,42927495.4,45458846.68,26735582.4,29315588.6,19560963.27,19804946.88,12342129.93,12436872.08,14312330.74,2966950.785,2646326.88,2512385.499,2367895.176
pentadecanoate,38118978.62,30596825.9,50415877.74,27468031.41,28406573.37,34696482.05,42689893.55,27071084.72,55787265.07,56742451.6,26809808.46,35428287.34,43568427.65,35298898.52,32643066.82
palmitoleate,37156192.31,26699811.85,33294825.9,31789570.53,31410830.3,29808914.48,20372284.78,16832910.16,23885391.94,19879125.21,16057167.24,58704287.99,52102714.08,54234849.56,54566986.95
palmitate,1319235439,1017913874,2066917584,1020448964,898300401.6,1540691183,1350230063,969806144.2,1778143804,2263818418,1047248549,1341738183,1934986529,1621515287,1575571148
omega hydroxy hexadecanoate (n-C16:0),7166569.86,4611946.965,5548660.863,3835499.688,5559931.947,5851241.73,5993712.408,5278667.115,7147743.255,6554051.25,5298265.815,11294167.54,10767345.21,10988795.24,10445794.46
11'-Carboxy-alpha-chromanol,10145349.84,1341221.145,20842567.28,1395247.383,1590356.925,4771800.63,10630721.39,1181040.831,9300714.588,8622746.322,2152692.492,1235925.363,3677962.248,1931210.658,1173745.008
Hexadecanedioic acid,1394599.41,811478.688,1090024.542,651735.867,811176.24,884371.821,1590402.693,935755.431,1652216.226,933809.307,932992.935,913159.299,854396.652,565644.843,480436.932
margarate,39509329.82,38070281.48,47109104.76,34031303.66,31509822.46,39055711.22,38449231.3,30496336.72,45051867.48,55004702.13,31173733.92,36782336.27,45071297.74,38838287.85,38652225.53
stearate,615038623.4,595210074.2,831240640.7,611638194.3,454026291.4,798539127.3,654199559.2,511430182.1,538863850.1,1030387333,581265618.5,589732887.8,880079374.4,768992287.9,797520512
"8,11,14-Eicosatrienoic acid (DGLA)",4315223.499,3825507.807,3440008.788,3456194.64,5321318.367,4690096.767,2772432.933,1792625.892,811921.893,963600.402,1464926.25,2709079.458,1691646.678,2648265.27,2592037.251
Eicosenoic acid,8564157.777,8745644.532,9016995.27,7842969.714,12403242.38,11147905.66,9057460.824,4221794.037,4253285.736,4623793.29,4406307.966,9134202.528,8512366.524,9345426.033,9671255.727
15(S)-Hydroxyeicosatrienoic acid,298385.739,399568.419,362242.419,357877.734,590241.189,343105.821,258020.748,275052.237,90911.808,89745.279,210718.767,720906.114,371314.749,391148.394,635275.137
N-Acetylneuraminate 9-phosphate,183124.62,367504.605,208140.327,163409.961,139109.763,78522.375,337639.896,141111.765,177947.358,174198.081,158334.324,434653.944,522777.897,228010.425,490724.793
(R)-S-lactoylglutathionate,7971282.171,2909473.731,4478763.909,973022.541,13654709.02,8145058.875,2681319.102,693014.586,4653162.366,3207719.457,2098040.859,1000,38579.346,765979.197,19757.226
UDP-alpha-D-xylose,2545472.436,2269345.236,1351824.276,2214843.402,2229874.143,2241124.254,1050065.586,935041.044,1682201.79,1841271.489,1310453.982,747446.655,671692.839,1176055.605,765948.105
ADP-ribose,1013471.415,3158009.217,2991332.952,4011916.905,160890.576,524161.779,2663791.29,2236009.722,921487.596,865326.399,2483478.453,1471143.705,1281307.194,562161.285,1532940.528
UDP-D-glucuronate,8741695.404,4791883.791,1511757.639,5744807.718,6576838.683,6470555.034,890405.421,2308363.059,2288101.119,4647668.379,4069628.79,1467214.266,485487.99,4711906.431,852372.666
GDP-D-mannose,11835823.82,9202503.57,4790162.289,9299853.531,14473209.13,15437423.11,7017699.375,2601169.386,2450920.257,3238938.435,3803662.11,585299.913,353800.668,914103.39,580877.751
NADH,26524137.92,13466968.63,12929906.51,9311133.228,70121095.2,7872293.178,3870657.579,697055.706,3578089.368,5332204.683,1369416.816,670747.119,1892187.006,1582281.285,552934.839
NADPH,4530543.108,2242503.429,1032790.737,1030828.647,1000,262618.308,309132.774,132330.918,609725.262,1128288.237,227449.854,1000,1000,1000,1000
glycochenodeoxycholate,2096929.926,2372765.007,2024331.222,2226887.922,1661170.164,2084839.353,1322931.675,1022747.943,393795.912,476086.071,583235.082,3691.08,7878.507,3179.55,1000
taurolithocholate,439021.488,456241.245,428837.601,460789.26,426640.095,360523.089,233686.071,240269.019,1000,105916.395,132790.53,1000,1000,10058.259,5741.919
cholesterol sulfate,1031116.728,739900.191,432949.335,626493.267,814755.999,397430.175,297700.329,327391.71,1000,57917.034,274779.663,214740.294,202368.852,261340.644,323842.452
C4H6O3(3),14176329.97,13825348.81,14304424.1,11916918.74,9146898.75,11785036.04,9691170.474,9482224.05,9621528.975,7971677.529,7713862.287,5047187.796,4260393.117,3588308.631,4769796.783
C4H8O3(3),19478319.46,18945031.06,18378570.82,17291521.6,11920293.26,12689196.26,11308661.41,12363941.2,12731892.66,11489808.86,10755676.18,10299723.59,10824327.17,9751372.005,9610953.996
5-oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate,5196332425,5141607717,4901625559,4869070762,4677649580,5097624590,3843807633,3871509463,1322850174,848874662.8,1196935557,1309516125,1228061773,1191035959,1577328247
itaconate/Mesaconate,22781305.94,21419124.96,20233058.53,20158523.4,26222963.3,27048979.74,24016320.71,17206329.07,17653990.83,17218016.73,16716426.38,12927403.1,13166270.61,13446651.58,12591386.01
L-4-hydroxyglutamate semialdehyde,1556267410,1616781767,1597390103,1505340736,1577267015,1626750270,1511754312,1057003716,1108265850,1113273637,1118875239,1098396307,1140560085,1106796157,1113979409
C5H10O5(6),1716714.255,1717372.263,1352346.831,1428117.696,1545600.018,1808287.575,1065498.177,782567.304,629537.766,376944.087,460403.637,264430.353,372200.43,377744.754,287084.85
L-arabinitol/xylitol/D-ribitol,13504586.43,12854238.19,12290857.77,11819210.25,18134821.72,19367989.63,16266046.61,12555667.93,11319769.95,10881082.22,11932833.94,6129056.091,6563240.868,6208593.837,6489219.912
L-xylonate/L-lyxonate,28958072.52,31797361.26,29352982.42,28837562,38461007.4,41830974.85,35240519.19,26534803,25506140.32,22780772.15,23920716.39,13921766.36,13682336.86,14863349.14,12967801.25
2-deoxy-D-ribose 5-phosphate/2-Deoxy-D-ribose 1-phosphate,3212457.645,2322744.825,2470849.905,2592834.234,2828685.489,2609824.968,1657818.795,1005231.834,1571365.761,1224654.372,988737.489,214996.488,264527.541,291115.149,202529.457
ribose-phosphate,10277996.16,11991218.99,11827960,11507514.71,9328620.12,10888997.87,10632464.06,5732449.269,6848829.093,6139956.759,6472719.855,12205049.76,12596957.67,9121039.209,16007309.5
3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine),87462673.85,97448895.11,77638455.26,85372690.59,33095164.36,35939557.58,30702667.29,32401378.95,21637153.25,22814802.43,21977587.19,32414539.54,26009168.6,22473059.14,29512327.08
L-fucose/L-Fuculose,1073108.907,1002041.403,811379.613,755562.714,865001.631,939237.153,774099.42,897754.722,928313.937,608663.034,672537.855,2242382.202,873675.558,751938.543,724317.666
N-Formimidoyl-L-glutamate,9689618.844,9725572.149,8313404.679,7811865.753,8504653.431,10155126,7004265.945,6888877.137,7472251.698,7636663.464,6979619.328,13754263.5,13563089.35,12868986.69,13293029.21
N-acetyl-L-aspartate/2-Amino-3-oxoadipate,11466499.76,10875755.21,11941699.83,9698220.288,92709649.05,94628808.76,80377105.19,29709544.82,20698815.19,18194982.84,21779210.85,16918578.88,17345509.49,16915382.06,16049718.73
3-Keto-beta-D-galactose/L-Gulonolactone,549208.752,842448.792,666506.928,709168.083,1341629.037,1325849.352,1065795.738,707942.73,936916.575,852567.807,960432.912,529709.151,626594.625,749210.244,588169.173
C6H12O6(5),405395042.9,398459208.3,376404259.8,351860541.4,564888428.9,612057537.3,544799731.1,297812646.8,282550527.4,286353421,285606882.7,247263533.7,253662681.8,250660958.5,249830112.7
L-Iditol/D-glucitol/galactitol,36657217.4,36213963.93,34917297.21,32550456.14,33456574.8,39752867.52,33172591.44,39758312.39,33658837.13,30205702.73,31426560.67,153335271.3,44800385.02,39120623.18,41674869.95
3-dehydro-L-gulonate/D-glucuronate/L-iduronate,2952403.083,2764574.169,2917376.73,2216912.442,2329425.216,2413828.08,2598318.747,2844788.019,2577922.551,2086435.221,2013902.598,2710769.478,3104089.836,2863538.472,2838759.672
gulonate,51391579.64,61624586.97,57164928.61,58758331.43,111737749.9,128723625.8,95404050.56,64144890.14,65043729.64,56864547.39,69813741.88,36553025.48,34856932.49,37245309.8,38062981.79
Methylisocitric acid/2-methylcitrate,4109838.591,4030351.857,3844381.833,3583845.276,2631960.654,3137963.397,2753846.742,2394165.231,2169095.718,2229789.033,2180408.526,1530814.803,1405130.979,1581222.231,1510134.384
phenylacetate/(4-hydroxyphenyl)acetaldehyde,14043153.56,12220538.83,11313099.65,11634849.81,10998315.65,10680583.35,30270396.32,10430081.15,10414052.39,9273313.974,9890301.042,11678117.44,10119639.77,9009213.609,10621622.29
"4-Hydroxyphenylacetate/2-Hydroxyphenylacetate/3,4-Dihydroxyphenylacetaldehyde",3441707.532,3202420.965,3843839.532,2541153.189,2884947.093,2589462.087,4217912.04,2400538.926,2316812.472,2567734.692,2850294.876,2547925.716,2266825.797,1985612.46,2465801.415
N-formylanthranilate/noradrenochrome,877445.433,383037.003,351727.575,359786.895,221284.74,448332.642,255292.116,375899.277,3194163.645,527813.508,897088.083,456714.063,585863.055,392288.526,392173.92
"4-hydroxy-2-nonenal/3,4-epoxynonanal",3222299.901,3839754.144,3111040.764,3439611.69,3733305.231,3163781.7,3386839.821,3494746.185,2646537.054,2869909.767,3387930.621,3462072.81,3027176.979,3246015.192,3689529.558
4(R)-hydroxy-dodec-6Z-enoate/4(S)-hydroxy-dodec-6Z-enoate,1501455.141,1299654.438,1606198.794,1194604.323,1390088.79,1093647.81,1529709.111,1397487.534,1638271.629,1139603.181,1404661.2,1645238.628,1319022.861,1203283.257,1149463.167
linoleic acid/linoelaidic acid (all trans C18:2)/octadecadienoate (n-C18:2),52119261.09,50488653.28,72987543.42,26133030.22,38771465.49,74145008.66,61551729.3,39198628.02,58664052.08,68595763.47,54513720.15,53523734.09,68653615.28,43875830.63,73453349.31
oleic acid/elaidate/trans-vaccenate,174636782.9,138230248.8,181958808.4,126298396.3,178189144.8,191680348.1,135502232.3,93467656.87,128198532.8,121597066.4,86249454.81,252792124.4,228345287.5,219335013.9,242179033.5
9(10)-EpOME/12(13)-EpOME,1311639.06,1213069.809,1685163.87,921739.215,971176.011,1674197.628,1197696.177,1186946.127,1670833.791,2008123.515,2499898.353,1948455.123,2278371.339,1676801.115,1969352.499
"9,10-hydroxyoctadec-12(Z)-enoate/12,13-hydroxyoctadec-9(Z)-enoate",1548550.308,1053091.473,1626590.205,921240.033,1141377.921,1393434.123,1818875.736,1416761.253,1987402.704,1989618.681,1677306.765,1260957.57,1380754.869,1177716.378,939766.722
pristanic acid,2169658.593,2015897.043,1971049.65,1971113.805,1992509.892,2777414.538,2027169.408,1787787.846,2333933.919,3284760.198,2002181.817,2455301.211,2732628.639,2848273.908,2667268.452
C20H30O2(4),2042510.967,1971048.195,2027708.862,1778043.726,2053544.766,2089242.465,1181627.385,1104739.131,1291919.523,1027790.553,1302063.651,1338889.476,807299.001,1223159.076,1368407.061
arachidonic acid,11177138.96,8861174.031,7543826.19,9877620.219,13184113.53,11656972.01,5446776.387,4879839.459,1579625.322,3000927.555,4370404.197,9408394.368,5512883.778,9827578.923,8552091.195
phytanic acid/arachidic acid,4172834.919,3635983.185,4680676.572,3955221.222,3775039.278,6245461.953,4998602.994,4050890.832,4615170.534,6575156.703,4587754.365,5074817.697,6696295.833,6710612.61,7553329.581
C20H32O3(12),289099.584,530048.409,372814.323,411401.322,543177.861,384414.828,388165.197,527479.986,88247.913,90365.565,364409.004,740397.603,386467.746,447952.98,723411.681
docosahexaenoate(DHA),7543633.164,7484756.214,6834021.489,7329495.141,8608579.812,8070896.031,4479214.842,4128785.346,1210917.936,2416322.694,3314524.221,6750698.124,3913401.489,6511503.564,6368894.028
"clupanodonic acid/docosa-4,7,10,13,16-pentaenoic acid",4284501.375,4363593.351,3834180.231,3790501.695,5390797.785,4688855.061,2610518.661,1971600.939,686349.732,1132072.989,1504294.089,3439212.306,2208633.462,3575141.979,3490256.82
UDP-D-glucose/UDP-D-galactose,53271123.02,45715087.93,33391051.99,47566182.24,82131878.66,84551755.72,45097417.82,32675210.88,43020012.99,47974507.34,40892226.26,28596714.28,23515797.89,38343340.88,26151453.73
ADP-mannose/GDP-L-fucose/ADP alpha-D-glucoside,7773178.338,5973714.348,3189130.377,6151564.749,6348384.807,6223802.013,2516070.729,1611843.948,1658639.859,2407257.711,2717063.397,2117018.661,1252183.725,3171355.356,1779406.416
UDP-N-acetyl-alpha-D-glucosamine/UDP-N-acetyl-alpha-D-galactosamine,223744947.4,233406652.5,197356164.4,209190698.3,305432961.2,282314983.8,234940414.7,111908166.7,123592513.6,133232581.9,125380058.1,185789186.5,171876027.9,200271304.7,171611042.2
Taurodeoxycholic acid/taurochenodeoxycholate,4969282.518,4983373.881,4910768.982,4910390.169,4842238.926,4183624.026,3463859.592,2464910.847,1616904.27,1162826.967,1954390.158,110685.78,5547.915,62283.741,17726.67
C27H46O4(3),208947.036,163603.77,408878.217,161353.578,304063.911,495803.871,425578.266,196135.203,311235.411,162348.21,218645.34,125833.716,338060.889,114446.817,19935.63
Ercalcitriol,213228.276,416595.618,113300.439,419231.976,1280429.505,1236069.951,771295.872,53799.324,1000,1000,24918.666,177411.444,30433.935,150588.264,196198.569
4alpha-5-epoxy-8alpha-hydroperoxytocopherone/7-8-epoxy-8alpha-hydroperoxytocopherone,149887.851,110547.159,143928.144,92003.532,131885.199,92271.168,89195.703,147137.49,210022.839,151548.084,105529.323,161888.211,201800.538,122355.984,178116.141
L-isoleucine/L-leucine,1702213848,1609630489,1534426463,1488342162,1345312839,1669395102,1147970661,1186834604,882467178.7,797697400.5,863462435,1041983984,997622890.1,970441860,1105070101
thiosulfate,8876669.883,4068888.633,4066051.836,4872417.969,1772018.577,7750842.993,1923511.332,3702265.983,10185313.88,7154001.12,6117677.286,4937163.471,7871871.147,12699078.39,3848846.373
Diphosphate,89470173.98,100985766,99783354.06,93259498.55,64436698.25,98194994.83,50456400.36,53340319.58,21050484,27719702.25,33027750.5,74330265.76,72574487.92,72694564.78,91226688.22
L-cysteate,493318.272,279386.394,379804.86,221170.662,264012.21,302630.28,228455.592,330609.618,383189.67,183310.335,230804.685,514221.69,391928.457,358091.523,457583.175
D-Glucuronate 1-phosphate,857261.391,949513.17,470209.935,692439.528,235740.693,335877.399,279112.635,345729.537,321767.448,175276.557,319164.561,462328.896,211595.904,620320.668,362485.296
dCTP,756035.682,409746.393,90199.188,579318.915,898306.569,961949.961,143058.846,377249.355,152617.689,364038.21,612686.643,131726.979,1412.844,341221.257,38649.135
L-glutamate,1536486328,1597289122,1580026571,1489900543,1559422784,1608943281,1494014979,1043321524,1095637581,1101975333,1108629162,1086937165,1128442348,1095186060,1103651488
myo-inositol,389693022.4,383650961.6,360803960,339748417.3,544947036,587426255.3,518101926,286140640,269568041.9,275111739.1,275897463.5,239634123.8,241819337.6,242313351.1,242203551.3
uracil,9967845.894,8752930.461,9794371.122,7526162.4,18849792.69,21313381.07,18918900.32,21807901.78,21498660.92,22049437.68,14287340.36,51906759.23,59909158.98,53304837.29,53298427.33
aspartate,452420829.7,482883090.7,480142971.8,432086569.1,729748557.9,742426555.3,769910406.1,609654522.3,705876058.8,676412712.2,652505130.7,1633958602,1754898942,1587215418,1592993873
 Hypoxanthine ,83039675.78,85341103.7,86470694.71,58589444.96,96435361.54,135131450.1,103298856.2,70311953.08,51720498.5,62206998.27,41604627.62,295278048.5,301785573.7,262241893.6,314166767.4
 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide ,2276739.807,2380742.121,2700425.583,1935244.026,2793700.224,3179095.767,2477519.871,967340.247,930362.178,1039685.844,925672.602,942779.46,963794.202,857850.498,1166414.379
 IMP ,17386195.18,16717829.79,20771715.44,14061857.47,14415465.48,23396676.44,23395862.59,7630723.854,7930845.06,8686397.403,7770794.985,44711448.01,49994950.88,46250323.83,48282216.84
 GMP ,30093346.56,49465345.81,60043193.08,35738013.85,22592398.71,25440001.33,36536790.98,34695180.02,30861440.37,33061644.66,28409830.07,58438733.71,71566062.97,55977255.79,68372119.43
 GDP,62345855.43,34054102.02,15431015.59,37783523.42,66773522.42,56112282.75,16626441.05,13659831.8,9237373.806,17173432.6,19115802.3,16121710.51,6403605.264,48362534.57,16089354.8
 GTP,58156004.75,23910906.81,9204749.625,27581656.65,67823170.62,36287234.56,10113399.52,11938355.26,7287959.709,11518610.48,17227848.69,9102175.422,3397088.154,25310723.39,6266377.395
AMP,252466702.1,254329707,318467167.4,207173421.3,142774931.8,191676143.1,182771799.6,151242844.8,155050902,181765005,138699917.6,304042232.9,392956286.8,309072915.1,365569185
ADP,516305385.7,359637972.9,211794687.1,380544037.4,539864831,560068208.2,228119759.7,161801810.2,116536854.7,181589223,228539085.2,190037356.6,83874080.09,365202630.5,186030297.1
ATP,539575304.9,334827223.3,149403599.9,356440133.2,687666464.1,454964770,175324868.6,156470159,87758643.66,153174533.8,233161488.8,124741936.6,43331661.64,236095630.7,89581821.67
 CMP ,10748953.6,15786678.62,16802019.65,13439697.12,14137438.84,12445116.39,14200455.74,10021284.44,10256217.61,10893775.85,10128609.76,15078165.88,16792385.79,14862434.67,16276594.11
 CDP,21192027.44,11200272.94,4938685.566,13968888.53,40285292.58,31782029.39,9378668.889,5959244.844,3722742.354,6052044.69,9203350.425,7294357.863,2396192.817,20110570.25,7359741.48
 CTP,24639598.45,12619574,4535660.904,14181922.79,39776577.3,25529932.18,7322896.788,7213017.294,4104752.331,6878216.346,10591113.65,6811151.412,2191988.31,13462385.69,5076979.635
 UMP,64913650.31,85625245.96,89023782.61,68580409.75,58545698.99,69364498.71,93243872.7,77062412.09,59795392.81,74796096.51,77950246.84,102509605.5,108047440.9,95377904.98,106834000.6
 UDP,81494063.32,47948564.1,25999028.48,54336550.48,140007989.3,119523774.1,40158699.94,28871896.18,19566097.08,30749410.93,43984672.28,36646135.25,12448272.33,88717329.07,35913938.79
 UTP,85277735.92,46052843.92,19937500.88,49858693.51,137480283.7,86928718.8,29551327.6,31624982.45,17929250.57,31032015.72,45561912.33,27149934.21,8931730.209,43704820.19,18905618.37
 dUDP,1628154.639,1233945.633,645158.802,1150324.071,1408035.759,1839649.704,588026.49,387647.955,365632.38,433802.964,509783.781,193853.016,100024.398,253970.262,91803.684
 guanosine ,8819069.7,7728042.348,8427759.666,6001711.746,17408265.74,18401134.55,18438033.45,6368069.442,10160532.6,6390269.379,4715219.463,29373403.42,33824295.6,30297558.54,36540228.43
 cytidine ,29490527.16,24079039.62,28766254.84,16474469.3,33645963.32,36748410.91,39442854.61,27959235.42,32354132.93,31260853.56,20967955.3,62272810.28,75816562.46,62173885.98,64829048.08
 uridine ,47599266.67,44394521.59,54978771.55,32349158.97,38736108.47,44803092.53,47517684.9,22715891.77,24057424.96,21732500.06,16926511.94,45214512.82,55360111.46,47195638.04,52684532.12
