compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
isoputreanine/putreanine,13023590.03,7741933.8,12326248.31,10927861.81,8051597.112,8606522.88,7713252.786,15597838.44,15223545.02,10984120.92,14122298.75,14715948.77,15078835,12969818.32,15169649.15
Glycylproline/L-Prolinylglycine,623746.701,1025681.901,936599.103,644079.072,642999.504,526231.572,506042.937,268875.114,297200.286,116340.42,343842.834,220462.299,150641.328,336967.863,355861.254
Pyridoxine/Norepinephrine-1,214807805.9,214003945.4,205937702.6,206678790.4,171596869.8,209194131.9,131907878.4,169748759.9,119822394.2,112642191.4,136760696.2,132057764.9,127662610.3,132393421.6,150973698.5
C9H8O3(3),15538288.13,15295315.45,13809740.13,12965809.93,11987656.45,13428133.46,10988223.34,10829335.55,9257533.161,7962458.955,8426846.268,9286444.338,8799909.144,8768679.186,9330958.842
pseudoecgonine/ecgonine,885563.823,906608.97,975859.44,672819.336,604241.835,728962.473,816782.493,851049.732,1149204.651,955650.528,932370.726,599294.694,779401.149,690244.11,731259.315
indole-3-acetate/(5-hydroxyindol-3-yl)acetaldehyde,36302905.53,27730239.24,34171952.75,50214632.06,18174444.96,30202477.01,13082235.96,18019704.66,15402032.26,6426159.048,8719762.629,2866552.737,2963777.844,3619014.513,3289029.687
(-)-Salsolinol/NN-dimethyldopaminequinone-1,2274129.54,2357058.678,2359409.622,2420759.556,2557704.3,2655970.626,2204575.446,1427600.592,1693850.598,1029421.188,1201117.191,834492.729,927213.588,887542.968,840693.498
L-kynurenine/Formyl-5-hydroxykynurenamine,2001608.475,2051639.811,1763031.48,1740271.251,1743082.218,2250113.085,1390352.355,1115723.208,884840.565,753287.568,879421.167,1387732.758,1393811.196,1295045.346,1564512.777
methyl indole-3-acetate,116781.861,167363.241,127290.867,133392.168,86889.768,175504.131,111435.414,60622.071,56803.623,33469.515,71900.886,38145.576,67192.254,74149.263,68510.973
sphingosine/(2S)-1-hydroxy-3-oxooctadecan-2-aminium,7510271.139,8455586.997,10423934.18,5384226.057,11237393.82,8035808.25,20328119.8,13234356.69,14143647.66,8356656.723,7901190.381,5950727.946,7739308.137,4104526.8,8726397.336
