X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1500011K16Rik,153.5044138,-0.149476179,0.159528177,-0.936989203,0.348764112,0.509097036
1500012F01Rik,405.8191983,-0.051968191,0.103879146,-0.500275487,0.616881112,0.748849232
1500015A07Rik,48.34399892,-0.227619137,0.310534158,-0.732992269,0.463563145,0.621323577
1500026H17Rik,0.548555821,-0.858679824,3.074230287,-0.279315388,0.780002798,NA
1520401A03Rik,0.894395807,1.633278833,2.026927713,0.805790371,0.420363731,NA
1600002H07Rik,163.5596744,0.200777428,0.160639538,1.249863084,0.211349567,0.354731896
1600002K03Rik,113.6588924,-0.270826483,0.202940989,-1.334508542,0.182037249,0.318269209
1600012H06Rik,587.7200817,-0.550052466,0.090487272,-6.078782738,1.21E-09,2.47E-08
1600012P17Rik,0.283512112,0.429296836,3.709287843,0.115735649,0.907862052,NA
1600014C10Rik,1330.448898,0.337212821,0.098761567,3.414413425,0.000639195,0.002901088
1600020E01Rik,314.5886397,0.447530925,0.116740565,3.83355114,0.000126307,0.000702547
1700001C19Rik,0.556862204,-0.882495922,2.630855753,-0.335440634,0.73729272,NA
1700001D01Rik,0.451512733,1.367008474,2.742369885,0.498477059,0.618147835,NA
1700001G11Rik,12.09215184,0.107008102,0.560896388,0.190780516,0.848697554,0.910447668
1700001G17Rik,3.723754916,-0.678164344,0.965892767,-0.702111421,0.48260968,0.638821334
1700001J03Rik,4.423226671,-0.569273386,0.894363432,-0.636512368,0.524442522,0.674986379
1700001J11Rik,0.538944312,-0.857494806,2.650528446,-0.323518432,0.746302651,NA
1700001L05Rik,12.66861978,0.108478787,0.473288894,0.229202054,0.818711876,0.889804504
1700001O22Rik,55.97589293,0.182022492,0.267904481,0.679430563,0.49686509,0.651403482
1700001P01Rik,1.123455086,0.590772043,1.874140662,0.315222894,0.752592424,NA
1700003F12Rik,2.125414792,1.491497909,1.448159912,1.029926251,0.303044627,0.461318602
1700003N22Rik,0.274331943,-1.273722343,3.814725211,-0.333896224,0.738457869,NA
1700006F04Rik,1.009672327,0.999305016,1.653459833,0.604372115,0.545596271,NA
1700006J14Rik,1.91705792,3.040796601,1.661599685,1.830041633,0.067243714,0.145203339
1700007L15Rik,24.27380584,-0.831022927,0.371397609,-2.23755594,0.025250028,0.065913593
1700008J07Rik,36.97635385,-0.551239468,0.296724513,-1.857748326,0.063204762,0.138055933
1700008O03Rik,10.60943447,1.969873394,0.577877274,3.408809244,0.000652471,0.002953758
