"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",0.805817238515231,0.723825598206598,1.81686013959011,0.398393680632948,0.690340015362452,NA
"0610007P14Rik",620.367256781446,-0.250418043988991,0.0807814207146617,-3.09994602438999,0.00193555911304495,0.00609884419205094
"0610009B22Rik",71.5510315569718,-0.552054952026271,0.221098022658418,-2.49687873907023,0.0125291792980079,0.0319238216333834
"0610009E02Rik",2.41645443300829,-0.688693817664988,1.00801886741116,-0.683215205518648,0.494470865759732,0.646600647801729
"0610009L18Rik",21.210114209288,-0.808441418732994,0.355247877810883,-2.27571076205941,0.0228633268013641,0.0539869523180597
"0610009O20Rik",776.743066434442,0.372160240996207,0.0600020618108713,6.20245754503021,5.55881835244053e-10,5.77373393146169e-09
"0610010F05Rik",132.699500003956,0.223122730931869,0.149601391144349,1.49144823604335,0.135843851986565,0.242899602889884
"0610010K14Rik",56.7978457445709,-0.031122084887958,0.221479023495065,-0.140519334051748,0.888249677680632,0.948672082964789
"0610011F06Rik",459.234410036947,-0.443084199797557,0.0916385400420986,-4.83512940727782,1.33059046152343e-06,7.68215618371782e-06
"0610030E20Rik",1849.98068245259,-0.0194099845393344,0.0659607880865484,-0.294265503830339,0.768555030228278,0.868232798810445
"0610031O16Rik",1.35692942395914,1.18922973907023,1.24194585830284,0.957553609217192,0.338287901435249,0.490933274882241
"0610037L13Rik",748.212563187391,0.296811541311561,0.0811667251064191,3.65681307114962,0.000255370466583834,0.000970454911083467
"0610038B21Rik",34.8532835381039,0.262917362256529,0.286267176957313,0.918433489480125,0.35839196454636,0.51252198107828
"0610039K10Rik",0.798144470268317,1.73140530633809,2.44695539342703,0.707575344850567,0.479209008189419,NA
"0610040B10Rik",16.4595476709141,-0.144318718999889,0.452679574549805,-0.31880987593358,0.749870688858556,0.856000155634906
"0610040F04Rik",1.21091844489383,0,2.22828037418367,0,1,1
"0610040J01Rik",0.0814536502722676,0,4.40746246950992,0,1,NA
"0610043K17Rik",9.5357451271698,0.0331457400138125,0.466481649860215,0.0710547564384256,0.943354176240427,0.984716194427738
"1010001B22Rik",1.6787430318945,-0.14134669412051,1.22397918377312,-0.115481289219957,0.90806365028871,0.961850171731626
"1110001J03Rik",122.472519463897,-0.590236180333503,0.169001306810274,-3.49249477103819,0.000478530965003025,0.00171558663334781
"1110002E22Rik",0.750731792144006,0,2.29040354411611,0,1,NA
"1110002J07Rik",17.3818877397272,-0.674956884030739,1.59055231654678,-0.424353777621176,0.67130782501017,0.798529530399934
"1110002L01Rik",321.931072994139,-0.431124947531999,0.107854841437919,-3.99727023640522,6.40771360683472e-05,0.000274616297435774
"1110002O04Rik",0,NA,NA,NA,NA,NA
"1110004E09Rik",223.29662969938,-0.414555796846357,0.124674409819462,-3.32510735319836,0.000883844958521769,0.00299402025233516
"1110004F10Rik",1146.52896199149,-0.319129317721295,0.0643445842373701,-4.95969196947504,7.06050451059494e-07,4.2517919301462e-06
"1110007C09Rik",331.870547884611,-0.087538255966235,0.0972676002493248,-0.899973431459698,0.368134389855934,0.52273242528901
"1110008F13Rik",825.453657460957,-0.333908344707238,0.0664037655973324,-5.02845496341327,4.94447607944024e-07,3.06378935396466e-06
"1110008L16Rik",132.407458760725,-0.819148441245356,0.161756289872759,-5.06409019327603,4.10355347327938e-07,2.58453253173657e-06
"1110008P14Rik",338.648682765332,-0.406016905921604,0.102810050277851,-3.94919470250542,7.84145517609139e-05,0.000330134884330842
"1110012L19Rik",198.204425883569,-0.738650881092874,0.139973499350586,-5.27707662178826,1.31261012692126e-07,9.01906082202467e-07
"1110017D15Rik",0.578347390466962,0.496027230282721,2.14368310297827,0.231390185234738,0.817011689341811,NA
"1110019D14Rik",21.1925515074991,-0.172546287062652,0.35594282772376,-0.484758432038309,0.627847712190156,0.761798424913207
"1110020A21Rik",15.4175515912594,-0.583959309936857,0.356718584067592,-1.63703080248324,0.101624033650014,0.191374419666465
"1110025M09Rik",15.8834338036314,-0.407368678041321,0.396908279833102,-1.0263546989058,0.304724422977292,0.454067786703701
"1110028F11Rik",6.77018832390373,2.18691064531589,1.32694754707865,1.64807618065273,0.0993370394759162,0.187839384634712
"1110032A03Rik",128.594489903688,0.0562788772834714,0.174924010474168,0.321733289391867,0.747654756353181,0.854063610076269
"1110032F04Rik",148.442923861352,-0.803003375199483,0.191911035858177,-4.184248037684,2.86111584831256e-05,0.000130678252972013
"1110034G24Rik",407.680501676037,-0.131573599064559,0.12588383090838,-1.04519856215943,0.295931207860221,0.443775561636879
"1110035H17Rik",7.34621608069129,-0.776964701874523,0.52808021786286,-1.47130052517191,0.141209861363404,0.250442341492993
"1110036E04Rik",0.417672434444194,1.00818072632624,3.2076318226996,0.314306872500641,0.753287979027319,NA
"1110037F02Rik",3410.90152215774,-0.11220364940326,0.0725615409785564,-1.54632396018737,0.122026348174788,0.222091159480516
"1110038B12Rik",239.486819366182,-0.302418365460203,0.113024638503893,-2.6756853148421,0.00745766314259539,0.0202593629510371
"1110038F14Rik",520.367949526504,0.00390226855266449,0.0872144512467506,0.0447433710455168,0.964311863200375,0.999007195050332
"1110046J04Rik",2.324730009025,0,1.73217128782812,0,1,1
"1110051M20Rik",134.086444086728,-3.18604115053658,0.333768364086156,-9.54566547749315,1.35236527503409e-21,6.22913621196315e-20
"1110059E24Rik",259.416763712543,-0.084651467113033,0.104836320927335,-0.807463161280788,0.419399690288146,0.57562607492048
"1110059G10Rik",244.959745360384,-0.496663885476706,0.108401227925515,-4.58171826077445,4.61170937616693e-06,2.42589758624942e-05
"1110065P20Rik",107.18377302067,-0.600782973185579,0.17732423760314,-3.38804768770617,0.000703920244438611,0.00243767166230108
"1190002F15Rik",61.7706310940673,-0.270995999292968,0.2576067253993,-1.05197563795322,0.292810727053411,0.440097889630378
"1190002N15Rik",620.899590976699,-0.0180996552722925,0.0741184268155045,-0.244199129014788,0.807076601595665,0.89409777549476
"1190005I06Rik",1.43569215576103,1.24298035659501,1.89352063881045,0.656438768671609,0.511541852815878,0.661767461995538
"1190007I07Rik",119.851127341173,-0.317262411538064,0.154126916086274,-2.05844909892619,0.039547042678023,0.0868916479331695
"1200007C13Rik",0.908360120503716,0,2.00243793639512,0,1,NA
"1200014J11Rik",1440.75279431755,-0.0246953360070694,0.0564525209812133,-0.437453200987919,0.661782708737693,0.791314158044853
"1300002E11Rik",562.391942327232,0.372785636617309,0.0899544564957231,4.14415973526596,3.41061957061323e-05,0.000153856215634072
"1300017J02Rik",0.688490278309908,-1.39465018167164,2.08360584345793,-0.669344533684495,0.503275724840121,NA
"1500002C15Rik",30.296241231882,-0.347326909524084,0.390137985040295,-0.890266835945776,0.373322624245058,0.528645315286934
"1500002F19Rik",0.624489516167117,-1.44309405937757,2.29464438961916,-0.628896601977216,0.52941675081953,NA
"1500004A13Rik",197.839968220646,0.657267526503427,0.240440741320338,2.73359465993225,0.00626471130439702,0.0173411420476334
"1500009L16Rik",0.752679007094323,-0.44737764895346,2.07317763445316,-0.21579320629294,0.82914894415652,NA
"1500011B03Rik",264.48694747998,-0.566874810710912,0.110847719467371,-5.11399615106898,3.15413785659708e-07,2.02056205749334e-06
"1500011K16Rik",146.45200386373,-0.598381344409072,0.150353869976945,-3.97982003722836,6.89674572472664e-05,0.000294322860614075
"1500012F01Rik",618.175107433301,-0.193798214118824,0.0994333493072157,-1.94902631228938,0.051292282535158,0.108402912017715
"1500012K07Rik",0,NA,NA,NA,NA,NA
"1500015A07Rik",68.9739733515619,-0.12134979705817,0.218404842328926,-0.555618619826262,0.578471599886992,0.718215190157071
"1500015O10Rik",0.134597985008824,1.0081743278653,4.40746246950992,0.228742578034341,0.819068999517477,NA
"1500017E21Rik",0.15567420838435,-0.674955206290217,4.40746246950992,-0.153139184045115,0.878288515898966,NA
"1500026H17Rik",2.7388035262018,-0.056149321061578,0.955955001076316,-0.0587363641576843,0.953162094914908,0.991881577780649
"1500035N22Rik",0.137822234912465,1.0081743278653,4.40746246950992,0.228742578034341,0.819068999517477,NA
"1520401A03Rik",0.661235299877117,1.20098512871031,2.0865987028378,0.575570725255868,0.564905373192798,NA
"1600002D24Rik",0.0814536502722676,0,4.40746246950992,0,1,NA
"1600002H07Rik",145.169931999763,0.384301422261972,0.142978285893583,2.68783067205046,0.00719178555962282,0.0196269607567503
"1600002K03Rik",131.925031432332,-0.16707202724694,0.149834667900825,-1.11504253046114,0.264832196749637,0.409044779455169
"1600010M07Rik",0,NA,NA,NA,NA,NA
"1600012H06Rik",577.731420598277,-0.496740581407062,0.101119678711798,-4.91240268694707,8.99670387862987e-07,5.32049238352007e-06
"1600012P17Rik",0.138994797063988,0,4.40746246950992,0,1,NA
"1600014C10Rik",1495.40760884172,0.0096576610868005,0.0888957792936511,0.108640265753205,0.913487822299387,0.965484465973875
"1600017P15Rik",0,NA,NA,NA,NA,NA
"1600020E01Rik",401.570637905358,0.566721419953438,0.124642617878482,4.54677083648833,5.44752562736854e-06,2.83477873879178e-05
"1600029O15Rik",0.0694536208621967,0,4.40746246950992,0,1,NA
"1700001C19Rik",0.346524151344658,-0.674954272284852,3.31282687338429,-0.203739675534369,0.838556935831345,NA
"1700001D01Rik",0.220448447336255,0,4.40746246950992,0,1,NA
"1700001G11Rik",7.47211147941562,-0.940085646039101,0.831356204095975,-1.13078562643477,0.258145331134663,0.401002621302972
"1700001G17Rik",4.83512872938369,-0.377864910757984,0.672231386691526,-0.562105427147184,0.574044190907483,0.714680461429152
"1700001J03Rik",4.62190335689775,1.33749064843706,0.797323629591271,1.67747524191988,0.0934495868651045,0.178344692429695
"1700001J11Rik",0.336645152018041,-0.674954216048059,3.33451706540206,-0.202414383495343,0.839592784726597,NA
"1700001L05Rik",11.5481546103703,0.913121709743211,0.441999128809197,2.0658902930494,0.0388388396330601,0.0855679138606408
"1700001L19Rik",0.0721358389700806,-0.674955206312438,4.40746246950992,-0.153139184050157,0.87828851589499,NA
"1700001O22Rik",29.9248418460324,-0.475386497198831,0.565089105764873,-0.84125935600081,0.400202654734741,0.556184096150636
"1700001P01Rik",1.49153651021665,0.208590722469628,1.36671567778097,0.152621884610485,0.878696465765887,0.941261890845633
"1700003E16Rik",0.0637832741074851,0,4.40746246950992,0,1,NA
"1700003F12Rik",1.39910105926443,0.998615728391247,1.76240915930033,0.566619688238396,0.570972595702244,0.712040482412051
"1700003G18Rik",0,NA,NA,NA,NA,NA
"1700003M07Rik",0.0677446209628661,0,4.40746246950992,0,1,NA
"1700003N22Rik",0.270454103740813,0.286834990413761,4.22331602144216,0.0679170085680244,0.945851699136338,NA
