"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",0.805817238515231,0,2.22845090087149,0,1,NA
"0610007P14Rik",620.367256781446,-0.281923858245987,0.0792429746295415,-3.55771422721033,0.000374095977741915,0.00156977344035907
"0610009B22Rik",71.5510315569718,-0.103850498544046,0.2040413384126,-0.508967934399868,0.610774700385326,0.739883738992815
"0610009E02Rik",2.41645443300829,0.313838597039096,1.16834249814269,0.268618660656446,0.78822315079964,0.870576401131309
"0610009L18Rik",21.210114209288,-0.911367759176551,0.360315795789829,-2.52935832907017,0.0114271296226783,0.0315515213554923
"0610009O20Rik",776.743066434442,0.241789427664124,0.0605259250303091,3.99480763892571,6.47468000527404e-05,0.000327814262793924
"0610010F05Rik",132.699500003956,0.558848987948362,0.147726540501913,3.78299651538327,0.000154951584589097,0.000717876961514045
"0610010K14Rik",56.7978457445709,0.215196327884875,0.218007612015682,0.987104651508202,0.323591337694713,0.475300930333713
"0610011F06Rik",459.234410036947,-0.403648167311767,0.085613782432185,-4.71475685157934,2.41999558690163e-06,1.72617268584971e-05
"0610030E20Rik",1849.98068245259,-0.133591178591798,0.0669496399065188,-1.99539801525939,0.0459994872403409,0.10225557495592
"0610031O16Rik",1.35692942395914,1.31630415798364,1.74795074389829,0.753055635336729,0.451416482414076,0.603770461698865
"0610037L13Rik",748.212563187391,0.401232287390341,0.0811140949537476,4.94651746554195,7.55529516528328e-07,6.07003470108369e-06
"0610038B21Rik",34.8532835381039,0.253081216981357,0.282800140215684,0.894911921855268,0.370834173236279,0.523362367883591
"0610039K10Rik",0.798144470268317,0.561337888962456,2.5758115301616,0.21792661551105,0.82748628931294,NA
"0610040B10Rik",16.4595476709141,0.0328290883192993,0.422616446477993,0.0776805744142018,0.938082146777734,0.965517620136813
"0610040F04Rik",1.21091844489383,-1.22398560459876,1.79268347471377,-0.682767271447173,0.494753913672582,0.64148418943099
"0610040J01Rik",0.0814536502722676,1.13860263970008,4.40737335908797,0.258340409793577,0.79614420192171,NA
"0610043K17Rik",9.5357451271698,0.112180285380169,0.536610691550707,0.209053392238587,0.834406558343241,0.900804668059333
"1010001B22Rik",1.6787430318945,-1.27903965473512,1.23067104035945,-1.03930263473295,0.298664009878692,0.449362676079591
"1110001J03Rik",122.472519463897,-0.390574883100882,0.18024982468617,-2.16685305398164,0.0302460605618257,0.0718629523985557
"1110002E22Rik",0.750731792144006,-0.24555315029555,1.91007401138386,-0.128556877289611,0.897708290010803,NA
"1110002J07Rik",17.3818877397272,-0.196125734063397,0.370733453256306,-0.529020870225611,0.596790972232057,0.729489929691404
"1110002L01Rik",321.931072994139,-0.194463004854484,0.106740399048813,-1.82183134583894,0.0684805799724138,0.141899992426895
"1110002O04Rik",0,NA,NA,NA,NA,NA
