"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrpl15",2954.77769728434,0.117990867794,0.209298202759961,0.56374525073835,0.572927516742682,0.903697398883191
"Lypla1",2754.4176163074,0.2508084402736,0.24059836377028,1.04243618428373,0.297209497773568,0.756579314763186
"Tcea1",4199.12173447982,-0.0570921401193578,0.193201714880226,-0.29550534867018,0.767607867036658,0.958069128339673
"Rgs20",0.318834438817895,2.0538799087185,4.05520568177706,0.506479836016224,0.612519841466961,NA
"Atp6v1h",4209.63235477705,-0.0271063590847552,0.221173346010822,-0.122557078299249,0.902457844684882,0.986134190363119
"Rb1cc1",2373.06234898076,-0.239496794257554,0.318205895595896,-0.75264725629629,0.451661912410206,0.852485451763667
"Pcmtd1",1526.70355278392,-0.795802163622547,0.362002321444724,-2.1983344207478,0.0279252832349307,0.340115629143387
"Rrs1",1708.6504382948,0.261664708361348,0.339398948246058,0.770964994775546,0.440727680612344,0.846824199462566
"Adhfe1",16.6671969633193,-1.54247984359671,2.71448918118671,-0.568239451565018,0.569872386375512,0.901975810876391
"Mybl1",6.86146306007325,-2.31489135300412,2.82261269984431,-0.820123622745623,0.412145636789203,0.830156480011445
"Vcpip1",1634.01280618285,-0.189734777026298,0.252521414230517,-0.751361137448315,0.45243534442923,0.852683871462202
"Sgk3",338.096675333957,0.201083998729401,0.506564117891777,0.396956656871542,0.691399423029629,0.941932296525085
"Mcmdc2",2.94818144805881,4.24061508563672,3.91935285174323,1.08196818353586,0.27926666568539,NA
"Snhg6",304.459594289571,0.554885419941329,0.544265364808612,1.01951264184605,0.307959654576158,0.762635657116689
"Snord87",25.7980000020037,0.646889555262608,1.55081990986396,0.417127450549274,0.676585187367876,0.939054872387328
"Cops5",1734.12478637461,0.701201767680078,0.367092505121868,1.91015005181675,0.0561138961169127,0.467574032573345
"Cspp1",590.899326934023,-0.0619512199522098,0.457875091858307,-0.135301572533195,0.892373441810637,0.986081775086333
"Arfgef1",2653.74288815369,-0.514781275091806,0.257023271522383,-2.00285862071045,0.0451924656429349,0.430703220258731
"Sulf1",23.628823833195,-21.9393354235968,3.74337372239854,-5.86084560361218,NA,NA
"Slco5a1",42.5641264301628,-3.0088490723483,2.76476013810847,-1.08828575429579,NA,NA
"Ncoa2",2489.92285287794,-0.021517134889773,0.277115032277939,-0.0776469421846153,0.938108900607682,0.993817929990403
"Tram1",18485.1093729506,-0.019115825209257,0.156797386448376,-0.121914182642009,0.902966983291895,0.986134190363119
"Lactb2",406.956223066484,-0.280533567742319,0.517665066094829,-0.541920995091698,0.587872932757148,0.912547853136095
"Gm5523",3.91992824280544,0.161219202930344,3.05686284988333,0.0527400838204098,0.957939001180822,0.99538598884069
"Eya1",18.9366558627839,-0.268724901120426,3.13900427159959,-0.0856083260388454,0.931777779539679,0.993381745547357
"Msc",19.5796177088173,-0.632735377425207,3.65234001157067,-0.173241093496414,0.862461924009008,0.980970146929803
"Terf1",1532.10672165556,-0.125385620194579,0.299311340847416,-0.418913696486022,0.675279206850161,0.938667555120573
"Rpl7",19048.3134996299,0.393701820212435,0.168694081766771,2.33382117552144,0.019605087526555,0.285594374702279
"Rdh10",262.645661855653,-1.18182564087491,0.686384843255788,-1.7218119725212,0.0851035850678244,0.516256355265196
"Stau2",102.931114326379,0.262034256174233,1.12093363469126,0.233764290823876,0.815167973320355,0.970345525057598
"Ube2w",884.435274949225,-0.102914190338253,0.394438840553432,-0.260912921744358,0.794159659793355,0.96484354580631
"Tceb1",1686.21974855865,0.254520985570835,0.288694979226888,0.881625950864925,0.377979116779205,0.811722776655942
"Tmem70",1751.87709301294,0.371923148103714,0.314166623571442,1.18384042160716,0.236476237929071,0.698297949479718
"Ly96",316.071273979007,0.122772651024599,0.526267325645869,0.233289518542548,0.815536597083652,0.970345525057598
"Tfap2b",7.6750547795553,0.129890014926673,2.25569512476984,0.0575831429967407,0.954080677330432,0.99538598884069
"Il17a",13.6860230662495,0.179172113793233,3.46367283432148,0.0517289369878759,0.958744679718447,0.99538598884069
"Il17f",87.1823827033205,-1.25978093167393,2.01737856054964,-0.624464320335941,0.532322695256105,0.892612731168288
"Mcm3",3954.539786259,-0.144147747811059,0.174212722649546,-0.8274237703123,0.407996912259732,0.827946129547518
"6720483E21Rik",1.27617732756622,2.75697137846783,3.94416396615681,0.699000194242488,0.484551909446667,NA
"Paqr8",194.012458227196,0.308903869231423,1.0594439789199,0.291571687958762,0.770614124983658,0.958121142166782
"Efhc1",10.2791261398981,3.48439649481101,3.5755246752985,0.974513340344971,0.329801718645728,0.782440752406026
"Tram2",76.1492858748161,0.292325449898743,1.20449954666824,0.242694528783628,0.808242046160739,0.968981065678172
"Tmem14a",161.675849489841,0.720538107530549,0.774366678399738,0.930486974232378,0.352119005275323,0.796396840354726
"Gsta3",15.3845987680875,-3.80020006841452,2.82110281386255,-1.34706188294195,0.177960303062416,0.631567130131409
"Gm4956",940.320711428017,-0.133583642193834,0.287471317643351,-0.464685114636596,0.642156969635402,0.927824484113262
"Khdc1a",0.596405008319114,1.32385794451271,4.02106052949188,0.329231041115415,0.741981062160889,NA
"Khdc1b",3.59582287411895,5.50194806441107,3.92076663340729,1.40328373985107,0.160532244982247,0.610960805395226
"Kcnq5",302.080086399404,-0.348866629387103,0.704890524227768,-0.494923136850645,0.620654378035988,0.920579024942136
"Ogfrl1",456.902444225641,-0.308839937516072,0.502735249912221,-0.614319241728118,0.539004389846884,0.894286490956837
