MID,C2_B6.1_Tfh_007,C2_B6.2_Tfh_008,C2_B6.4_Tfh_009,C2_B6.6_Tfh_010,C2_B6.7_Tfh_011,C2_B6.8_Tfh_012,C2_B6.1_Tn_001,C2_B6.2_Tn_002,C2_B6.4_Tn_003,C2_B6.6_Tn_004,C2_B6.7_Tn_005,C2_B6.8_Tn_006,C1_B6.1_Tfh_004,C1_B6.1_Tn_001,C1_B6.2_Tfh_005,C1_B6.2_Tn_002,C1_B6.3_Tfh_006,C1_B6.3_Tn_003,C1_TC.1_Tfh_010,C1_TC.1_Tn_007,C1_TC.2_Tfh_011,C1_TC.2_Tn_008,C1_TC.2_Tn_009,C1_TC.3_Tfh_012,C2_TC.1_Tfh_018,C2_TC.2_Tfh_019,C2_TC.3_Tfh_020,C2_TC.4_Tfh_021,C2_TC.1_Tn_013,C2_TC.2_Tn_014,C2_TC.3_Tn_015,C2_TC.4_Tn_016,TC_Tfh_geoMean,B6_Tfh_geoMean,TC_Tn_geoMean,B6_Tn_geoMean,log2FC_Tfh_TCvsB6,log2FC_Tn_TCvsB6,log2FC_TC_TfhvsTn,log2FC_B6_TfhvsTn,ttest_pval_B6_TfhvsB6_Tn,ttest_tscore__B6_TfhvsB6_Tn,padj_lim_ttest_tscore__B6_TfhvsB6_Tn,ttest_pval_TC_TfhvsB6_Tfh,ttest_tscore__TC_TfhvsB6_Tfh,padj_lim_ttest_tscore__TC_TfhvsB6_Tfh,ttest_pval_TC_TfhvsTC_Tn,ttest_tscore__TC_TfhvsTC_Tn,padj_lim_ttest_tscore__TC_TfhvsTC_Tn,ttest_pval_TC_TnvsB6_Tn,ttest_tscore__TC_TnvsB6_Tn,padj_lim_ttest_tscore__TC_TnvsB6_Tn,ftest_pval,ftest_fscore,padj_lim_ftest_fscore,X2wayAnova_pval,padj_lim_X2wayAnova_pval
MID_1,6.97727992349992,5.24792751344359,6.4594316186373,8.51963625284321,5.643856189774719,6.1699250014423095,6.1699250014423095,5.5849625007211605,6.507794640198701,4.5849625007211605,4.807354922057599,5.7279204545632005,6.894817763307941,6.53915881110803,6.686500527183219,6.75488750216347,6.6724253419715,5.39231742277876,5.90689059560852,6.2479275134435905,5.49185309632967,6.189824558880019,6.442943495848731,6.08746284125034,5.12928301694497,5.7279204545632005,8.4262647547021,5.7279204545632005,5.78135971352466,4.0,5.5849625007211605,5.24792751344359,6.071085030566,6.585755570233751,5.64213504226596,5.7854759728616,-0.514670539667746,-0.143340930595636,0.428949988300038,0.800279597372147,0.063974923,1.989882088,0.295884019,0.322851015,-1.024775437,0.62680083,0.42268885,0.830101436,0.732177513,0.7274298140000001,-0.35561532799999995,0.897761537,0.172408222,1.787589495,0.39055740085714297,0.568802983,0.929192608946809
MID_2,9.044394119358449,9.16490692667569,9.100662339005199,9.12928301694497,8.977279923499921,8.96000193206808,8.2667865406949,8.823367240046231,8.24792751344359,8.49585502688717,8.2807707701306,8.43462822763673,8.823367240046231,8.81378119121704,9.39231742277876,8.79116288855502,9.14720492494223,8.35314682549808,9.27146302790437,8.1548181090521,9.34429590791582,8.771489469500601,7.81378119121704,8.857980995127571,8.62935662007961,8.823367240046231,8.658211482751799,9.31288295528435,8.34429590791582,7.4093909361377,8.38370429247405,7.5235619560570095,8.985365461301392,9.08215753836884,8.05729169462205,8.50082513601215,-0.0967920770674429,-0.443533441390105,0.928073766679347,0.581332402356685,1.98e-05,5.965205694,0.0006766160000000001,0.43467127899999997,-0.804297005,0.689264456,0.001267823,4.1838372239999995,0.015636485,0.033516144,-2.356953059,0.540475815,1.47e-06,17.34080693,3.2634e-05,0.131818926,0.7724887977692309
MID_3,12.6512759733466,13.198598511484999,12.424953571261,12.7338627196785,12.3888245380236,12.988862172783401,12.3108967487977,13.542185487502199,12.146250445885999,11.921469060531399,12.8678578639728,12.596888567028,11.079484783826802,11.3236177632916,11.561765263627699,11.0478055540076,11.4377520723236,11.9173720794768,12.3818132959883,10.501837184902302,12.3542493819452,10.2021238238305,11.059344460824402,11.782179193831197,12.298062567718999,12.058330026205699,12.532355925288801,12.951831086888198,12.6354914062517,12.2567983860794,11.8372337003391,11.7523806465529,12.3369744968381,12.273931067372901,11.4636013726829,12.186038174499302,0.0630434294651376,-0.7224368018164499,0.8733731241551809,0.0878928928735938,0.807467697,0.247765165,0.979256638,0.8402393420000001,0.205369825,0.93841533,0.035496045,2.368533255,0.19700305199999998,0.10500594199999999,-1.7332675519999998,0.6889325959999999,0.104486936,2.249718115,0.257734442133333,0.140377074,0.7724887977692309
MID_4,8.64385618977473,5.39231742277876,6.4757334309664,8.4757334309664,6.554588851677639,8.581200581924959,9.18239435340453,9.216745858195312,9.882643049361839,9.136991112080231,8.96289600533726,9.257387842692651,7.8703647195834,7.554588851677639,8.05528243550119,8.67948009950545,7.707359132080881,8.6724253419715,6.339850002884621,7.34872815423108,8.8008998999203,8.62935662007961,7.400879436282179,8.18487534290828,8.16992500144231,8.14974711950468,7.93073733756289,6.5235619560570095,9.94104760634058,9.86263735755879,10.0430272835945,8.57742882803575,7.72851380861144,7.528492910583821,8.829015040874651,8.949505834914039,0.200020898027627,-0.120490794039394,-1.10050123226321,-1.42101292433023,0.004718562,-3.2795142210000003,0.065470054,0.711209669,0.37784907799999995,0.877158592,0.073857122,-1.958253785,0.2826945,0.7943292040000001,-0.265718178,0.952426245,0.009272236,4.648139314,0.042884091500000006,0.649192187,0.929192608946809
MID_5,8.90086680798075,6.339850002884621,7.734709620225839,6.8328900141647395,8.05528243550119,7.53915881110803,9.31741261376487,8.44708322620965,8.573647187493322,7.23840473932508,7.01122725542325,7.07681559705083,7.7681843247769296,8.19967234483636,8.12412131182919,7.90086680798075,7.60733031374961,7.4178525148859,7.5235619560570095,6.97727992349992,7.66533591718518,7.27612440527424,7.5235619560570095,7.45121111183233,9.04712391211403,9.36850646150769,9.23122118071119,9.467605550083,7.03342300153745,6.643856189774719,9.03342300153745,7.97154355395077,8.536366584212919,7.65582151580232,7.49417314737594,7.9092202541077805,0.880545068410596,-0.41504710673184203,1.04219343683698,-0.253398738305458,0.49231885799999997,-0.702736282,0.904488031,0.053747893,2.105851516,0.265386423,0.045012620999999996,2.237334349,0.22648507899999998,0.31748780600000004,-1.036618529,0.764977885,0.10092941300000001,2.281973786,0.254617382795455,0.033360647,0.568612453285714
MID_6,6.8703647195834,6.894817763307941,6.4594316186373,6.643856189774719,6.339850002884621,7.23840473932508,7.59245703726808,8.08214904135387,5.643856189774719,6.90689059560852,6.8073549220576,7.266786540694901,7.4757334309664,6.10852445677817,6.95419631038687,6.8201789624151905,7.17990909001493,6.90689059560852,6.28540221886225,6.442943495848731,6.93073733756289,6.70043971814109,6.4757334309664,6.8201789624151905,6.614709844115209,6.75488750216347,7.1699250014423095,6.32192809488736,7.03342300153745,6.8328900141647395,6.32192809488736,6.4594316186373,6.69968128020695,6.89517376276459,6.60954133916901,6.90389870461773,-0.195492482557633,-0.294357365448721,0.0901399410379442,-0.00872494185314387,0.974820024,-0.032060902999999995,0.983682024,0.286403894,-1.108313975,0.611362159,0.570371771,0.5834840960000001,0.8150773720000001,0.326481361,-1.016839495,0.764977885,0.5380106729999999,0.738449784,0.7162013832857141,0.7727060790000001,0.929192608946809
MID_7,14.4697054043009,15.3287099846159,14.303780748177099,14.887506231671699,14.3891607600394,14.4225904338926,13.6554189166658,15.248372354921301,14.0083410772396,14.0339391407264,14.6355480881117,14.5780778004003,13.905763049602802,13.1653781133461,13.4459201271752,13.147999842060198,13.1876613657391,13.0334230015375,12.891403996665002,12.742730476519199,13.800394382889,12.296055838078802,12.9509203520301,12.591989767615098,14.0136716140586,13.5573440304899,13.8900742361803,14.4567394246843,14.164985468475,13.798977992132,13.3927199043104,13.3749036291121,13.6002310646546,14.260088678357198,13.245899094379698,13.9451664816677,-0.659857613702563,-0.6992673872879979,0.35433197027495206,0.314922196689517,0.367689544,0.927019982,0.8329293759999999,0.06751175,-1.981599801,0.265386423,0.323799583,1.028944803,0.653486431,0.073071006,-1.937911374,0.648639835,0.039455353,3.176056824,0.128810123029412,0.936598684,0.9940521459999999
MID_8,9.03617361255349,8.67948009950545,8.81698362325538,9.1548181090521,9.12928301694497,8.632995197142959,9.3264294871223,9.23122118071119,9.0389189892923,8.625708843064471,8.8008998999203,9.18239435340453,9.0,7.23840473932508,7.515699838284039,9.087462841250339,8.573647187493322,8.546894459887639,6.507794640198701,8.74146698640115,8.7176764230664,8.159871336778389,8.77478705960117,8.29001884693262,8.56224242422107,8.49185309632967,8.53138146051631,8.64745842645492,8.98299357469431,8.27612440527424,7.8328900141647395,8.4262647547021,8.24977504538853,8.72656452047019,8.45634259023087,8.78648164377535,-0.476789475081663,-0.33013905354447803,-0.20656754484234502,-0.0599171233051603,0.8280948579999999,-0.220729798,0.979256638,0.15940372,-1.4861712619999998,0.43155641200000006,0.545001975,-0.622907201,0.8066029229999999,0.254244815,-1.188925338,0.764977885,0.274898972,1.361256707,0.5085630982,0.732203872,0.929192608946809
MID_9,7.74146698640115,6.65821148275179,6.643856189774719,7.400879436282179,7.01122725542325,7.45121111183233,7.8328900141647395,7.839203788096941,7.622051819456379,7.17990909001493,7.74146698640115,7.614709844115209,8.73470962022584,9.04712391211403,9.14974711950468,9.422064766172811,8.82654848729091,9.1548181090521,8.73470962022584,7.882643049361839,8.60733031374961,9.18982455888002,8.59245703726808,8.08214904135387,7.546894459887639,7.467605550082999,7.13955135239879,8.23840473932508,8.02790599656988,7.312882955284361,7.93073733756289,7.554588851677639,7.9738064395748305,7.7353175210541,8.070148540943531,8.161582036620919,0.23848891852073603,-0.0914334956773928,-0.0963421013686974,-0.42626451556682604,0.32264092899999997,-1.020573674,0.761981768,0.573857,0.57585049,0.825885315,0.776374841,-0.290524406,0.95752897,0.8105694859999999,-0.244264443,0.952426245,0.695406959,0.485011866,0.8318342506451608,0.559262013,0.929192608946809
MID_10,11.3208005488816,11.769424641552801,11.3404064908533,11.654188473059499,11.2276159434142,11.724087461794,11.4491486453754,11.917745013443199,11.286557761608,11.1273495410591,11.178042328864802,11.3128829552844,9.78953364497036,9.348728154231079,9.83605035505807,9.957102041562289,9.54882190845875,9.727920454563199,9.594324603924848,9.34429590791582,10.0633950812885,9.34207466799914,8.90388184573618,9.748192849589461,11.485829308701902,11.118292233027,11.6008421143873,11.720244258287599,11.244363835120499,10.981567281903,11.5220910688871,10.8494051009478,10.761588635600901,10.9123254964492,10.312525672644199,10.811719655110199,-0.150736860848239,-0.49919398246595204,0.449062962956729,0.100605841339016,0.8162382659999999,0.236247635,0.979256638,0.749635306,-0.32547455,0.904451294,0.418822524,0.8372354040000001,0.732177513,0.327016902,-1.015674201,0.764977885,0.628141567,0.587687401,0.8014219992758621,0.609911465,0.929192608946809
